Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
25,205,93.0,+1:18:35,,11.0,Calzati Sylvain,14,R.a.g.t Semence - Mg Rover,1:18:35 1:18:35,13,2004,▼3
23,149,97.0,+1:20:51,,17.0,Scanlon Mark,15,AG2R Prévoyance,1:20:51 1:20:51,13,2004,▲2
24,176,102.0,+1:24:35,,13.0,Loosli David,16,Saeco,1:24:35 1:24:35,13,2004,▼3
22,47,110.0,+1:27:45,,18.0,Pozzato Filippo,17,Fassa Bortolo,1:27:45 1:27:45,13,2004,▲1
23,43,111.0,+1:27:48,,19.0,Cancellara Fabian,18,Fassa Bortolo,1:27:48 1:27:48,13,2004,▲1
23,103,121.0,+1:30:54,,16.0,Boonen Tom,19,Quickstep - Davitamon,1:30:54 1:30:54,13,2004,▼3
25,146,123.0,+1:31:59,,24.0,Krivtsov Yuriy,20,AG2R Prévoyance,1:31:59 1:31:59,13,2004,▲4
25,123,134.0,+1:36:19,,23.0,Charteau Anthony,21,Brioches La Boulangère,1:36:19 1:36:19,13,2004,▲2
24,95,135.0,+1:37:14,,22.0,Engoulvent Jimmy,22,"Cofidis, le Crédit par Téléphone",1:37:14 1:37:14,13,2004,-
23,165,146.0,+1:43:59,,25.0,Eisel Bernhard,23,Fdjeux.com,1:43:59 1:43:59,13,2004,▲2
24,94,155.0,+1:55:57,,26.0,Edaleine Christophe,24,"Cofidis, le Crédit par Téléphone",1:55:57 1:55:57,13,2004,▲2
25,58,160.0,+2:25:08,,27.0,Joly Sébastien,25,Crédit Agricole,2:25:08 2:25:08,13,2004,▲2
25,129,1.0,+0:00,,1.0,Voeckler Thomas,1,Brioches La Boulangère,62:33:11 62:33:11,14,2004,-
25,162,10.0,+8:29,,2.0,Casar Sandy,2,Fdjeux.com,8:29 8:29,14,2004,-
23,75,20.0,+14:05,,3.0,Karpets Vladimir,3,Illes Balears - Banesto,14:05 14:05,14,2004,-
24,196,22.0,+14:22,,4.0,Scarponi Michele,4,Domina Vacanze,14:22 14:22,14,2004,-
24,126,24.0,+14:48,,5.0,Pineau Jérôme,5,Brioches La Boulangère,14:48 14:48,14,2004,-
