Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,\u25bc\u25b2,stage,year
36,64,128.0,+2:09:16,,131.0,Rast Gregory,128,Trek - Segafredo,2:09:16 2:09:16,+0:00,,,\u25b23,14,2016
31,168,129.0,+2:09:27,,132.0,Roelandts Jurgen,129,Lotto Soudal,2:09:27 2:09:27,+0:00,,,\u25b23,14,2016
36,112,130.0,+2:10:14,,133.0,Curvers Roy,130,Team Giant - Alpecin,2:10:14 2:10:14,+0:00,,,\u25b23,14,2016
24,188,131.0,+2:11:43,,130.0,Vakoc Petr,131,Etixx - Quick Step,2:11:43 2:11:43,+2:38,,,\u25bc1,14,2016
35,3,132.0,+2:12:15,,136.0,Kiryienka Vasil,132,Team Sky,2:12:15 2:12:15,+0:00,,,\u25b24,14,2016
35,202,133.0,+2:13:37,,137.0,Albasini Michael,133,ORICA-BikeExchange,2:13:37 2:13:37,+0:00,,,\u25b24,14,2016
22,75,134.0,+2:13:40,,138.0,Enger Sondre Holst,134,IAM Cycling,2:13:40 2:13:40,+0:00,,,\u25b24,14,2016
33,197,135.0,+2:14:00,,139.0,Lemoine Cyril,135,"Cofidis, Solutions Cr\xe9dits",2:14:00 2:14:00,+0:00,,,\u25b24,14,2016
26,95,136.0,+2:14:09,,135.0,Dennis Rohan,136,BMC Racing Team,2:14:09 2:14:09,+2:38,,,\u25bc1,14,2016
31,152,137.0,+2:14:40,,140.0,Arashiro Yukiya,137,Lampre - Merida,2:14:40 2:14:40,+0:00,,,\u25b23,14,2016
23,56,138.0,+2:15:15,,142.0,Roosen Timo,138,Team LottoNL-Jumbo,2:15:15 2:15:15,+0:00,,,\u25b24,14,2016
34,122,139.0,+2:15:29,,143.0,Bonnet William,139,FDJ,2:15:29 2:15:29,+0:00,,,\u25b24,14,2016
39,148,140.0,+2:15:54,,134.0,Vicioso \xc1ngel,140,Team Katusha,2:15:54 2:15:54,+4:41,,,\u25bc6,14,2016
23,196,141.0,+2:16:46,,144.0,Laporte Christophe,141,"Cofidis, Solutions Cr\xe9dits",2:16:46 2:16:46,+0:00,,,\u25b23,14,2016
28,199,142.0,+2:17:00,,145.0,Soupe Geoffrey,142,"Cofidis, Solutions Cr\xe9dits",2:17:00 2:17:00,+0:00,,,\u25b23,14,2016
27,193,143.0,+2:17:45,,141.0,Cousin J\xe9r\xf4me,143,"Cofidis, Solutions Cr\xe9dits",2:17:45 2:17:45,+2:38,,,\u25bc2,14,2016
27,215,144.0,+2:17:55,,147.0,Fonseca Armindo,144,Fortuneo - Vital Concept,2:17:55 2:17:55,+0:00,,,\u25b23,14,2016
39,167,145.0,+2:17:59,,148.0,Henderson Gregory,145,Lotto Soudal,2:17:59 2:17:59,+0:00,,,\u25b23,14,2016
27,206,146.0,+2:18:00,,146.0,Juul-Jensen Christopher,146,ORICA-BikeExchange,2:18:00 2:18:00,+0:36,,,-,14,2016
33,186,147.0,+2:18:32,,149.0,Richeze Ariel Maximiliano,147,Etixx - Quick Step,2:18:32 2:18:32,+0:00,,,\u25b22,14,2016
42,38,148.0,+2:19:43,,150.0,Tosatto Matteo,148,Tinkoff,2:19:43 2:19:43,+0:00,,,\u25b22,14,2016
32,14,149.0,+2:19:58,,152.0,Erviti Imanol,149,Movistar Team,2:19:58 2:19:58,+0:00,,,\u25b23,14,2016
31,187,150.0,+2:20:09,,153.0,Sabatini Fabio,150,Etixx - Quick Step,2:20:09 2:20:09,+0:00,,,\u25b23,14,2016
27,113,151.0,+2:20:09,,154.0,Degenkolb John,151,Team Giant - Alpecin,",, 2:20:09",+0:00,,,\u25b23,14,2016
