Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
28,,37,40.0,+2:54,,Van Avermaet Greg,63,BMC Racing Team,",, 2:28",,2,2014
30,,32,42.0,+2:54,,Burghardt Marcus,64,BMC Racing Team,",, 2:28",,2,2014
26,,81,39.0,+2:52,,Kristoff Alexander,65,Team Katusha,",, 2:28",,2,2014
37,,65,46.0,+2:54,,Rasch Gabriel,66,Team Sky,",, 2:28",,2,2014
39,,105,135.0,+19:41,,Hinault S\xe9bastien,67,IAM Cycling,",, 2:28",,2,2014
29,,68,41.0,+2:54,,Sutton Chris,68,Team Sky,",, 2:28",,2,2014
25,,25,50.0,+3:56,,Ligthart Pim,69,Lotto Belisol,",, 2:28",,2,2014
25,,176,97.0,+13:06,,Fortin Filippo,70,Bardiani - CSF Pro Team,",, 2:28",,2,2014
29,,101,53.0,+7:12,,Haussler Heinrich,71,IAM Cycling,2:47 2:47,,2,2014
26,,23,52.0,+5:55,,Boeckmans Kris,72,Lotto Belisol,5:29 5:29,,2,2014
25,,173,98.0,+17:21,,Canola Marco,73,Bardiani - CSF Pro Team,6:43 6:43,,2,2014
34,,44,89.0,+11:42,,Brown Graeme,74,Belkin-Pro Cycling Team,",, 6:43",,2,2014
37,,185,137.0,+24:20,,Mancebo Francisco,75,Skydive Dubai Pro Cycling Team,7:07 7:07,,2,2014
32,,62,100.0,+17:45,,Knees Christian,76,Team Sky,",, 7:07",,2,2014
23,,188,107.0,+17:45,,Haddi Soufiane,77,Skydive Dubai Pro Cycling Team,",, 7:07",,2,2014
24,,113,74.0,+9:13,,Howard Leigh,78,Orica GreenEDGE,",, 7:07",,2,2014
30,,181,112.0,+17:45,,Haedo Lucas Sebastian,79,Skydive Dubai Pro Cycling Team,",, 7:07",,2,2014
31,,184,109.0,+17:45,,Jelloul Adil,80,Skydive Dubai Pro Cycling Team,",, 7:07",,2,2014
26,,145,138.0,+24:20,,Gretsch Patrick,81,AG2R La Mondiale,",, 7:07",,2,2014
28,,182,55.0,+7:33,,Chtioui Rafa\xe2,82,Skydive Dubai Pro Cycling Team,",, 7:07",,2,2014
34,,84,101.0,+17:45,,Kuchynski Aliaksandr,83,Team Katusha,",, 7:07",,2,2014
27,,186,115.0,+17:45,,Pliuschin Alexandr,84,Skydive Dubai Pro Cycling Team,",, 7:07",,2,2014
29,,76,139.0,+24:20,,Iglinskiy Valentin,85,Astana Pro Team,",, 7:07",,2,2014
28,,142,58.0,+7:33,,Bagdonas Gediminas,86,AG2R La Mondiale,",, 7:07",,2,2014
26,,175,103.0,+17:45,,Colonna Paolo,87,Bardiani - CSF Pro Team,",, 7:07",,2,2014
29,,72,104.0,+17:45,,Agnoli Valerio,88,Astana Pro Team,",, 7:07",,2,2014
27,,58,56.0,+7:33,,Offredo Yoann,89,FDJ.fr,",, 7:07",,2,2014
26,,122,102.0,+17:45,,Boaro Manuele,90,Tinkoff - Saxo,",, 7:07",,2,2014
24,,71,59.0,+7:33,,Guardini Andrea,91,Astana Pro Team,",, 7:07",,2,2014
27,,152,57.0,+7:33,,Jacobs Pieter,92,Topsport Vlaanderen - Baloise,",, 7:07",,2,2014
25,,17,105.0,+17:45,,Sergent Jesse,93,Trek Factory Racing,",, 7:07",,2,2014
23,,178,121.0,+17:45,,Ruffoni Nicola,94,Bardiani - CSF Pro Team,",, 7:07",,2,2014
22,,94,106.0,+17:45,,Koch Michel,95,Cannondale,",, 7:07",,2,2014
32,,57,78.0,+9:41,,Mangel Laurent,96,FDJ.fr,",, 7:07",,2,2014
22,,111,140.0,+24:20,,Hepburn Michael,97,Orica GreenEDGE,",, 7:07",,2,2014
36,,161,111.0,+17:45,,F\xf6rster Robert,98,UnitedHealthcare Pro Cycling Team,",, 7:07",,2,2014
27,,28,116.0,+17:45,,van Genechten Jonas,99,Lotto Belisol,",, 7:07",,2,2014
34,,13,61.0,+7:33,,Irizar Markel,100,Trek Factory Racing,",, 7:07",,2,2014
27,,107,142.0,+24:20,,Klemme Dominic,101,IAM Cycling,",, 7:07",,2,2014
21,,125,143.0,+24:20,,Kol\xe1\u0159 Michael,102,Tinkoff - Saxo,",, 7:07",,2,2014
24,,75,141.0,+24:20,,Huffman Evan,103,Astana Pro Team,",, 7:07",,2,2014
34,,12,110.0,+17:45,,Devolder Stijn,104,Trek Factory Racing,",, 7:07",,2,2014
24,,154,124.0,+17:45,,Sprengers Thomas,105,Topsport Vlaanderen - Baloise,",, 7:07",,2,2014
22,,98,108.0,+17:45,,Villella Davide,106,Cannondale,",, 7:07",,2,2014
25,,153,60.0,+7:33,,Salomein Jarl,107,Topsport Vlaanderen - Baloise,",, 7:07",,2,2014
24,,183,144.0,+24:20,,Hasnaoui Maher,108,Skydive Dubai Pro Cycling Team,",, 7:07",,2,2014
25,,108,120.0,+17:45,,Pelucchi Matteo,109,IAM Cycling,",, 7:07",,2,2014
25,,91,113.0,+17:45,,Viviani Elia,110,Cannondale,",, 7:07",,2,2014
27,,95,114.0,+17:45,,Koren Kristijan,111,Cannondale,",, 7:07",,2,2014
28,,38,73.0,+8:35,,Wyss Danilo,112,BMC Racing Team,",, 7:07",,2,2014
26,,143,145.0,+24:20,,Gastauer Ben,113,AG2R La Mondiale,",, 7:07",,2,2014
