Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
24,26,44.0,+ 57:24:25,,2.0,Nozal Isidro,5,O.N.C.E. - Eroski,18:50 18:50,24.0,\u25bc3,14,2002
25,84,46.0,+ 57:28:26,,6.0,Gustov Volodymyr,6,Fassa Bortolo,22:51 22:51,19.0,-,14,2002
23,114,55.0,+ 57:45:26,,10.0,Chavanel Sylvain,7,Bonjour,39:51 39:51,19.0,\u25b23,14,2002
25,47,56.0,+ 57:47:31,,8.0,Millar David,8,Cofidis,41:56 41:56,19.0,-,14,2002
23,129,60.0,+ 57:51:09,,7.0,Trampusch Gerhard,9,Mapei - Quickstep,45:34 45:34,18.0,\u25bc2,14,2002
22,117,69.0,+ 57:57:47,,9.0,Pineau J\xe9rome,10,Bonjour,52:12 52:12,18.0,\u25bc1,14,2002
24,131,86.0,+ 58:06:35,,11.0,Menchov Denis,11,Ibanesto.com,1:01:00 1:01:00,16.0,-,14,2002
22,206,91.0,+ 58:09:50,,14.0,Edaleine Christophe,12,Jean Delatour,1:04:15 1:04:15,14.0,\u25b22,14,2002
23,185,99.0,+ 58:15:51,,15.0,Flickinger Andy,13,AG2R Pr\xe9voyance,1:10:16 1:10:16,13.0,\u25b22,14,2002
25,125,101.0,+ 58:16:50,,12.0,Hunter Robert,14,Mapei - Quickstep,1:11:15 1:11:15,12.0,\u25bc2,14,2002
23,92,110.0,+ 58:24:06,,13.0,Casar Sandy,15,La Fran\xe7aise des Jeux,1:18:31 1:18:31,12.0,\u25bc2,14,2002
24,39,118.0,+ 58:28:18,,16.0,Zaballa Constantino,16,Kelme - Costa Blanca,1:22:43 1:22:43,11.0,-,14,2002
24,167,123.0,+ 58:31:08,,17.0,Mayo Iban,17,Euskaltel - Euskadi,1:25:33 1:25:33,10.0,-,14,2002
25,105,124.0,+ 58:31:13,,18.0,Engels Addy,18,Rabobank ProTeam,1:25:38 1:25:38,9.0,-,14,2002
23,94,126.0,+ 58:32:58,,19.0,Cooke Baden,19,La Fran\xe7aise des Jeux,1:27:23 1:27:23,9.0,-,14,2002
23,153,131.0,+ 58:36:38,,20.0,Bertogliati Rubens,20,Lampre - Daikin,1:31:03 1:31:03,8.0,-,14,2002
24,154,143.0,+ 58:44:04,,21.0,Cortinovis Alessandro,21,Lampre - Daikin,1:38:29 1:38:29,8.0,-,14,2002
24,64,149.0,+ 58:46:56,,24.0,Hushovd Thor,22,Cr\xe9dit Agricole,1:41:21 1:41:21,8.0,\u25b22,14,2002
25,162,150.0,+ 58:47:08,,22.0,Arrizabalaga Gorka,23,Euskaltel - Euskadi,1:41:33 1:41:33,8.0,\u25bc1,14,2002
24,93,158.0,+ 58:56:19,,23.0,Casper Jimmy,24,La Fran\xe7aise des Jeux,1:50:44 1:50:44,7.0,\u25bc1,14,2002
24,81,10.0,+ 63:07:43,,1.0,Basso Ivan,1,Fassa Bortolo,63:07:43 63:07:43,,-,15,2002
24,91,22.0,+ 63:14:57,,2.0,Vogondy Nicolas,2,La Fran\xe7aise des Jeux,7:14 7:14,,-,15,2002
25,169,26.0,+ 63:19:44,,3.0,Zubeldia Haimar,3,Euskaltel - Euskadi,12:01 12:01,,-,15,2002
25,144,39.0,+ 63:27:53,,4.0,Brandt Christophe,4,Lotto - Adecco,20:10 20:10,,-,15,2002
25,84,40.0,+ 63:35:30,,6.0,Gustov Volodymyr,5,Fassa Bortolo,27:47 27:47,,\u25b21,15,2002
24,26,41.0,+ 63:38:39,,5.0,Nozal Isidro,6,O.N.C.E. - Eroski,30:56 30:56,,\u25bc1,15,2002
23,114,49.0,+ 63:49:18,,7.0,Chavanel Sylvain,7,Bonjour,41:35 41:35,,-,15,2002
23,129,60.0,+ 64:01:48,,9.0,Trampusch Gerhard,8,Mapei - Quickstep,54:05 54:05,,\u25b21,15,2002
25,47,64.0,+ 64:03:46,,8.0,Millar David,9,Cofidis,56:03 56:03,,\u25bc1,15,2002
22,117,68.0,+ 64:11:20,,10.0,Pineau J\xe9rome,10,Bonjour,1:03:37 1:03:37,,-,15,2002
23,92,89.0,+ 64:23:46,,15.0,Casar Sandy,11,La Fran\xe7aise des Jeux,1:16:03 1:16:03,,\u25b24,15,2002
24,131,90.0,+ 64:25:33,,11.0,Menchov Denis,12,Ibanesto.com,1:17:50 1:17:50,,\u25bc1,15,2002
23,185,94.0,+ 64:27:07,,13.0,Flickinger Andy,13,AG2R Pr\xe9voyance,1:19:24 1:19:24,,-,15,2002
22,206,97.0,+ 64:28:48,,12.0,Edaleine Christophe,14,Jean Delatour,1:21:05 1:21:05,,\u25bc2,15,2002
25,125,104.0,+ 64:35:48,,14.0,Hunter Robert,15,Mapei - Quickstep,1:28:05 1:28:05,,\u25bc1,15,2002
25,105,105.0,+ 64:36:10,,18.0,Engels Addy,16,Rabobank ProTeam,1:28:27 1:28:27,,\u25b22,15,2002
24,167,115.0,+ 64:44:31,,17.0,Mayo Iban,17,Euskaltel - Euskadi,1:36:48 1:36:48,,-,15,2002
24,39,122.0,+ 64:47:36,,16.0,Zaballa Constantino,18,Kelme - Costa Blanca,1:39:53 1:39:53,,\u25bc2,15,2002
23,94,129.0,+ 64:53:32,,19.0,Cooke Baden,19,La Fran\xe7aise des Jeux,1:45:49 1:45:49,,-,15,2002
23,153,135.0,+ 64:57:12,,20.0,Bertogliati Rubens,20,Lampre - Daikin,1:49:29 1:49:29,,-,15,2002
24,154,145.0,+ 65:04:38,,21.0,Cortinovis Alessandro,21,Lampre - Daikin,1:56:55 1:56:55,,-,15,2002
25,162,147.0,+ 65:06:06,,23.0,Arrizabalaga Gorka,22,Euskaltel - Euskadi,1:58:23 1:58:23,,\u25b21,15,2002
24,64,153.0,+ 65:07:30,,22.0,Hushovd Thor,23,Cr\xe9dit Agricole,1:59:47 1:59:47,,\u25bc1,15,2002
24,93,162.0,+ 65:29:50,,24.0,Casper Jimmy,24,La Fran\xe7aise des Jeux,2:22:07 2:22:07,,-,15,2002
24,81,10.0,+ 68:58:26,,1.0,Basso Ivan,1,Fassa Bortolo,68:58:26 68:58:26,,-,16,2002
24,91,18.0,+ 69:09:20,,2.0,Vogondy Nicolas,2,La Fran\xe7aise des Jeux,10:54 10:54,,-,16,2002
25,169,35.0,+ 69:42:39,,3.0,Zubeldia Haimar,3,Euskaltel - Euskadi,44:13 44:13,,-,16,2002
25,144,36.0,+ 69:42:54,,4.0,Brandt Christophe,4,Lotto - Adecco,44:28 44:28,,-,16,2002
23,114,42.0,+ 69:47:41,,7.0,Chavanel Sylvain,5,Bonjour,49:15 49:15,,\u25b22,16,2002
25,84,45.0,+ 69:50:31,,5.0,Gustov Volodymyr,6,Fassa Bortolo,52:05 52:05,,\u25bc1,16,2002
24,26,46.0,+ 69:51:57,,6.0,Nozal Isidro,7,O.N.C.E. - Eroski,53:31 53:31,,\u25bc1,16,2002
23,129,67.0,+ 70:24:43,,8.0,Trampusch Gerhard,8,Mapei - Quickstep,1:26:17 1:26:17,,-,16,2002
25,47,69.0,+ 70:26:41,,9.0,Millar David,9,Cofidis,1:28:15 1:28:15,,-,16,2002
22,117,79.0,+ 70:34:15,,10.0,Pineau J\xe9rome,10,Bonjour,1:35:49 1:35:49,,-,16,2002
23,92,91.0,+ 70:46:41,,11.0,Casar Sandy,11,La Fran\xe7aise des Jeux,1:48:15 1:48:15,,-,16,2002
24,131,92.0,+ 70:48:28,,12.0,Menchov Denis,12,Ibanesto.com,1:50:02 1:50:02,,-,16,2002
23,185,94.0,+ 70:50:02,,13.0,Flickinger Andy,13,AG2R Pr\xe9voyance,1:51:36 1:51:36,,-,16,2002
25,125,96.0,+ 70:50:47,,15.0,Hunter Robert,14,Mapei - Quickstep,1:52:21 1:52:21,,\u25b21,16,2002
25,105,97.0,+ 70:51:11,,16.0,Engels Addy,15,Rabobank ProTeam,1:52:45 1:52:45,,\u25b21,16,2002
22,206,98.0,+ 70:51:43,,14.0,Edaleine Christophe,16,Jean Delatour,1:53:17 1:53:17,,\u25bc2,16,2002
24,167,99.0,+ 70:51:58,,17.0,Mayo Iban,17,Euskaltel - Euskadi,1:53:32 1:53:32,,-,16,2002
24,39,121.0,+ 71:10:31,,18.0,Zaballa Constantino,18,Kelme - Costa Blanca,2:12:05 2:12:05,,-,16,2002
23,94,126.0,+ 71:16:27,,19.0,Cooke Baden,19,La Fran\xe7aise des Jeux,2:18:01 2:18:01,,-,16,2002
23,153,133.0,+ 71:20:17,,20.0,Bertogliati Rubens,20,Lampre - Daikin,2:21:51 2:21:51,,-,16,2002
24,154,141.0,+ 71:27:33,,21.0,Cortinovis Alessandro,21,Lampre - Daikin,2:29:07 2:29:07,,-,16,2002
25,162,142.0,+ 71:29:01,,22.0,Arrizabalaga Gorka,22,Euskaltel - Euskadi,2:30:35 2:30:35,,-,16,2002
24,64,148.0,+ 71:30:25,,23.0,Hushovd Thor,23,Cr\xe9dit Agricole,2:31:59 2:31:59,,-,16,2002
24,81,11.0,+ 73:05:29,,1.0,Basso Ivan,1,Fassa Bortolo,73:05:29 73:05:29,,-,17,2002
24,91,20.0,+ 73:17:08,,2.0,Vogondy Nicolas,2,La Fran\xe7aise des Jeux,11:39 11:39,,-,17,2002
25,144,34.0,+ 73:52:02,,4.0,Brandt Christophe,3,Lotto - Adecco,46:33 46:33,,\u25b21,17,2002
23,114,36.0,+ 73:55:04,,5.0,Chavanel Sylvain,4,Bonjour,49:35 49:35,,\u25b21,17,2002
