Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
117,117,-,124,Bodnar Maciej,27,Liquigas - Cannondale,,20,117,+4:00:23,4:00:23 4:00:23,+0:00,2012,20
118,118,-,32,Kuchynski Aliaksandr,32,Team Katusha,,20,118,+4:06:24,4:06:24 4:06:24,+0:00,2012,20
119,119,-,75,Dyachenko Alexandr,28,Astana Pro Team,,20,119,+4:06:44,4:06:44 4:06:44,+0:00,2012,20
120,120,-,134,De Negri Pier Paolo,25,Farnese Vini-Neri-Sottoli,,20,120,+4:06:46,4:06:46 4:06:46,+0:00,2012,20
121,121,-,22,Beppu Fumiyuki,29,Orica GreenEDGE,,20,121,+4:06:56,4:06:56 4:06:56,+0:00,2012,20
122,122,-,176,Cazaux Pierre,27,Euskaltel - Euskadi,,20,122,+4:11:33,4:11:33 4:11:33,+0:00,2012,20
123,123,-,44,Selvaggi Mirko,27,Vacansoleil - DCM,,20,123,+4:11:33,",, 4:11:33",+0:00,2012,20
124,124,-,19,Schorn Daniel,23,Team Netapp,,20,124,+4:14:08,4:14:08 4:14:08,+0:00,2012,20
125,125,-,216,Rosseler Sebastien,30,Team Garmin - Barracuda,,20,125,+4:14:55,4:14:55 4:14:55,+0:00,2012,20
126,126,-,49,Keizer Martijn,24,Vacansoleil - DCM,,20,126,+4:15:04,4:15:04 4:15:04,+0:00,2012,20
127,127,-,26,Keukeleire Jens,23,Orica GreenEDGE,,20,127,+4:18:08,4:18:08 4:18:08,+0:00,2012,20
128,128,-,96,Haedo Lucas Sebastian,29,Team Saxo Bank - Tinkoff Bank,,20,128,+4:18:59,4:18:59 4:18:59,+0:00,2012,20
129,129,-,177,Cabedo Victor,22,Euskaltel - Euskadi,,20,129,+4:19:04,4:19:04 4:19:04,+0:00,2012,20
130,130,-,205,Nizzolo Giacomo,23,RadioShack - Nissan,,20,130,+4:20:01,4:20:01 4:20:01,+0:00,2012,20
131,131,-,99,Boaro Manuele,25,Team Saxo Bank - Tinkoff Bank,,20,131,+4:20:09,4:20:09 4:20:09,+0:00,2012,20
132,132,-,104,Stannard Ian,25,Sky Procycling,,20,132,+4:20:11,4:20:11 4:20:11,+0:00,2012,20
133,133,-,161,Vanendert Dennis,23,Lotto Belisol Team,,20,133,+4:21:02,4:21:02 4:21:02,+0:00,2012,20
134,134,-,115,Gazvoda Gregor,30,AG2R La Mondiale,,20,134,+4:21:48,4:21:48 4:21:48,+0:00,2012,20
135,135,-,27,Meier Christian,27,Orica GreenEDGE,,20,135,+4:23:03,4:23:03 4:23:03,+0:00,2012,20
136,136,-,55,Kwiatkowski Michal,21,Omega Pharma - Quick-Step,,20,136,+4:23:49,4:23:49 4:23:49,+0:00,2012,20
137,137,-,219,Navardauskas Ramunas,24,Team Garmin - Barracuda,,20,137,+4:25:05,4:25:05 4:25:05,+0:00,2012,20
138,138,-,6,Modolo Sacha,24,Colnago CSF Bardiani,,20,138,+4:25:48,4:25:48 4:25:48,+0:00,2012,20
139,139,-,209,Sergent Jesse,23,RadioShack - Nissan,,20,139,+4:28:16,4:28:16 4:28:16,+0:00,2012,20
140,140,-,52,Bandiera Marco,27,Omega Pharma - Quick-Step,,20,140,+4:33:00,4:33:00 4:33:00,+0:00,2012,20
141,141,-,95,Jorgensen Jonas Aaen,26,Team Saxo Bank - Tinkoff Bank,,20,141,+4:36:05,4:36:05 4:36:05,+0:00,2012,20
142,142,-,162,Kaisen Olivier,29,Lotto Belisol Team,,20,142,+4:36:23,4:36:23 4:36:23,+0:00,2012,20
143,143,-,34,Ignatyev Mikhail,27,Team Katusha,,20,143,+4:39:24,4:39:24 4:39:24,+0:00,2012,20
144,144,-,196,Delage Micka\xebl,26,FDJ - BigMat,,20,144,+4:41:35,4:41:35 4:41:35,+0:00,2012,20
145,145,-,107,Cavendish Mark,27,Sky Procycling,,20,145,+4:46:19,4:46:19 4:46:19,+0:00,2012,20
146,146,-,197,Veikkanen Jussi,31,FDJ - BigMat,,20,146,+4:48:33,4:48:33 4:48:33,+0:00,2012,20
147,147,-,153,Ferrari Roberto,29,Androni Giocattoli - Venezuela,,20,147,+4:51:03,4:51:03 4:51:03,+0:00,2012,20
148,148,-,24,Tuft Svein,35,Orica GreenEDGE,,20,148,+4:52:35,4:52:35 4:52:35,+0:00,2012,20
149,149,-,38,Kristoff Alexander,24,Team Katusha,,20,149,+4:52:44,4:52:44 4:52:44,+0:00,2012,20
150,150,-,211,Rasmussen Alex,27,Team Garmin - Barracuda,,20,150,+4:55:53,4:55:53 4:55:53,+0:00,2012,20
151,151,-,192,Rasch Gabriel,36,FDJ - BigMat,,20,151,+4:56:43,4:56:43 4:56:43,+0:00,2012,20
152,152,-,106,Eisel Bernhard,31,Sky Procycling,,20,152,+4:58:38,4:58:38 4:58:38,+0:00,2012,20
153,153,-,9,Coledan Marco,23,Colnago CSF Bardiani,,20,153,+5:02:46,5:02:46 5:02:46,+0:00,2012,20
154,154,-,14,Schillinger Andreas,28,Team Netapp,,20,154,+5:05:52,5:05:52 5:05:52,+0:00,2012,20
155,155,-,149,Phinney Taylor,21,BMC Racing Team,,20,155,+5:12:54,5:12:54 5:12:54,+0:00,2012,20
156,156,-,171,Saez De Arregi Adrian,26,Euskaltel - Euskadi,,20,156,+5:16:13,5:16:13 5:16:13,+0:00,2012,20
157,157,-,178,Minguez Miguel,23,Euskaltel - Euskadi,,20,157,+5:27:06,5:27:06 5:27:06,+0:00,2012,20
