Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,85,158,+22:03,46.0,Jansen Amund Grondahl,43,Team LottoNL-Jumbo,20:56 20:56,\u25b23,3,2017
20,105,159,+22:33,41.0,Shaw James,44,Lotto Soudal,21:26 21:26,\u25bc3,3,2017
23,188,161,+24:04,45.0,Zurlo Federico,45,UAE Team Emirates,22:57 22:57,-,3,2017
21,138,9,+1:17,5.0,Oomen Sam,1,Team Sunweb,13:07:10 13:07:10,\u25b24,4,2017
23,16,11,+1:24,1.0,Latour Pierre,2,AG2R La Mondiale,0:07 0:07,\u25bc1,4,2017
24,68,14,+1:30,8.0,Yates Simon,3,ORICA-Scott,0:13 0:13,\u25b25,4,2017
24,193,17,+1:37,2.0,Buchmann Emanuel,4,BORA - hansgrohe,0:20 0:20,\u25bc2,4,2017
23,103,22,+1:50,4.0,Benoot Tiesj,5,Lotto Soudal,0:33 0:33,\u25bc1,4,2017
24,58,25,+2:09,11.0,S\xfctterlin Jasha,6,Movistar Team,0:52 0:52,\u25b25,4,2017
25,181,32,+2:20,6.0,Meintjes Louis,7,UAE Team Emirates,1:03 1:03,\u25bc1,4,2017
22,24,36,+2:33,9.0,Mas Enric,8,Quick-Step Floors,1:16 1:16,\u25b21,4,2017
20,114,45,+2:52,10.0,Gaudu David,9,FDJ,1:35 1:35,\u25b21,4,2017
23,201,50,+3:15,3.0,Martin Guillaume,10,Wanty - Groupe Gobert,1:58 1:58,\u25bc7,4,2017
24,53,56,+3:50,12.0,Carapaz Richard,11,Movistar Team,2:33 2:33,\u25b21,4,2017
25,122,60,+4:16,17.0,Bystr\xf8m Sven Erik,12,Team Katusha - Alpecin,2:59 2:59,\u25b25,4,2017
23,194,61,+4:28,15.0,Herklotz Silvio,13,BORA - hansgrohe,3:11 3:11,\u25b22,4,2017
23,152,68,+5:03,7.0,Bettiol Alberto,14,Cannondale-Drapac Pro Cycling Team,3:46 3:46,\u25bc7,4,2017
24,156,69,+5:05,13.0,Formolo Davide,15,Cannondale-Drapac Pro Cycling Team,3:48 3:48,\u25bc2,4,2017
25,154,71,+5:43,14.0,Canty Brendan,16,Cannondale-Drapac Pro Cycling Team,4:26 4:26,\u25bc2,4,2017
23,44,72,+5:52,16.0,Gogl Michael,17,Trek - Segafredo,4:35 4:35,\u25bc1,4,2017
23,63,74,+6:06,18.0,Haig Jack,18,ORICA-Scott,4:49 4:49,-,4,2017
23,127,77,+6:52,22.0,Politt Nils,19,Team Katusha - Alpecin,5:35 5:35,\u25b23,4,2017
23,118,79,+7:16,19.0,Maison J\xe9r\xe9my,20,FDJ,5:59 5:59,\u25bc1,4,2017
22,88,80,+7:23,23.0,Vermeulen Alexey,21,Team LottoNL-Jumbo,6:06 6:06,\u25b22,4,2017
25,158,81,+7:57,21.0,van Baarle Dylan,22,Cannondale-Drapac Pro Cycling Team,6:40 6:40,\u25bc1,4,2017
24,64,82,+8:04,24.0,Howson Damien,23,ORICA-Scott,6:47 6:47,\u25b21,4,2017
25,217,87,+8:41,20.0,Pacher Quentin,24,Delko Marseille Provence KTM,7:24 7:24,\u25bc4,4,2017
24,75,89,+8:43,26.0,Lutsenko Alexey,25,Astana Pro Team,7:26 7:26,\u25b21,4,2017
22,137,90,+8:58,31.0,Hofstede Lennard,26,Team Sunweb,7:41 7:41,\u25b25,4,2017
25,78,91,+9:25,25.0,Valgren Michael,27,Astana Pro Team,8:08 8:08,\u25bc2,4,2017
21,174,92,+9:43,30.0,O'Connor Ben,28,Team Dimension Data,8:26 8:26,\u25b22,4,2017
24,52,93,+9:45,29.0,Arcas Jorge,29,Movistar Team,8:28 8:28,-,4,2017
23,97,106,+10:30,33.0,Turgis Anthony,30,"Cofidis, Solutions Cr\xe9dits",9:13 9:13,\u25b23,4,2017
24,206,109,+10:55,27.0,Smith Dion,31,Wanty - Groupe Gobert,9:38 9:38,\u25bc4,4,2017
23,34,110,+10:57,32.0,Frankiny Kilian,32,BMC Racing Team,9:40 9:40,-,4,2017
23,128,114,+11:21,28.0,Zabel Rick,33,Team Katusha - Alpecin,10:04 10:04,\u25bc5,4,2017
23,86,118,+14:22,35.0,Tolhoek Antwan,34,Team LottoNL-Jumbo,13:05 13:05,\u25b21,4,2017
25,161,122,+15:53,34.0,Coquard Bryan,35,Direct Energie,14:36 14:36,\u25bc1,4,2017
23,117,126,+17:03,36.0,Le Gac Olivier,36,FDJ,15:46 15:46,-,4,2017
22,132,136,+18:23,38.0,Bauhaus Phil,37,Team Sunweb,17:06 17:06,\u25b21,4,2017
25,74,138,+18:30,37.0,Kozhatayev Bakhtiyar,38,Astana Pro Team,17:13 17:13,\u25bc1,4,2017
23,83,144,+19:05,40.0,Bouwman Koen,39,Team LottoNL-Jumbo,17:48 17:48,\u25b21,4,2017
23,192,146,+19:31,39.0,Ackermann Pascal,40,BORA - hansgrohe,18:14 18:14,\u25bc1,4,2017
24,26,153,+20:42,41.0,Vakoc Petr,41,Quick-Step Floors,19:25 19:25,-,4,2017
23,85,157,+24:36,43.0,Jansen Amund Grondahl,42,Team LottoNL-Jumbo,23:19 23:19,\u25b21,4,2017
24,147,159,+25:42,42.0,Nibali Antonio,43,Bahrain Merida Pro Cycling Team,24:25 24:25,\u25bc1,4,2017
20,105,160,+25:47,44.0,Shaw James,44,Lotto Soudal,24:30 24:30,-,4,2017
23,188,161,+26:47,45.0,Zurlo Federico,45,UAE Team Emirates,25:30 25:30,-,4,2017
21,138,9,+1:17,1.0,Oomen Sam,1,Team Sunweb,17:11:42 17:11:42,-,5,2017
23,16,11,+1:24,2.0,Latour Pierre,2,AG2R La Mondiale,0:07 0:07,-,5,2017
24,68,14,+1:30,3.0,Yates Simon,3,ORICA-Scott,0:13 0:13,-,5,2017
24,193,17,+1:37,4.0,Buchmann Emanuel,4,BORA - hansgrohe,0:20 0:20,-,5,2017
23,103,21,+1:50,5.0,Benoot Tiesj,5,Lotto Soudal,0:33 0:33,-,5,2017
24,58,24,+2:09,6.0,S\xfctterlin Jasha,6,Movistar Team,0:52 0:52,-,5,2017
25,181,30,+2:20,7.0,Meintjes Louis,7,UAE Team Emirates,1:03 1:03,-,5,2017
22,24,33,+2:33,8.0,Mas Enric,8,Quick-Step Floors,1:16 1:16,-,5,2017
23,201,43,+3:15,10.0,Martin Guillaume,9,Wanty - Groupe Gobert,1:58 1:58,\u25b21,5,2017
20,114,44,+3:27,9.0,Gaudu David,10,FDJ,2:10 2:10,\u25bc1,5,2017
24,53,52,+4:00,11.0,Carapaz Richard,11,Movistar Team,2:43 2:43,-,5,2017
23,194,57,+4:28,13.0,Herklotz Silvio,12,BORA - hansgrohe,3:11 3:11,\u25b21,5,2017
23,152,62,+5:03,14.0,Bettiol Alberto,13,Cannondale-Drapac Pro Cycling Team,3:46 3:46,\u25b21,5,2017
25,154,65,+6:05,16.0,Canty Brendan,14,Cannondale-Drapac Pro Cycling Team,4:48 4:48,\u25b22,5,2017
23,63,66,+6:06,18.0,Haig Jack,15,ORICA-Scott,4:49 4:49,\u25b23,5,2017
24,156,73,+7:40,15.0,Formolo Davide,16,Cannondale-Drapac Pro Cycling Team,6:23 6:23,\u25bc1,5,2017
23,127,74,+7:45,19.0,Politt Nils,17,Team Katusha - Alpecin,6:28 6:28,\u25b22,5,2017
23,44,75,+7:56,17.0,Gogl Michael,18,Trek - Segafredo,6:39 6:39,\u25bc1,5,2017
25,122,76,+8:00,12.0,Bystr\xf8m Sven Erik,19,Team Katusha - Alpecin,6:43 6:43,\u25bc7,5,2017
22,88,77,+8:20,21.0,Vermeulen Alexey,20,Team LottoNL-Jumbo,7:03 7:03,\u25b21,5,2017
24,64,81,+9:01,23.0,Howson Damien,21,ORICA-Scott,7:44 7:44,\u25b22,5,2017
25,217,86,+10:05,24.0,Pacher Quentin,22,Delko Marseille Provence KTM,8:48 8:48,\u25b22,5,2017
25,78,87,+10:22,27.0,Valgren Michael,23,Astana Pro Team,9:05 9:05,\u25b24,5,2017
22,137,89,+10:22,26.0,Hofstede Lennard,24,Team Sunweb,",, 9:05",\u25b22,5,2017
25,158,91,+10:32,22.0,van Baarle Dylan,25,Cannondale-Drapac Pro Cycling Team,9:15 9:15,\u25bc3,5,2017
24,52,93,+10:42,29.0,Arcas Jorge,26,Movistar Team,9:25 9:25,\u25b23,5,2017
24,206,96,+10:55,31.0,Smith Dion,27,Wanty - Groupe Gobert,9:38 9:38,\u25b24,5,2017
23,128,102,+11:21,33.0,Zabel Rick,28,Team Katusha - Alpecin,10:04 10:04,\u25b25,5,2017
21,174,103,+11:27,28.0,O'Connor Ben,29,Team Dimension Data,10:10 10:10,\u25bc1,5,2017
23,118,104,+11:33,20.0,Maison J\xe9r\xe9my,30,FDJ,10:16 10:16,\u25bc10,5,2017
23,97,111,+12:34,30.0,Turgis Anthony,31,"Cofidis, Solutions Cr\xe9dits",11:17 11:17,\u25bc1,5,2017
24,75,113,+12:57,25.0,Lutsenko Alexey,32,Astana Pro Team,11:40 11:40,\u25bc7,5,2017
23,34,114,+13:32,32.0,Frankiny Kilian,33,BMC Racing Team,12:15 12:15,\u25bc1,5,2017
