Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
21,105,108,+9:12,16.0,Mohoric Matej,23,Lampre - Merida,8:52 8:52,,\u25bc7,4,2016
25,111,110,+9:28,33.0,Wellens Tim,24,Lotto Soudal,9:08 9:08,,\u25b29,4,2016
24,44,113,+9:41,40.0,Dombrowski Joe,25,Cannondale Pro Cycling Team,9:21 9:21,,\u25b215,4,2016
25,58,116,+9:54,23.0,Van Zyl Johann,26,Team Dimension Data,9:34 9:34,,\u25bc3,4,2016
24,31,119,+10:29,26.0,Senni Manuel,27,BMC Racing Team,10:09 10:09,,\u25bc1,4,2016
23,145,121,+10:35,32.0,Howson Damien,28,Orica GreenEDGE,10:15 10:15,,\u25b24,4,2016
25,103,125,+11:00,28.0,Koshevoy Ilia,29,Lampre - Merida,10:40 10:40,,\u25bc1,4,2016
21,143,128,+11:48,22.0,Ewan Caleb,30,Orica GreenEDGE,11:28 11:28,,\u25bc8,4,2016
21,26,139,+13:15,38.0,Ciccone Giulio,31,Bardiani - CSF,12:55 12:55,,\u25b27,4,2016
24,132,144,+14:22,31.0,Berlato Giacomo,32,Nippo - Vini Fantini,14:02 14:02,,\u25bc1,4,2016
21,216,145,+14:34,44.0,Rodr\xedguez Cristian,33,Wilier - Southeast,14:14 14:14,,\u25b211,4,2016
22,77,147,+15:01,34.0,Le Gac Olivier,34,FDJ,14:41 14:41,,-,4,2016
24,16,149,+15:15,37.0,Kozhatayev Bakhtiyar,35,Astana Pro Team,14:55 14:55,,\u25b22,4,2016
24,69,156,+16:33,3.0,Wisniowski Lukasz,36,Etixx - Quick Step,16:13 16:13,,\u25bc33,4,2016
24,85,160,+16:56,42.0,Foliforov Alexander,37,Gazprom-RusVelo,16:36 16:36,,\u25b25,4,2016
22,82,162,+17:08,43.0,Rybalkin Aleksey,38,Gazprom-RusVelo,16:48 16:48,,\u25b25,4,2016
23,23,165,+17:22,19.0,Simion Paolo,39,Bardiani - CSF,17:02 17:02,,\u25bc20,4,2016
24,144,169,+18:10,24.0,Hepburn Michael,40,Orica GreenEDGE,17:50 17:50,,\u25bc16,4,2016
22,212,173,+21:12,29.0,Amezqueta Julen,41,Wilier - Southeast,20:52 20:52,,\u25bc12,4,2016
22,78,177,+23:10,35.0,Sarreau Marc,42,FDJ,22:50 22:50,,\u25bc7,4,2016
22,217,182,+24:04,39.0,Mareczko Jakub,43,Wilier - Southeast,23:44 23:44,,\u25bc4,4,2016
22,22,186,+24:47,41.0,Andreetta Simone,44,Bardiani - CSF,24:27 24:27,,\u25bc3,4,2016
24,135,189,+25:16,45.0,Stacchiotti Riccardo,45,Nippo - Vini Fantini,24:56 24:56,,-,4,2016
24,138,190,+25:22,46.0,Yamamoto Genki,46,Nippo - Vini Fantini,25:02 25:02,,-,4,2016
23,137,191,+25:28,47.0,Grosu Eduard Michael,47,Nippo - Vini Fantini,25:08 25:08,,-,4,2016
24,136,193,+26:07,48.0,Filosi Iuri,48,Nippo - Vini Fantini,25:47 25:47,,-,4,2016
23,128,195,+31:39,49.0,S\xfctterlin Jasha,49,Movistar Team,31:19 31:19,,-,4,2016
23,64,2,+0:16,1.0,Jungels Bob,1,Etixx - Quick Step,19:41:04 19:41:04,,-,5,2016
23,45,21,+0:57,2.0,Formolo Davide,2,Cannondale Pro Cycling Team,0:41 0:41,,-,5,2016
22,184,31,+1:34,3.0,Henao Sebasti\xe1n,3,Team Sky,1:18 1:18,,-,5,2016
22,35,36,+1:42,4.0,K\xfcng Stefan,4,BMC Racing Team,1:26 1:26,,-,5,2016
23,68,37,+1:43,5.0,Verona Carlos,5,Etixx - Quick Step,1:27 1:27,,-,5,2016
23,101,46,+2:11,6.0,Conti Valerio,6,Lampre - Merida,1:55 1:55,,-,5,2016
22,54,49,+2:33,7.0,Kudus Merhawi,7,Team Dimension Data,2:17 2:17,,-,5,2016
24,71,53,+3:21,12.0,D\xe9mare Arnaud,8,FDJ,3:05 3:05,,\u25b24,5,2016
23,195,55,+3:41,8.0,McCarthy Jay,9,Tinkoff,3:25 3:25,,\u25bc1,5,2016
25,156,56,+3:42,10.0,Ludvigsson Tobias,10,Team Giant - Alpecin,3:26 3:26,,-,5,2016
25,182,68,+6:26,9.0,Boswell Ian,11,Team Sky,6:10 6:10,,\u25bc2,5,2016
22,48,70,+6:42,15.0,Bettiol Alberto,12,Cannondale Pro Cycling Team,6:26 6:26,,\u25b23,5,2016
24,87,73,+7:05,16.0,Savitskiy Ivan,13,Gazprom-RusVelo,6:49 6:49,,\u25b23,5,2016
23,109,75,+7:13,13.0,Petilli Simone,14,Lampre - Merida,6:57 6:57,,\u25bc1,5,2016
24,152,77,+7:49,17.0,Arndt Nikias,15,Team Giant - Alpecin,7:33 7:33,,\u25b22,5,2016
24,173,82,+8:32,20.0,Hofland Moreno,16,Team LottoNL-Jumbo,8:16 8:16,,\u25b24,5,2016
24,28,84,+8:48,14.0,Maestri Mirco,17,Bardiani - CSF,8:32 8:32,,\u25bc3,5,2016
22,39,85,+8:49,21.0,Zabel Rick,18,BMC Racing Team,8:33 8:33,,\u25b23,5,2016
24,113,88,+9:11,11.0,de Bie Sean,19,Lotto Soudal,8:55 8:55,,\u25bc8,5,2016
24,214,91,+9:37,22.0,Bertazzo Liam,20,Wilier - Southeast,9:21 9:21,,\u25b22,5,2016
24,49,95,+9:57,19.0,Brown Nathan,21,Cannondale Pro Cycling Team,9:41 9:41,,\u25bc2,5,2016
21,105,96,+10:02,23.0,Mohoric Matej,22,Lampre - Merida,9:46 9:46,,\u25b21,5,2016
20,218,103,+11:22,18.0,Martinez Daniel Felipe,23,Wilier - Southeast,11:06 11:06,,\u25bc5,5,2016
21,143,105,+11:44,30.0,Ewan Caleb,24,Orica GreenEDGE,11:28 11:28,,\u25b26,5,2016
23,145,114,+12:53,28.0,Howson Damien,25,Orica GreenEDGE,12:37 12:37,,\u25b23,5,2016
25,58,115,+13:06,26.0,Van Zyl Johann,26,Team Dimension Data,12:50 12:50,,-,5,2016
24,44,118,+13:33,25.0,Dombrowski Joe,27,Cannondale Pro Cycling Team,13:17 13:17,,\u25bc2,5,2016
24,31,119,+13:41,27.0,Senni Manuel,28,BMC Racing Team,13:25 13:25,,\u25bc1,5,2016
24,132,125,+14:34,32.0,Berlato Giacomo,29,Nippo - Vini Fantini,14:18 14:18,,\u25b23,5,2016
25,103,127,+14:52,29.0,Koshevoy Ilia,30,Lampre - Merida,14:36 14:36,,\u25bc1,5,2016
25,111,131,+15:11,24.0,Wellens Tim,31,Lotto Soudal,14:55 14:55,,\u25bc7,5,2016
21,26,140,+17:02,31.0,Ciccone Giulio,32,Bardiani - CSF,16:46 16:46,,\u25bc1,5,2016
21,216,144,+17:46,33.0,Rodr\xedguez Cristian,33,Wilier - Southeast,17:30 17:30,,-,5,2016
23,23,148,+18:16,39.0,Simion Paolo,34,Bardiani - CSF,18:00 18:00,,\u25b25,5,2016
24,16,149,+18:27,35.0,Kozhatayev Bakhtiyar,35,Astana Pro Team,18:11 18:11,,-,5,2016
22,77,150,+18:48,34.0,Le Gac Olivier,36,FDJ,18:32 18:32,,\u25bc2,5,2016
24,69,158,+19:45,36.0,Wisniowski Lukasz,37,Etixx - Quick Step,19:29 19:29,,\u25bc1,5,2016
24,144,160,+20:08,40.0,Hepburn Michael,38,Orica GreenEDGE,19:52 19:52,,\u25b22,5,2016
24,85,163,+20:46,37.0,Foliforov Alexander,39,Gazprom-RusVelo,20:30 20:30,,\u25bc2,5,2016
22,82,169,+22:51,38.0,Rybalkin Aleksey,40,Gazprom-RusVelo,22:35 22:35,,\u25bc2,5,2016
22,212,170,+24:59,41.0,Amezqueta Julen,41,Wilier - Southeast,24:43 24:43,,-,5,2016
22,78,171,+25:14,42.0,Sarreau Marc,42,FDJ,24:58 24:58,,-,5,2016
23,137,177,+27:20,47.0,Grosu Eduard Michael,43,Nippo - Vini Fantini,27:04 27:04,,\u25b24,5,2016
24,135,183,+29:03,45.0,Stacchiotti Riccardo,44,Nippo - Vini Fantini,28:47 28:47,,\u25b21,5,2016
24,138,184,+29:09,46.0,Yamamoto Genki,45,Nippo - Vini Fantini,28:53 28:53,,\u25b21,5,2016
24,136,185,+29:19,48.0,Filosi Iuri,46,Nippo - Vini Fantini,29:03 29:03,,\u25b22,5,2016
22,22,186,+30:30,44.0,Andreetta Simone,47,Bardiani - CSF,30:14 30:14,,\u25bc3,5,2016
23,128,190,+35:26,49.0,S\xfctterlin Jasha,48,Movistar Team,35:10 35:10,,\u25b21,5,2016
23,64,4,+0:35,1.0,Jungels Bob,1,Etixx - Quick Step,24:22:50 24:22:50,,-,6,2016
23,45,23,+1:51,2.0,Formolo Davide,2,Cannondale Pro Cycling Team,1:16 1:16,,-,6,2016
23,68,26,+2:18,5.0,Verona Carlos,3,Etixx - Quick Step,1:43 1:43,,\u25b22,6,2016
22,184,33,+3:49,3.0,Henao Sebasti\xe1n,4,Team Sky,3:14 3:14,,\u25bc1,6,2016
