Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,2,\u25b21,126,Mas Enric,23,Quick-Step Floors,4,+0:53,26:07:03 26:07:03,2018,7
2,1,\u25bc1,33,Oomen Sam,22,Team Sunweb,5,+1:13,0:20 0:20,2018,7
3,3,-,103,Lambrecht Bjorg,21,Lotto Soudal,17,+3:15,2:22 2:22,2018,7
4,4,-,143,Carthy Hugh,23,Team EF Education First-Drapac p/b Cannondale,18,+3:19,2:26 2:26,2018,7
5,5,-,163,Sivakov Pavel,20,Team Sky,20,+4:14,3:21 3:21,2018,7
6,10,\u25b24,74,M\xfchlberger Gregor,24,BORA - hansgrohe,27,+9:48,8:55 8:55,2018,7
7,6,\u25bc1,134,Kudus Merhawi,24,Team Dimension Data,28,+10:01,9:08 9:08,2018,7
8,8,-,66,Padun Mark,21,Bahrain Merida Pro Cycling Team,36,+14:25,13:32 13:32,2018,7
9,9,-,44,Peters Nans,24,AG2R La Mondiale,39,+20:11,19:18 19:18,2018,7
10,7,\u25bc3,7,Cras Steff,22,Team Katusha - Alpecin,47,+28:49,27:56 27:56,2018,7
11,12,\u25b21,183,Dunbar Edward,21,Aqua Blue Sport,62,+43:47,42:54 42:54,2018,7
12,11,\u25bc1,35,Andersen S\xf8ren Kragh,23,Team Sunweb,63,+44:02,43:09 43:09,2018,7
13,13,-,194,Ourselin Paul,24,Direct Energie,91,+1:07:59,1:07:06 1:07:06,2018,7
14,14,-,122,Gaviria Fernando,23,Quick-Step Floors,98,+1:11:47,1:10:54 1:10:54,2018,7
15,16,\u25b21,193,Grellier Fabien,23,Direct Energie,100,+1:13:02,1:12:09 1:12:09,2018,7
16,15,\u25bc1,192,Boudat Thomas,24,Direct Energie,117,+1:25:02,1:24:09 1:24:09,2018,7
17,20,\u25b23,186,Pearson Daniel,24,Aqua Blue Sport,118,+1:27:42,1:26:49 1:26:49,2018,7
18,17,\u25bc1,207,Zaccanti Filippo,22,Nippo - Vini Fantini - Europa Ovini,122,+1:31:48,1:30:55 1:30:55,2018,7
19,18,\u25bc1,176,Troia Oliviero,23,UAE-Team Emirates,125,+1:35:29,1:34:36 1:34:36,2018,7
20,19,\u25bc1,166,Halvorsen Kristoffer,22,Team Sky,128,+1:37:08,",, 1:34:36",2018,7
1,1,-,126,Mas Enric,23,Quick-Step Floors,4,+0:53,28:48:10 28:48:10,2018,8
2,2,-,33,Oomen Sam,22,Team Sunweb,5,+1:13,0:20 0:20,2018,8
3,3,-,103,Lambrecht Bjorg,21,Lotto Soudal,17,+3:15,2:22 2:22,2018,8
4,4,-,143,Carthy Hugh,23,Team EF Education First-Drapac p/b Cannondale,18,+3:19,2:26 2:26,2018,8
5,5,-,163,Sivakov Pavel,20,Team Sky,20,+4:14,3:21 3:21,2018,8
6,6,-,74,M\xfchlberger Gregor,24,BORA - hansgrohe,26,+9:48,8:55 8:55,2018,8
7,7,-,134,Kudus Merhawi,24,Team Dimension Data,27,+10:01,9:08 9:08,2018,8
8,8,-,66,Padun Mark,21,Bahrain Merida Pro Cycling Team,37,+19:22,18:29 18:29,2018,8
9,9,-,44,Peters Nans,24,AG2R La Mondiale,45,+25:08,24:15 24:15,2018,8
10,10,-,7,Cras Steff,22,Team Katusha - Alpecin,47,+28:49,27:56 27:56,2018,8
11,11,-,183,Dunbar Edward,21,Aqua Blue Sport,59,+44:22,43:29 43:29,2018,8
12,12,-,35,Andersen S\xf8ren Kragh,23,Team Sunweb,63,+45:34,44:41 44:41,2018,8
13,13,-,194,Ourselin Paul,24,Direct Energie,86,+1:08:26,1:07:33 1:07:33,2018,8
14,14,-,122,Gaviria Fernando,23,Quick-Step Floors,95,+1:11:41,1:10:48 1:10:48,2018,8
15,15,-,193,Grellier Fabien,23,Direct Energie,99,+1:14:22,1:13:29 1:13:29,2018,8
16,16,-,192,Boudat Thomas,24,Direct Energie,115,+1:25:02,1:24:09 1:24:09,2018,8
