Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
28,27,,,15.0,27.0,Roelandts Jürgen,34,Lotto Belisol Team,,5,2013,▼7
25,54,,,13.0,29.0,Gautier Cyril,35,Team Europcar,,5,2013,▼6
23,212,,,13.0,,Delaplace Anthony,36,Sojasun,,5,2013,-
26,87,,,13.0,30.0,Kadri Blel,37,AG2R La Mondiale,,5,2013,▼7
25,219,,,13.0,31.0,Vuillermoz Alexis,38,Sojasun,,5,2013,▼7
31,118,,,11.0,33.0,Pérez Rubén,39,Euskaltel - Euskadi,,5,2013,▼6
26,184,,,11.0,34.0,Goss Matthew,40,Orica GreenEDGE,,5,2013,▼6
24,53,,,11.0,32.0,Cousin Jérôme,41,Team Europcar,,5,2013,▼9
26,83,,,11.0,35.0,Bouet Maxime,42,AG2R La Mondiale,,5,2013,▼7
26,183,,,10.0,36.0,Clarke Simon,43,Orica GreenEDGE,,5,2013,▼7
25,119,,,10.0,,Sicard Romain,44,Euskaltel - Euskadi,,5,2013,-
32,206,,,10.0,38.0,Lagutin Sergey,45,Vacansoleil - DCM,,5,2013,▼7
28,18,,,9.0,46.0,Sabatini Fabio,46,Cannondale Pro Cycling Team,,5,2013,-
25,57,,,8.0,,Reza Kévin,47,Team Europcar,,5,2013,-
32,92,,,8.0,39.0,Bennati Daniele,48,Team Saxo - Tinkoff,,5,2013,▼9
24,144,,,8.0,40.0,Favilli Elia,49,Lampre - Merida,,5,2013,▼9
24,191,,,8.0,,Degenkolb John,50,Team Argos - Shimano,,5,2013,-
32,156,,,8.0,43.0,Steegmans Gert,51,Omega Pharma - Quick-Step,,5,2013,▼8
24,168,,,7.0,41.0,Vanmarcke Sep,52,Belkin-Pro Cycling Team,,5,2013,▼11
22,73,,,5.0,42.0,Bouhanni Nacer,53,FDJ.fr,,5,2013,▼11
28,199,,,4.0,44.0,Veelers Tom,54,Team Argos - Shimano,,5,2013,▼10
25,113,,,4.0,45.0,Izagirre Gorka,55,Euskaltel - Euskadi,,5,2013,▼10
22,82,,,3.0,47.0,Bardet Romain,56,AG2R La Mondiale,,5,2013,▼9
29,97,,,3.0,50.0,Roche Nicolas,57,Team Saxo - Tinkoff,,5,2013,▼7
36,31,,,2.0,49.0,Evans Cadel,58,BMC Racing Team,,5,2013,▼9
34,152,,,1.0,51.0,Chavanel Sylvain,59,Omega Pharma - Quick-Step,,5,2013,▼8
34,166,,,1.0,52.0,Tankink Bram,60,Belkin-Pro Cycling Team,,5,2013,▼8
32,89,,,1.0,53.0,Riblon Christophe,61,AG2R La Mondiale,,5,2013,▼8
28,214,,,1.0,54.0,Hivert Jonathan,62,Sojasun,,5,2013,▼8
28,12,,,1.0,55.0,Bodnar Maciej,63,Cannondale Pro Cycling Team,,5,2013,▼8
31,28,,,1.0,,Sieberg Marcel,64,Lotto Belisol Team,,5,2013,-
23,11,,,159.0,1.0,Sagan Peter,1,Cannondale Pro Cycling Team,,6,2013,-
30,24,,,130.0,4.0,Greipel André,2,Lotto Belisol Team,,6,2013,▲2
28,151,,,119.0,2.0,Cavendish Mark,3,Omega Pharma - Quick-Step,,6,2013,▼1
25,103,,,111.0,3.0,Kristoff Alexander,4,Team Katusha,,6,2013,▼1
25,197,,,87.0,6.0,Kittel Marcel,5,Team Argos - Shimano,,6,2013,▲1
28,129,,,71.0,7.0,Rojas José Joaquín,6,Movistar Team,,6,2013,▲1
26,2,,,66.0,5.0,Boasson Hagen Edvald,7,Sky Procycling,,6,2013,▼2
19,208,,,65.0,8.0,van Poppel Danny,8,Vacansoleil - DCM,,6,2013,-
24,115,,,51.0,18.0,Lobato Juan José,9,Euskaltel - Euskadi,,6,2013,▲9
23,153,,,49.0,9.0,Kwiatkowski Michał,10,Omega Pharma - Quick-Step,,6,2013,▼1
35,204,,,46.0,12.0,Flecha Juan Antonio,11,Vacansoleil - DCM,,6,2013,▲1
32,84,,,42.0,16.0,Dumoulin Samuel,12,AG2R La Mondiale,,6,2013,▲4
27,161,,,40.0,10.0,Boom Lars,13,Belkin-Pro Cycling Team,,6,2013,▼3
30,215,,,39.0,17.0,Lemoine Cyril,14,Sojasun,,6,2013,▲3
30,145,,,36.0,24.0,Ferrari Roberto,15,Lampre - Merida,,6,2013,▲9
33,181,,,34.0,11.0,Gerrans Simon,16,Orica GreenEDGE,,6,2013,▼5
28,185,,,33.0,19.0,Impey Daryl,17,Orica GreenEDGE,,6,2013,▲2
27,42,,,30.0,13.0,Bakelants Jan,18,RadioShack - Leopard,,6,2013,▼5
27,218,,,30.0,14.0,Simon Julien,19,Sojasun,,6,2013,▼5
36,176,,,30.0,15.0,Millar David,20,Garmin Sharp,,6,2013,▼5
28,65,,,26.0,20.0,Gavazzi Francesco,21,Astana Pro Team,,6,2013,▼1
26,202,,,26.0,21.0,Boeckmans Kris,22,Vacansoleil - DCM,,6,2013,▼1
36,26,,,24.0,22.0,Henderson Gregory,23,Lotto Belisol Team,,6,2013,▼1
23,158,,,22.0,23.0,Trentin Matteo,24,Omega Pharma - Quick-Step,,6,2013,▼1
26,203,,,20.0,25.0,De Gendt Thomas,25,Vacansoleil - DCM,,6,2013,-
31,88,,,20.0,26.0,Minard Sébastien,26,AG2R La Mondiale,,6,2013,-
23,143,,,19.0,27.0,Cimolai Davide,27,Lampre - Merida,,6,2013,-
28,18,,,19.0,46.0,Sabatini Fabio,28,Cannondale Pro Cycling Team,,6,2013,▲18
32,156,,,19.0,51.0,Steegmans Gert,29,Omega Pharma - Quick-Step,,6,2013,▲22
