Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
28.0,105.0,1,30.0,De Marchi Alessandro,38,Cannondale,\u25bc8,4,2014
27.0,67.0,1,28.0,Kadri Blel,39,AG2R La Mondiale,\u25bc11,4,2014
30.0,106.0,1,29.0,Marcato Marco,40,Cannondale,\u25bc11,4,2014
29.0,1.0,30,1.0,Froome Christopher,1,Team Sky,-,5,2014
23.0,191.0,28,3.0,Kelderman Wilco,2,Belkin-Pro Cycling Team,\u25b21,5,2014
31.0,21.0,24,2.0,Contador Alberto,3,Tinkoff - Saxo,\u25bc1,5,2014
30.0,137.0,15,4.0,Trofimov Yuri,4,Team Katusha,-,5,2014
27.0,135.0,15,,Spilak Simon,5,Team Katusha,-,5,2014
22.0,172.0,15,5.0,Arndt Nikias,6,Team Giant - Shimano,\u25bc1,5,2014
25.0,168.0,14,6.0,Talansky Andrew,7,Garmin Sharp,\u25bc1,5,2014
21.0,48.0,13,27.0,Yates Adam,8,Orica GreenEDGE,\u25b219,5,2014
33.0,95.0,12,7.0,Larsson Gustav,9,IAM Cycling,\u25bc2,5,2014
27.0,82.0,12,8.0,Boeckmans Kris,10,Lotto Belisol,\u25bc2,5,2014
21.0,111.0,10,9.0,Jungels Bob,11,Trek Factory Racing,\u25bc2,5,2014
25.0,86.0,10,10.0,Ligthart Pim,12,Lotto Belisol,\u25bc2,5,2014
25.0,177.0,10,11.0,Janse van Rensburg Reinardt,13,Team Giant - Shimano,\u25bc2,5,2014
28.0,143.0,9,12.0,Bakelants Jan,14,Omega Pharma - Quick-Step,\u25bc2,5,2014
31.0,81.0,8,13.0,Van den Broeck Jurgen,15,Lotto Belisol,\u25bc2,5,2014
29.0,11.0,8,14.0,Nibali Vincenzo,16,Astana Pro Team,\u25bc2,5,2014
30.0,196.0,8,15.0,Nordhaug Lars Petter,17,Belkin-Pro Cycling Team,\u25bc2,5,2014
29.0,44.0,8,,Impey Daryl,18,Orica GreenEDGE,-,5,2014
26.0,76.0,8,16.0,Martinez Yannick,19,Team Europcar,\u25bc3,5,2014
24.0,92.0,6,17.0,Br\xe4ndle Matthias,20,IAM Cycling,\u25bc3,5,2014
23.0,61.0,6,,Bardet Romain,21,AG2R La Mondiale,-,5,2014
26.0,104.0,6,29.0,Caruso Damiano,22,Cannondale,\u25b27,5,2014
29.0,128.0,6,18.0,Velits Peter,23,BMC Racing Team,\u25bc5,5,2014
