Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
33.0,28.0,37.0,10,Voigt Jens,3,CSC ProTeam,9,2005,▲7
30.0,115.0,34.0,,Cioni Dario David,4,Liquigas,9,2005,-
30.0,14.0,20.0,2,Klöden Andreas,5,T-Mobile Team,9,2005,▼3
32.0,67.0,20.0,,Moos Alexandre,6,Phonak Hearing Systems,9,2005,-
28.0,99.0,18.0,,Vicioso Ángel,7,Liberty Seguros - Würth Team,9,2005,-
24.0,59.0,18.0,3,Weening Pieter,8,Rabobank ProTeam,9,2005,▼5
32.0,61.0,17.0,4,Botero Santiago,9,Phonak Hearing Systems,9,2005,▼5
28.0,197.0,17.0,,Landaluze Iñigo,10,Euskaltel - Euskadi,9,2005,-
28.0,39.0,13.0,,Zandio Xabier,11,Illes Balears - Caisse d'Epargne,9,2005,-
31.0,11.0,12.0,5,Ullrich Jan,12,T-Mobile Team,9,2005,▼7
25.0,167.0,10.0,6,Wegmann Fabian,13,Gerolsteiner,9,2005,▼7
33.0,23.0,10.0,7,Julich Bobby,14,CSC ProTeam,9,2005,▼7
25.0,108.0,10.0,8,Kashechkin Andrey,15,Crédit Agricole,9,2005,▼7
30.0,122.0,8.0,9,Augé Stéphane,16,"Cofidis, le Crédit par Téléphone",9,2005,▼7
29.0,54.0,7.0,11,Kroon Karsten,17,Rabobank ProTeam,9,2005,▼6
26.0,149.0,7.0,12,Voeckler Thomas,18,Bouygues Telecom,9,2005,▼6
34.0,53.0,6.0,13,Dekker Erik,19,Rabobank ProTeam,9,2005,▼6
32.0,4.0,,14*,Hincapie George,20*,Discovery Channel,9,2005,-
26.0,82.0,5.0,15,Bertogliati Rubens,21,Saunier Duval - Prodir,9,2005,▼6
28.0,102.0,3.0,16,Bodrogi László,22,Crédit Agricole,9,2005,▼6
27.0,166.0,3.0,17,Scholz Ronny,23,Gerolsteiner,9,2005,▼6
30.0,116.0,3.0,18,Gerosa Mauro,24,Liquigas,9,2005,▼6
33.0,52.0,2.0,,Boogerd Michael,25*,Rabobank ProTeam,9,2005,-
34.0,169.0,2.0,19,Zberg Beat,26,Gerolsteiner,9,2005,▼7
30.0,83.0,2.0,20,Cañada David,27,Saunier Duval - Prodir,9,2005,▼7
28.0,114.0,2.0,21,Carlström Kjell,28,Liquigas,9,2005,▼7
26.0,208.0,2.0,22,Portal Nicolas,29,AG2R Prévoyance,9,2005,▼7
31.0,111.0,2.0,,Garzelli Stefano,30,Liquigas,9,2005,-
37.0,143.0,1.0,23,Brochard Laurent,31,Bouygues Telecom,9,2005,▼8
30.0,153.0,1.0,24,Commesso Salvatore,32,Lampre-Caffita,9,2005,▼8
31.0,57.0,110.0,1,Rasmussen Michael,1,Rabobank ProTeam,10,2005,-
34.0,101.0,40.0,2,Moreau Christophe,2,Crédit Agricole,10,2005,-
33.0,28.0,37.0,3,Voigt Jens,3,CSC ProTeam,10,2005,-
30.0,115.0,34.0,4,Cioni Dario David,4,Liquigas,10,2005,-
25.0,38.0,30.0,,Valverde Alejandro,5,Illes Balears - Caisse d'Epargne,10,2005,-
33.0,1.0,,,Armstrong Lance,6*,Discovery Channel,10,2005,-
30.0,14.0,20.0,5,Klöden Andreas,7,T-Mobile Team,10,2005,▼2
32.0,67.0,20.0,6,Moos Alexandre,8,Phonak Hearing Systems,10,2005,▼2
29.0,31.0,18.0,,Mancebo Francisco,9,Illes Balears - Caisse d'Epargne,10,2005,-
28.0,99.0,18.0,7,Vicioso Ángel,10,Liberty Seguros - Würth Team,10,2005,▼3
24.0,59.0,18.0,8,Weening Pieter,11,Rabobank ProTeam,10,2005,▼3
32.0,61.0,17.0,9,Botero Santiago,12,Phonak Hearing Systems,10,2005,▼3
28.0,197.0,17.0,10,Landaluze Iñigo,13,Euskaltel - Euskadi,10,2005,▼3
37.0,143.0,16.0,31,Brochard Laurent,14,Bouygues Telecom,10,2005,▲17
27.0,21.0,16.0,,Basso Ivan,15,CSC ProTeam,10,2005,-
31.0,164.0,,,Leipheimer Levi,16*,Gerolsteiner,10,2005,-
24.0,56.0,13.0,,Posthuma Joost,17,Rabobank ProTeam,10,2005,-
28.0,39.0,13.0,11,Zandio Xabier,18,Illes Balears - Caisse d'Epargne,10,2005,▼7
31.0,11.0,12.0,12,Ullrich Jan,19,T-Mobile Team,10,2005,▼7
31.0,151.0,12.0,,Mazzoleni Eddy,20,Lampre-Caffita,10,2005,-
26.0,207.0,11.0,,Krivtsov Yuriy,21,AG2R Prévoyance,10,2005,-
25.0,167.0,10.0,13,Wegmann Fabian,22,Gerolsteiner,10,2005,▼9
28.0,44.0,10.0,,Evans Cadel,23,Davitamon - Lotto,10,2005,-
33.0,23.0,10.0,14,Julich Bobby,24,CSC ProTeam,10,2005,▼10
25.0,108.0,10.0,15,Kashechkin Andrey,25,Crédit Agricole,10,2005,▼10
21.0,97.0,9.0,,Sánchez Luis León,26,Liberty Seguros - Würth Team,10,2005,-
30.0,122.0,8.0,16,Augé Stéphane,27,"Cofidis, le Crédit par Téléphone",10,2005,▼11
23.0,74.0,8.0,,Facci Mauro,28,Fassa Bortolo,10,2005,-
29.0,54.0,7.0,17,Kroon Karsten,29,Rabobank ProTeam,10,2005,▼12
26.0,149.0,7.0,18,Voeckler Thomas,30,Bouygues Telecom,10,2005,▼12
36.0,152.0,7.0,,Bortolami Gianluca,31,Lampre-Caffita,10,2005,-
34.0,53.0,6.0,19,Dekker Erik,32,Rabobank ProTeam,10,2005,▼13
28.0,196.0,6.0,,Isasi Iñaki,33,Euskaltel - Euskadi,10,2005,-
32.0,4.0,,20*,Hincapie George,34*,Discovery Channel,10,2005,-
28.0,96.0,5.0,,Jaksche Jörg,35,Liberty Seguros - Würth Team,10,2005,-
26.0,82.0,5.0,21,Bertogliati Rubens,36,Saunier Duval - Prodir,10,2005,▼15
28.0,102.0,3.0,22,Bodrogi László,37,Crédit Agricole,10,2005,▼15
27.0,166.0,3.0,23,Scholz Ronny,38,Gerolsteiner,10,2005,▼15
30.0,116.0,3.0,24,Gerosa Mauro,39,Liquigas,10,2005,▼15
33.0,52.0,2.0,25*,Boogerd Michael,40*,Rabobank ProTeam,10,2005,-
34.0,169.0,2.0,26,Zberg Beat,41,Gerolsteiner,10,2005,▼15
30.0,83.0,2.0,27,Cañada David,42,Saunier Duval - Prodir,10,2005,▼15
28.0,114.0,2.0,28,Carlström Kjell,43,Liquigas,10,2005,▼15
26.0,208.0,2.0,29,Portal Nicolas,44,AG2R Prévoyance,10,2005,▼15
31.0,111.0,2.0,30,Garzelli Stefano,45,Liquigas,10,2005,▼15
30.0,153.0,1.0,32,Commesso Salvatore,46,Lampre-Caffita,10,2005,▼14
31.0,57.0,160.0,1,Rasmussen Michael,1,Rabobank ProTeam,11,2005,-
34.0,101.0,89.0,2,Moreau Christophe,2,Crédit Agricole,11,2005,-
32.0,61.0,88.0,12,Botero Santiago,3,Phonak Hearing Systems,11,2005,▲9
31.0,19.0,71.0,,Vinokourov Alexandre,4,T-Mobile Team,11,2005,-
33.0,1.0,,6*,Armstrong Lance,5*,Discovery Channel,11,2005,-
30.0,115.0,34.0,4,Cioni Dario David,6,Liquigas,11,2005,▼2
25.0,38.0,30.0,5,Valverde Alejandro,7,Illes Balears - Caisse d'Epargne,11,2005,▼2
31.0,2.0,30.0,,Azevedo José Bento,8,Discovery Channel,11,2005,-
27.0,68.0,27.0,,Pereiro Óscar,9,Phonak Hearing Systems,11,2005,-
32.0,9.0,25.0,,Savoldelli Paolo,10,Discovery Channel,11,2005,-
30.0,14.0,20.0,7,Klöden Andreas,11,T-Mobile Team,11,2005,▼4
28.0,44.0,20.0,23,Evans Cadel,12,Davitamon - Lotto,11,2005,▲11
32.0,67.0,20.0,8,Moos Alexandre,13,Phonak Hearing Systems,11,2005,▼5
29.0,31.0,18.0,9,Mancebo Francisco,14,Illes Balears - Caisse d'Epargne,11,2005,▼5
28.0,99.0,18.0,10,Vicioso Ángel,15,Liberty Seguros - Würth Team,11,2005,▼5
24.0,59.0,18.0,11,Weening Pieter,16,Rabobank ProTeam,11,2005,▼5
