Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
27,26.0,\u25bc1,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,106.0,+3:22:30,3:22:30 3:22:30,2014,19
28,28.0,-,163,Tulik Angelo,23,Team Europcar,119.0,+3:36:08,3:36:08 3:36:08,2014,19
29,29.0,-,66,Moser Moreno,23,Cannondale,121.0,+3:36:45,3:36:45 3:36:45,2014,19
30,30.0,-,37,Barbin Enrico,24,Bardiani - CSF Pro Team,123.0,+3:38:10,3:38:10 3:38:10,2014,19
31,32.0,\u25b21,33,Boem Nicola,24,Bardiani - CSF Pro Team,124.0,+3:41:27,3:41:27 3:41:27,2014,19
32,31.0,\u25bc1,67,Ratto Daniele,24,Cannondale,125.0,+3:42:26,3:42:26 3:42:26,2014,19
33,33.0,-,81,Bouhanni Nacer,23,FDJ.fr,138.0,+4:07:04,4:07:04 4:07:04,2014,19
34,34.0,-,216,Nizzolo Giacomo,25,Trek Factory Racing,140.0,+4:10:54,4:10:54 4:10:54,2014,19
35,36.0,\u25b21,69,Viviani Elia,25,Cannondale,143.0,+4:13:08,4:13:08 4:13:08,2014,19
36,37.0,\u25b21,136,Fedi Andrea,23,Neri Sottoli,148.0,+4:17:36,4:17:36 4:17:36,2014,19
37,35.0,\u25bc2,78,Romero Jeffry,24,Team Colombia,150.0,+4:18:20,4:18:20 4:18:20,2014,19
38,39.0,\u25b21,63,Koch Michel,22,Cannondale,151.0,+4:19:14,4:19:14 4:19:14,2014,19
39,38.0,\u25bc1,212,Alafaci Eugenio,23,Trek Factory Racing,152.0,+4:19:52,4:19:52 4:19:52,2014,19
40,40.0,-,153,Hepburn Michael,22,Orica GreenEDGE,154.0,+4:38:15,4:38:15 4:38:15,2014,19
41,41.0,-,42,Bol Jetse,24,Belkin-Pro Cycling Team,157.0,+4:50:48,4:50:48 4:50:48,2014,19
1,1.0,-,121,Quintana Nairo,24,Movistar Team,1.0,+0:00,83:50:25 83:50:25,2014,20
2,2.0,-,3,Aru Fabio,23,Astana Pro Team,3.0,+4:04,4:04 4:04,2014,20
3,3.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,6.0,+7:13,7:13 7:13,2014,20
4,4.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,7.0,+11:09,11:09 11:09,2014,20
5,5.0,-,195,Henao Sebasti\xe1n,20,Team Sky,22.0,+56:24,56:24 56:24,2014,20
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,28.0,+1:05:12,1:05:12 1:05:12,2014,20
7,7.0,-,7,Landa Mikel,24,Astana Pro Team,34.0,+1:23:06,1:23:06 1:23:06,2014,20
8,8.0,-,44,Goos Marc,23,Belkin-Pro Cycling Team,35.0,+1:30:43,1:30:43 1:30:43,2014,20
9,9.0,-,107,Polanc Jan,22,Lampre - Merida,43.0,+1:45:31,1:45:31 1:45:31,2014,20
10,10.0,-,205,Poljanski Pawel,24,Tinkoff - Saxo,51.0,+2:04:10,2:04:10 2:04:10,2014,20
11,11.0,-,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,52.0,+2:06:51,2:06:51 2:06:51,2014,20
12,13.0,\u25b21,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,53.0,+2:09:41,2:09:41 2:09:41,2014,20
13,12.0,\u25bc1,118,Wellens Tim,23,Lotto Belisol,54.0,+2:10:33,2:10:33 2:10:33,2014,20
14,15.0,\u25b21,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,58.0,+2:21:18,2:21:18 2:21:18,2014,20
15,14.0,\u25bc1,15,Domont Axel,23,AG2R La Mondiale,59.0,+2:22:05,2:22:05 2:22:05,2014,20
16,16.0,-,103,Cattaneo Mattia,23,Lampre - Merida,63.0,+2:26:05,2:26:05 2:26:05,2014,20
17,17.0,-,138,Monsalve Yonathan,24,Neri Sottoli,66.0,+2:28:48,2:28:48 2:28:48,2014,20
18,18.0,-,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,76.0,+2:46:18,2:46:18 2:46:18,2014,20
19,20.0,\u25b21,149,Vermote Julien,24,Omega Pharma - Quick-Step,88.0,+3:07:48,3:07:48 3:07:48,2014,20
20,19.0,\u25bc1,86,Le Bon Johan,23,FDJ.fr,90.0,+3:10:20,3:10:20 3:10:20,2014,20
21,21.0,-,208,McCarthy Jay,21,Tinkoff - Saxo,91.0,+3:13:23,3:13:23 3:13:23,2014,20
22,24.0,\u25b22,117,Van der Sande Tosh,23,Lotto Belisol,93.0,+3:15:27,3:15:27 3:15:27,2014,20
23,22.0,\u25bc1,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,94.0,+3:17:36,3:17:36 3:17:36,2014,20
24,23.0,\u25bc1,214,Felline Fabio,24,Trek Factory Racing,96.0,+3:18:04,3:18:04 3:18:04,2014,20
25,25.0,-,197,Puccio Salvatore,24,Team Sky,99.0,+3:22:27,3:22:27 3:22:27,2014,20
26,27.0,\u25b21,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,100.0,+3:29:39,3:29:39 3:29:39,2014,20
27,26.0,\u25bc1,96,Haas Nathan,25,Garmin Sharp,104.0,+3:34:24,3:34:24 3:34:24,2014,20
28,29.0,\u25b21,66,Moser Moreno,23,Cannondale,120.0,+3:53:14,3:53:14 3:53:14,2014,20
29,30.0,\u25b21,37,Barbin Enrico,24,Bardiani - CSF Pro Team,121.0,+3:53:14,",, 3:53:14",2014,20
30,28.0,\u25bc2,163,Tulik Angelo,23,Team Europcar,122.0,+3:56:12,3:56:12 3:56:12,2014,20
31,31.0,-,33,Boem Nicola,24,Bardiani - CSF Pro Team,125.0,+4:04:33,4:04:33 4:04:33,2014,20
32,32.0,-,67,Ratto Daniele,24,Cannondale,127.0,+4:04:39,4:04:39 4:04:39,2014,20
33,33.0,-,81,Bouhanni Nacer,23,FDJ.fr,140.0,+4:30:15,4:30:15 4:30:15,2014,20
34,34.0,-,216,Nizzolo Giacomo,25,Trek Factory Racing,142.0,+4:32:16,4:32:16 4:32:16,2014,20
35,35.0,-,69,Viviani Elia,25,Cannondale,145.0,+4:35:21,4:35:21 4:35:21,2014,20
36,36.0,-,136,Fedi Andrea,23,Neri Sottoli,147.0,+4:38:08,4:38:08 4:38:08,2014,20
37,37.0,-,78,Romero Jeffry,24,Team Colombia,149.0,+4:38:41,4:38:41 4:38:41,2014,20
38,39.0,\u25b21,212,Alafaci Eugenio,23,Trek Factory Racing,150.0,+4:40:31,4:40:31 4:40:31,2014,20
39,38.0,\u25bc1,63,Koch Michel,22,Cannondale,152.0,+4:41:27,4:41:27 4:41:27,2014,20
40,40.0,-,153,Hepburn Michael,22,Orica GreenEDGE,154.0,+5:02:39,5:02:39 5:02:39,2014,20
41,41.0,-,42,Bol Jetse,24,Belkin-Pro Cycling Team,156.0,+5:13:20,5:13:20 5:13:20,2014,20
1,1.0,-,121,Quintana Nairo,24,Movistar Team,1.0,+0:00,88:14:32 88:14:32,2014,21
2,2.0,-,3,Aru Fabio,23,Astana Pro Team,3.0,+4:04,4:04 4:04,2014,21
3,3.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,6.0,+7:04,7:04 7:04,2014,21
4,4.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,7.0,+11:00,11:00 11:00,2014,21
5,5.0,-,195,Henao Sebasti\xe1n,20,Team Sky,22.0,+56:24,56:24 56:24,2014,21
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,27.0,+1:05:03,1:05:03 1:05:03,2014,21
7,7.0,-,7,Landa Mikel,24,Astana Pro Team,34.0,+1:23:06,1:23:06 1:23:06,2014,21
8,8.0,-,44,Goos Marc,23,Belkin-Pro Cycling Team,35.0,+1:30:43,1:30:43 1:30:43,2014,21
9,9.0,-,107,Polanc Jan,22,Lampre - Merida,42.0,+1:45:31,1:45:31 1:45:31,2014,21
10,10.0,-,205,Poljanski Pawel,24,Tinkoff - Saxo,50.0,+2:04:29,2:04:29 2:04:29,2014,21
11,11.0,-,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,52.0,+2:06:42,2:06:42 2:06:42,2014,21
12,12.0,-,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,53.0,+2:10:50,2:10:50 2:10:50,2014,21
13,13.0,-,118,Wellens Tim,23,Lotto Belisol,54.0,+2:12:34,2:12:34 2:12:34,2014,21
14,15.0,\u25b21,15,Domont Axel,23,AG2R La Mondiale,58.0,+2:22:05,2:22:05 2:22:05,2014,21
15,14.0,\u25bc1,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,59.0,+2:23:07,2:23:07 2:23:07,2014,21
16,16.0,-,103,Cattaneo Mattia,23,Lampre - Merida,64.0,+2:27:54,2:27:54 2:27:54,2014,21
17,17.0,-,138,Monsalve Yonathan,24,Neri Sottoli,66.0,+2:28:48,2:28:48 2:28:48,2014,21
18,18.0,-,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,76.0,+2:47:27,2:47:27 2:47:27,2014,21
19,19.0,-,149,Vermote Julien,24,Omega Pharma - Quick-Step,88.0,+3:07:48,3:07:48 3:07:48,2014,21
20,20.0,-,86,Le Bon Johan,23,FDJ.fr,89.0,+3:10:20,3:10:20 3:10:20,2014,21
21,21.0,-,208,McCarthy Jay,21,Tinkoff - Saxo,91.0,+3:13:23,3:13:23 3:13:23,2014,21
22,22.0,-,117,Van der Sande Tosh,23,Lotto Belisol,93.0,+3:15:18,3:15:18 3:15:18,2014,21
23,23.0,-,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,94.0,+3:17:27,3:17:27 3:17:27,2014,21
24,24.0,-,214,Felline Fabio,24,Trek Factory Racing,96.0,+3:19:56,3:19:56 3:19:56,2014,21
25,25.0,-,197,Puccio Salvatore,24,Team Sky,98.0,+3:22:27,3:22:27 3:22:27,2014,21
26,26.0,-,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,100.0,+3:32:08,3:32:08 3:32:08,2014,21
27,27.0,-,96,Haas Nathan,25,Garmin Sharp,104.0,+3:34:24,3:34:24 3:34:24,2014,21
28,29.0,\u25b21,37,Barbin Enrico,24,Bardiani - CSF Pro Team,119.0,+3:53:05,3:53:05 3:53:05,2014,21
29,28.0,\u25bc1,66,Moser Moreno,23,Cannondale,120.0,+3:53:33,3:53:33 3:53:33,2014,21
30,30.0,-,163,Tulik Angelo,23,Team Europcar,123.0,+3:58:41,3:58:41 3:58:41,2014,21
31,32.0,\u25b21,67,Ratto Daniele,24,Cannondale,126.0,+4:04:39,4:04:39 4:04:39,2014,21
32,31.0,\u25bc1,33,Boem Nicola,24,Bardiani - CSF Pro Team,128.0,+4:05:56,4:05:56 4:05:56,2014,21
33,33.0,-,81,Bouhanni Nacer,23,FDJ.fr,140.0,+4:30:05,4:30:05 4:30:05,2014,21
34,34.0,-,216,Nizzolo Giacomo,25,Trek Factory Racing,141.0,+4:32:01,4:32:01 4:32:01,2014,21
35,35.0,-,69,Viviani Elia,25,Cannondale,145.0,+4:35:12,4:35:12 4:35:12,2014,21
36,36.0,-,136,Fedi Andrea,23,Neri Sottoli,148.0,+4:38:27,4:38:27 4:38:27,2014,21
37,37.0,-,78,Romero Jeffry,24,Team Colombia,149.0,+4:39:50,4:39:50 4:39:50,2014,21
38,38.0,-,212,Alafaci Eugenio,23,Trek Factory Racing,151.0,+4:42:20,4:42:20 4:42:20,2014,21
39,39.0,-,63,Koch Michel,22,Cannondale,152.0,+4:42:36,4:42:36 4:42:36,2014,21
40,40.0,-,153,Hepburn Michael,22,Orica GreenEDGE,154.0,+5:03:48,5:03:48 5:03:48,2014,21
41,41.0,-,42,Bol Jetse,24,Belkin-Pro Cycling Team,156.0,+5:15:19,5:15:19 5:15:19,2014,21
