Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
24,24.0,-,197,Puccio Salvatore,24,Team Sky,93.0,+39:52,38:42 38:42,2014,8
25,18.0,\u25bc7,138,Monsalve Yonathan,24,Neri Sottoli,96.0,+41:05,39:55 39:55,2014,8
26,15.0,\u25bc11,152,Durbridge Luke,23,Orica GreenEDGE,98.0,+41:39,40:29 40:29,2014,8
27,25.0,\u25bc2,149,Vermote Julien,24,Omega Pharma - Quick-Step,102.0,+43:33,42:23 42:23,2014,8
28,27.0,\u25bc1,214,Felline Fabio,24,Trek Factory Racing,114.0,+48:19,47:09 47:09,2014,8
29,28.0,\u25bc1,66,Moser Moreno,23,Cannondale,115.0,+48:44,47:34 47:34,2014,8
30,30.0,-,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,117.0,+49:18,48:08 48:08,2014,8
31,22.0,\u25bc9,53,Eijssen Yannick,24,BMC Racing Team,118.0,+49:20,48:10 48:10,2014,8
32,34.0,\u25b22,163,Tulik Angelo,23,Team Europcar,127.0,+52:50,51:40 51:40,2014,8
33,36.0,\u25b23,117,Van der Sande Tosh,23,Lotto Belisol,130.0,+54:07,52:57 52:57,2014,8
34,33.0,\u25bc1,73,Avila Edwin,24,Team Colombia,140.0,+58:55,57:45 57:45,2014,8
35,32.0,\u25bc3,12,Appollonio Davide,24,AG2R La Mondiale,145.0,+1:00:16,59:06 59:06,2014,8
36,35.0,\u25bc1,33,Boem Nicola,24,Bardiani - CSF Pro Team,147.0,+1:01:12,1:00:02 1:00:02,2014,8
37,37.0,-,208,McCarthy Jay,21,Tinkoff - Saxo,148.0,+1:01:41,1:00:31 1:00:31,2014,8
38,38.0,-,37,Barbin Enrico,24,Bardiani - CSF Pro Team,151.0,+1:02:37,1:01:27 1:01:27,2014,8
39,39.0,-,216,Nizzolo Giacomo,25,Trek Factory Racing,152.0,+1:02:46,1:01:36 1:01:36,2014,8
40,40.0,-,67,Ratto Daniele,24,Cannondale,154.0,+1:03:03,1:01:53 1:01:53,2014,8
41,41.0,-,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,157.0,+1:03:59,1:02:49 1:02:49,2014,8
42,42.0,-,69,Viviani Elia,25,Cannondale,159.0,+1:04:42,1:03:32 1:03:32,2014,8
43,43.0,-,81,Bouhanni Nacer,23,FDJ.fr,161.0,+1:04:57,1:03:47 1:03:47,2014,8
44,44.0,-,78,Romero Jeffry,24,Team Colombia,166.0,+1:07:07,1:05:57 1:05:57,2014,8
45,46.0,\u25b21,136,Fedi Andrea,22,Neri Sottoli,170.0,+1:07:55,1:06:45 1:06:45,2014,8
46,45.0,\u25bc1,212,Alafaci Eugenio,23,Trek Factory Racing,172.0,+1:08:21,1:07:11 1:07:11,2014,8
47,47.0,-,96,Haas Nathan,25,Garmin Sharp,176.0,+1:12:48,1:11:38 1:11:38,2014,8
48,48.0,-,63,Koch Michel,22,Cannondale,177.0,+1:13:09,1:11:59 1:11:59,2014,8
49,49.0,-,38,Ruffoni Nicola,23,Bardiani - CSF Pro Team,179.0,+1:20:04,1:18:54 1:18:54,2014,8
50,50.0,-,153,Hepburn Michael,22,Orica GreenEDGE,181.0,+1:25:11,1:24:01 1:24:01,2014,8
51,51.0,-,83,Courteille Arnaud,25,FDJ.fr,182.0,+1:27:33,1:26:23 1:26:23,2014,8
52,52.0,-,42,Bol Jetse,24,Belkin-Pro Cycling Team,185.0,+1:31:11,1:30:01 1:30:01,2014,8
1,1.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,3.0,+1:10,38:50:44 38:50:44,2014,9
2,2.0,-,3,Aru Fabio,23,Astana Pro Team,6.0,+1:39,0:29 0:29,2014,9
3,3.0,-,109,Ulissi Diego,24,Lampre - Merida,7.0,+1:43,0:33 0:33,2014,9
4,4.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,8.0,+1:44,0:34 0:34,2014,9
5,5.0,-,121,Quintana Nairo,24,Movistar Team,9.0,+1:45,0:35 0:35,2014,9
6,8.0,\u25b22,176,Preidler Georg,23,Team Giant - Shimano,33.0,+11:43,10:33 10:33,2014,9
7,7.0,-,174,Ludvigsson Tobias,23,Team Giant - Shimano,36.0,+14:09,12:59 12:59,2014,9
8,9.0,\u25b21,205,Poljanski Pawel,24,Tinkoff - Saxo,40.0,+17:41,16:31 16:31,2014,9
9,12.0,\u25b23,7,Landa Mikel,24,Astana Pro Team,44.0,+22:20,21:10 21:10,2014,9
