Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
25,,135,68.0,+44:19,,Teunissen Mike,91,Team Sunweb,0:51 0:51,,7,2018
32,,4,73.0,+47:58,,Leezer Tom,92,Team LottoNL-Jumbo,",, 0:51",,7,2018
23,,117,103.0,+1:01:09,,Owen Logan,93,Team EF Education First-Drapac p/b Cannondale,",, 0:51",,7,2018
28,,47,75.0,+48:16,,Vermote Julien,94,Team Dimension Data,",, 0:51",,7,2018
33,,72,28.0,+15:27,,Bauer Jack,95,Mitchelton-Scott,",, 0:51",,7,2018
31,,165,69.0,+44:46,,Norris Lachlan,96,UnitedHealthcare Pro Cycling Team,",, 0:51",,7,2018
33,,12,91.0,+56:41,,Bodnar Maciej,97,BORA - hansgrohe,1:13 1:13,,7,2018
33,,134,111.0,+1:06:12,,Stamsnijder Tom,98,Team Sunweb,",, 1:13",,7,2018
24,,156,83.0,+51:41,,Lienhard Fabian,99,Holowesko - Citadel p/b Arapahoe Resources,",, 1:13",,7,2018
32,,132,94.0,+58:14,,Fr\xf6hlinger Johannes,100,Team Sunweb,",, 1:13",,7,2018
29,,54,84.0,+52:44,,Haas Nathan,101,Team Katusha - Alpecin,",, 1:13",,7,2018
28,,61,67.0,+44:05,,Huffman Evan,102,Rally Cycling,1:21 1:21,,7,2018
26,,113,52.0,+33:04,,Craddock Lawson,103,Team EF Education First-Drapac p/b Cannondale,",, 1:21",,7,2018
22,,42,102.0,+1:00:26,,Davies Scott,104,Team Dimension Data,",, 1:21",,7,2018
26,,131,57.0,+37:14,,Arndt Nikias,105,Team Sunweb,",, 1:21",,7,2018
40,,74,71.0,+46:15,,Hayman Mathew,106,Mitchelton-Scott,",, 1:21",,7,2018
26,,43,46.0,+27:24,,Morton Lachlan,107,Team Dimension Data,1:33 1:33,,7,2018
32,,46,79.0,+50:32,,Thomson Jay Robert,108,Team Dimension Data,1:40 1:40,,7,2018
26,,75,92.0,+57:13,,Hepburn Michael,109,Mitchelton-Scott,2:08 2:08,,7,2018
24,,64,108.0,+1:04:26,,De Vos Adam,110,Rally Cycling,2:26 2:26,,7,2018
33,,162,104.0,+1:01:58,,Clarke Jonathan,111,UnitedHealthcare Pro Cycling Team,2:34 2:34,,7,2018
26,,143,62.0,+42:07,,Bystr\xf8m Sven Erik,112,UAE-Team Emirates,",, 2:34",,7,2018
