Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
22.0,69,+0:34,,,Bennett George,69,RadioShack - Nissan,",, 0:34",+0:34,,,1,2012
39.0,70,+0:34,,,Bajadali Andrew,70,Optum p/b Kelly Benefit Strategies,",, 0:34",+0:34,,,1,2012
21.0,71,+0:34,,,Dombrowski Joe,71,Bontrager Livestrong Team,",, 0:34",+0:34,,,1,2012
33.0,72,+0:34,,,Tankink Bram,72,Rabobank Cycling Team,",, 0:34",+0:34,,,1,2012
34.0,73,+0:43,,,Pipp Frank Kevin,73,Bissell Pro Cycling,0:43 0:43,+0:43,,,1,2012
28.0,74,+4:53,,,Johnson Sam,74,Team Exergy,4:53 4:53,+4:53,,,1,2012
24.0,75,+6:25,,,Salas Sebastian,75,Optum p/b Kelly Benefit Strategies,6:25 6:25,+6:25,,,1,2012
34.0,76,+7:06,,,Wilson Matthew,76,Orica GreenEDGE,7:06 7:06,+7:06,,,1,2012
27.0,77,+7:06,,,Clarke Jonathan,77,UnitedHealthcare Presented by Maxxis,",, 7:06",+7:06,,,1,2012
33.0,78,+7:06,,,Zirbel Tom,78,Optum p/b Kelly Benefit Strategies,",, 7:06",+7:06,,,1,2012
21.0,79,+7:06,,,Bevin Patrick,79,Bissell Pro Cycling,",, 7:06",+7:06,,,1,2012
32.0,80,+7:06,,,Rast Gregory,80,RadioShack - Nissan,",, 7:06",+7:06,,,1,2012
39.0,81,+7:06,,,McEwen Robbie,81,Orica GreenEDGE,",, 7:06",+7:06,,,1,2012
37.0,82,+7:06,,,Pe\xf1a Victor Hugo,82,Colombia - Coldeportes,",, 7:06",+7:06,,,1,2012
26.0,83,+7:06,,,Suarez Juan Pablo,83,Colombia - Coldeportes,",, 7:06",+7:06,,,1,2012
31.0,84,+7:06,,,Da Dalto Mauro,84,Liquigas - Cannondale,",, 7:06",+7:06,,,1,2012
22.0,85,+7:06,,,Loader Logan,85,Team Exergy,",, 7:06",+7:06,,,1,2012
25.0,86,+7:06,,,Koren Kristijan,86,Liquigas - Cannondale,",, 7:06",+7:06,,,1,2012
23.0,87,+7:06,,,King Benjamin,87,RadioShack - Nissan,",, 7:06",+7:06,,,1,2012
23.0,88,+7:06,,,Jones Carter,88,Bissell Pro Cycling,",, 7:06",+7:06,,,1,2012
30.0,89,+7:06,,,White Bradley,89,UnitedHealthcare Presented by Maxxis,",, 7:06",+7:06,,,1,2012
21.0,90,+7:06,,,Houle Hugo,90,Spidertech Powered by C10,",, 7:06",+7:06,,,1,2012
22.0,91,+7:06,,,Boily David,91,Spidertech Powered by C10,",, 7:06",+7:06,,,1,2012
32.0,92,+7:06,,,Gonzalez Javier,92,Colombia - Coldeportes,",, 7:06",+7:06,,,1,2012
22.0,93,+7:06,,,Boivin Guillaume,93,Spidertech Powered by C10,",, 7:06",+7:06,,,1,2012
30.0,94,+7:06,,,Mondory Lloyd,94,AG2R La Mondiale,",, 7:06",+7:06,,,1,2012
31.0,95,+7:06,,,Riblon Christophe,95,AG2R La Mondiale,",, 7:06",+7:06,,,1,2012
23.0,96,+7:06,,,Damuseau Thomas,96,Argos - Shimano,",, 7:06",+7:06,,,1,2012
25.0,97,+7:06,,,Ciolek Gerald,97,Omega Pharma - Quick-Step,",, 7:06",+7:06,,,1,2012
24.0,98,+7:06,,,Kittel Marcel,98,Argos - Shimano,",, 7:06",+7:06,,,1,2012
30.0,99,+7:06,,,Hanson Ken,99,Optum p/b Kelly Benefit Strategies,",, 7:06",+7:06,,,1,2012
28.0,100,+7:06,,,Doi Yukihiro,100,Argos - Shimano,",, 7:06",+7:06,,,1,2012
37.0,101,+7:06,,,Candelario Alex,101,Optum p/b Kelly Benefit Strategies,",, 7:06",+7:06,,,1,2012
25.0,102,+7:06,,,Peterson Tom,102,Team Garmin - Barracuda,",, 7:06",+7:06,,,1,2012
34.0,103,+7:06,,,Zwizanski Scott,103,Optum p/b Kelly Benefit Strategies,",, 7:06",+7:06,,,1,2012
36.0,104,+7:06,,,Grabsch Bert,104,Omega Pharma - Quick-Step,",, 7:06",+7:06,,,1,2012
40.0,105,+7:06,,,Voigt Jens,105,RadioShack - Nissan,",, 7:06",+7:06,,,1,2012
26.0,106,+7:06,,,Kluge Roger,106,Argos - Shimano,",, 7:06",+7:06,,,1,2012
26.0,107,+7:06,,,Stamsnijder Tom,107,Argos - Shimano,",, 7:06",+7:06,,,1,2012
34.0,108,+7:06,,,Tjallingii Maarten,108,Rabobank Cycling Team,",, 7:06",+7:06,,,1,2012
27.0,109,+7:06,,,Schmitt Morgan,109,Team Exergy,",, 7:06",+7:06,,,1,2012
29.0,110,+7:06,,,de Kort Koen,110,Argos - Shimano,",, 7:06",+7:06,,,1,2012
23.0,111,+7:06,,,Haas Nathan,111,Team Garmin - Barracuda,",, 7:06",+7:06,,,1,2012
28.0,112,+7:06,,,Rabon Frantisek,112,Omega Pharma - Quick-Step,",, 7:06",+7:06,,,1,2012
30.0,113,+7:06,,,Mccarty Jonathan Patrick,113,Spidertech Powered by C10,",, 7:06",+7:06,,,1,2012
31.0,114,+7:06,,,Creed Michael,114,Optum p/b Kelly Benefit Strategies,",, 7:06",+7:06,,,1,2012
20.0,115,+7:06,,,Stuyven Jasper,115,Bontrager Livestrong Team,",, 7:06",+7:06,,,1,2012
19.0,116,+7:06,,,Eastman Ryan,116,Bontrager Livestrong Team,",, 7:06",+7:06,,,1,2012
28.0,117,+7:06,,,Euser Lucas,117,,",, 7:06",+7:06,,,1,2012
