Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
39,,,+0:00,,Mengin Christophe,88,Fran\xe7aise des Jeux,5:31 5:31,1,2008
28,,,+0:00,,Geslin Anthony,89,Bouygues Telecom,",, 5:31",1,2008
25,,,+0:00,,Lill Darren,90,BMC Racing Team,",, 5:31",1,2008
22,,,+0:00,,Kohler Martin,91,BMC Racing Team,",, 5:31",1,2008
34,,,+0:00,,Hinault S\xe9bastien,92,Cr\xe9dit Agricole,",, 5:31",1,2008
35,,,+0:00,,Grabsch Ralf,93,Milram,",, 5:31",1,2008
25,,,+0:00,,Franzoi Enrico,94,Liquigas,",, 5:31",1,2008
25,,,+0:00,,Bonnaire Olivier,95,Bouygues Telecom,",, 5:31",1,2008
28,,,+0:00,,Rast Gregory,96,Astana,",, 5:31",1,2008
22,,,+0:00,,Roelandts Jurgen,97,Silence - Lotto,",, 5:31",1,2008
22,,,+0:00,,Wyss Danilo,98,BMC Racing Team,",, 5:31",1,2008
34,,,+0:00,,Velo Marco,99,Milram,",, 5:31",1,2008
34,,,+0:00,,Tosatto Matteo,100,Quickstep - Innergetic,",, 5:31",1,2008
36,,,+0:00,,Vansevenant Wim,101,Silence - Lotto,",, 5:31",1,2008
31,,,+0:00,,Zandio Xabier,102,Caisse d'Epargne,",, 5:31",1,2008
30,,,+0:00,,Hoste Leif,103,Silence - Lotto,",, 5:31",1,2008
24,,,+0:00,,Bono Matteo,104,Lampre,",, 5:31",1,2008
23,,,+0:00,,Possoni Morris,105,Team Columbia,",, 5:31",1,2008
34,,,+0:00,,O'Grady Stuart,106,CSC ProTeam,6:59 6:59,1,2008
26,,,+0:00,,Portal S\xe9bastien,107,Cofidis,8:36 8:36,1,2008
26,,,+0:00,,Pozzato Filippo,108,Liquigas,9:52 9:52,1,2008
28,,,+0:00,,Ballan Alessandro,109,Lampre,",, 9:52",1,2008
36,,,+0:00,,Cruz Antonio,110,BMC Racing Team,",, 9:52",1,2008
21,,,+0:00,,Boasson Hagen Edvald,111,Team Columbia,",, 9:52",1,2008
26,,,+0:00,,Mondory Lloyd,112,AG2R La Mondiale,",, 9:52",1,2008
34,,,+0:00,,Mori Massimiliano,113,Lampre,",, 9:52",1,2008
