Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
26,56,4.0,,Maaskant Martijn,55,Team Garmin - Transitions,3,2010,-
25,14,4.0,,Fuglsang Jakob,56,Saxo Bank,3,2010,-
26,22,3.0,,Brajkovič Janez,57,RadioShack,3,2010,-
30,118,2.0,,Rogers Michael,58,Team HTC - Columbia,3,2010,-
35,24,2.0,,Klöden Andreas,59,RadioShack,3,2010,-
29,89,2.0,,Riblon Christophe,60,AG2R La Mondiale,3,2010,-
31,198,2.0,,Tankink Bram,61,Rabobank ProTeam,3,2010,-
32,181,2.0,,Sánchez Samuel,62,Euskaltel - Euskadi,3,2010,-
26,3,2.0,,Grivko Andrey,63,Astana,3,2010,-
29,71,2.0,,Karpets Vladimir,64,Team Katusha,3,2010,-
23,43,2.0,,Koren Kristijan,65,Liquigas - Doimo,3,2010,-
29,61,2.0,,Le Mével Christophe,66,Francaise des Jeux,3,2010,-
23,162,2.0,,Costa Rui,67,Caisse d'Epargne,3,2010,-
31,62,2.0,,Casar Sandy,68,Francaise des Jeux,3,2010,-
34,197,2.0,,Niermann Grischa,69,Rabobank ProTeam,3,2010,-
24,195,2.0,,Gesink Robert,70,Rabobank ProTeam,3,2010,-
38,23,2.0,,Horner Chris,71,RadioShack,3,2010,-
36,205,2.0,,Hondo Danilo,72,Lampre - Farnese Vini,3,2010,-
34,194,2.0,,Garate Juan Manuel,73,Rabobank ProTeam,3,2010,-
35,91,2.0,,Sastre Carlos,74,Cervelo Test Team,3,2010,-
32,41,2.0,,Basso Ivan,75,Liquigas - Doimo,3,2010,-
29,175,2.0,,Kern Christophe,76,"Cofidis, le Crédit en Ligne",3,2010,-
31,164,2.0,,Gutiérrez José Iván,77,Caisse d'Epargne,3,2010,-
28,107,2.0,,Moreno Daniel,78,Omega Pharma-Lotto,3,2010,-
30,122,2.0,,Ballan Alessandro,79,BMC Racing Team,3,2010,-
30,28,2.0,,Popovych Yaroslav,80,RadioShack,3,2010,-
31,84,2.0,,Elmiger Martin,81,AG2R La Mondiale,3,2010,-
28,179,2.0,,Pauriol Rémi,82,"Cofidis, le Crédit en Ligne",3,2010,-
32,34,2.0,,Flecha Juan Antonio,83,Sky Procycling,3,2010,-
31,85,2.0,,Gadret John,84,AG2R La Mondiale,3,2010,-
31,77,2.0,,Rodríguez Joaquim,85,Team Katusha,3,2010,-
31,7,2.0,,Noval Benjamin,86,Astana,3,2010,-
22,155,2.0,,Gautier Cyril,87,Bbox Bouygues Telecom,3,2010,-
