Rider,year,stage_scores
Cardoso Andr\xe9,2016,0.0
Cardoso Andr\xe9,2017,6.0
Cardoso Manuel,2010,8.0
Carrara Matteo,2006,17.0
Carrara Matteo,2008,33.0
Carrara Matteo,2012,0.0
Carretero H\xe9ctor,2018,0.0
Caruso Damiano,2014,36.0
Caruso Damiano,2016,28.0
Caruso Damiano,2018,103.0
Caruso Giampaolo,2015,0.0
Casar Sandy,2001,0.0
Casar Sandy,2002,0.0
Casar Sandy,2004,48.0
Casar Sandy,2007,11.0
Casar Sandy,2008,19.0
Casar Sandy,2011,0.0
Casero Angel Luis,1998,0.0
Casero Angel Luis,1999,16.0
Casero Moreno Rafael,2005,19.0
Casper Jimmy,2000,0.0
Casper Jimmy,2001,20.0
Casper Jimmy,2004,0.0
Castaneda Jaime,2007,0.0
Castresana Angel,1999,25.0
Castrillo Jaime,2018,0.0
Castroviejo Jonathan,2013,24.0
Castroviejo Jonathan,2015,26.0
Castroviejo Jonathan,2018,43.0
Cataldo Dario,2010,42.0
Cataldo Dario,2011,0.0
Cataldo Dario,2016,0.0
Cataldo Dario,2018,14.0
Cattaneo Mattia,2016,0.0
Caucchioli Pietro,2006,57.0
Cazaux Pierre,2010,0.0
Cerezo Francisco,2002,0.0
Ch\xe9rel Micka\xebl,2012,0.0
Ch\xe9rel Micka\xebl,2014,0.0
Ch\xe9rel Micka\xebl,2015,0.0
Ch\xe9rel Micka\xebl,2016,0.0
Chainel Steve,2010,38.0
Champion Dimitri,2010,24.0
Chanteur Pascal,1998,10.0
Chanteur Pascal,1999,54.0
Chanteur Pascal,2000,0.0
Chanteur Pascal,2001,11.0
Charteau Anthony,2002,0.0
Charteau Anthony,2003,13.0
Charteau Anthony,2005,30.0
Charteau Anthony,2006,7.0
Charteau Anthony,2007,19.0
Charteau Anthony,2012,12.0
Charteau Anthony,2013,0.0
Chaurreau I\xf1igo,1999,7.0
Chaurreau I\xf1igo,2001,57.0
Chaurreau I\xf1igo,2002,23.0
Chaurreau I\xf1igo,2003,82.0
Chaurreau I\xf1igo,2004,0.0
Chaurreau I\xf1igo,2005,0.0
Chavanel S\xe9bastien,2007,24.0
Chavanel S\xe9bastien,2008,30.0
Chavanel S\xe9bastien,2009,0.0
Chavanel S\xe9bastien,2010,24.0
Chavanel S\xe9bastien,2011,15.0
Chavanel Sylvain,2002,24.0
Chavanel Sylvain,2003,13.0
Chavanel Sylvain,2005,20.0
Chavanel Sylvain,2006,38.0
Chavanel Sylvain,2007,51.0
Chavanel Sylvain,2012,0.0
Chavanel Sylvain,2013,25.0
Chavanel Sylvain,2014,14.0
Chaves Johan Esteban,2017,15.0
Chernetski Sergei,2013,14.0
Chernetski Sergei,2017,0.0
Chernetski Sergei,2018,0.0
Chevrier Cl\xe9ment,2016,0.0
Chicchi Francesco,2006,0.0
Cimolai Davide,2012,0.0
Cimolai Davide,2014,22.0
