Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
23,108,40,+10:55,,43,Sagan Peter,40,Cannondale Pro Cycling Team,10:55 10:55,+0:00,,\u25b23,5,2013
22,187,41,+10:59,,44,Preidler Georg,41,Team Argos - Shimano,10:59 10:59,+0:00,,\u25b23,5,2013
27,201,42,+11:01,,45,Simon Julien,42,Sojasun,11:01 11:01,+0:00,,\u25b23,5,2013
27,171,43,+11:04,,46,Bole Grega,43,Vacansoleil - DCM,11:04 11:04,+0:00,,\u25b23,5,2013
32,128,44,+11:16,,41,Zaugg Oliver,44,Team Saxo - Tinkoff,11:16 11:16,+0:30,,\u25bc3,5,2013
32,206,45,+11:18,,42,Mederel Maxime,45,Sojasun,11:18 11:18,+0:30,,\u25bc3,5,2013
30,71,46,+11:19,,47,Gilbert Philippe,46,BMC Racing Team,11:19 11:19,+0:00,,\u25b21,5,2013
27,184,47,+11:35,,49,Geschke Simon,47,Team Argos - Shimano,11:35 11:35,+0:00,,\u25b22,5,2013
28,122,48,+11:47,,50,Breschel Matti,48,Team Saxo - Tinkoff,11:47 11:47,+0:00,,\u25b22,5,2013
31,42,49,+11:51,,51,De Weert Kevin,49,Omega Pharma - Quick-Step,11:51 11:51,+0:00,,\u25b22,5,2013
33,57,50,+11:57,,52,Kashechkin Andrey,50,Astana Pro Team,11:57 11:57,+0:00,,\u25b22,5,2013
24,153,51,+12:06,,48,Izagirre Ion,51,Euskaltel - Euskadi,12:06 12:06,+0:41,,\u25bc3,5,2013
24,101,52,+13:52,,54,Agostini Stefano,52,Cannondale Pro Cycling Team,13:52 13:52,+0:00,,\u25b22,5,2013
29,167,53,+14:08,,53,Roy J\xe9r\xe9my,53,FDJ.fr,14:08 14:08,+0:30,,-,5,2013
26,111,54,+14:21,,56,Kruijswijk Steven,54,Blanco Pro Cycling Team,14:21 14:21,+0:00,,\u25b22,5,2013
28,183,55,+14:43,,55,Fr\xf6hlinger Johannes,55,Team Argos - Shimano,14:43 14:43,+0:30,,-,5,2013
22,12,56,+15:28,,58,Dombrowski Joe,56,Sky Procycling,15:28 15:28,+0:00,,\u25b22,5,2013
29,194,57,+16:20,,60,Haussler Heinrich,57,IAM Cycling,16:20 16:20,+0:00,,\u25b23,5,2013
32,155,58,+16:46,,61,Oroz Juan Jos\xe9,58,Euskaltel - Euskadi,16:46 16:46,+0:00,,\u25b23,5,2013
28,135,59,+17:02,,62,Impey Daryl,59,Orica GreenEDGE,17:02 17:02,+0:00,,\u25b23,5,2013
27,163,60,+18:04,,64,Jeannesson Arnold,60,FDJ.fr,18:04 18:04,+0:00,,\u25b24,5,2013
32,68,61,+18:21,,57,Vansummeren Johan,61,Garmin Sharp,18:21 18:21,+3:31,,\u25bc4,5,2013
29,72,62,+19:34,,68,Burghardt Marcus,62,BMC Racing Team,19:34 19:34,+0:00,,\u25b26,5,2013
22,182,63,+20:22,,70,Dumoulin Tom,63,Team Argos - Shimano,20:22 20:22,+0:00,,\u25b27,5,2013
29,86,64,+20:23,,69,Montaguti Matteo,64,AG2R La Mondiale,20:23 20:23,+0:30,,\u25b25,5,2013
28,46,65,+20:40,,72,Vandewalle Kristof,65,Omega Pharma - Quick-Step,20:40 20:40,+0:00,,\u25b27,5,2013
31,207,66,+20:44,,73,Pauriol R\xe9mi,66,Sojasun,20:44 20:44,+0:00,,\u25b27,5,2013
28,37,67,+21:14,,77,Schleck Andy,67,RadioShack - Leopard,21:14 21:14,+0:00,,\u25b210,5,2013
