Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
25,128,84,+12:08,,,Kreder Wesley,84,Roompot - Oranje Peloton,",, 12:08",+12:08,,,1,2016
30,22,85,+12:08,,,Fr\xf6hlinger Johannes,85,Team Giant - Alpecin,",, 12:08",+12:08,,,1,2016
26,36,86,+12:08,,,Rosskopf Joey,86,BMC Racing Team,",, 12:08",+12:08,,,1,2016
25,85,87,+12:08,,,Van Asbroeck Tom,87,Team LottoNL-Jumbo,",, 12:08",+12:08,,,1,2016
22,72,88,+12:08,,,Capiot Amaury,88,Topsport Vlaanderen - Baloise,",, 12:08",+12:08,,,1,2016
22,126,89,+12:08,,,Slik Ivar,89,Roompot - Oranje Peloton,",, 12:08",+12:08,,,1,2016
32,108,90,+12:08,,,Sulzberger Bernard,90,Drapac Professional Cycling,",, 12:08",+12:08,,,1,2016
30,153,91,+12:08,,,Busche Matthew,91,UnitedHealthcare Pro Cycling Team,",, 12:08",+12:08,,,1,2016
25,97,92,+12:08,,,Stenuit Robin,92,Wanty - Groupe Gobert,",, 12:08",+12:08,,,1,2016
32,46,93,+12:08,,,Schillinger Andreas,93,Bora - Argon 18,",, 12:08",+12:08,,,1,2016
32,87,94,+12:08,,,Wagner Robert,94,Team LottoNL-Jumbo,",, 12:08",+12:08,,,1,2016
25,121,95,+12:08,,,Asselman Jesper,95,Roompot - Oranje Peloton,",, 12:08",+12:08,,,1,2016
26,174,96,+12:08,,,Hasnaoui Maher,96,Skydive Dubai Pro Cycling Team - Al Ahli Club,",, 12:08",+12:08,,,1,2016
28,44,97,+12:08,,,Pfingsten Christoph,97,Bora - Argon 18,",, 12:08",+12:08,,,1,2016
27,42,98,+12:08,,,Archbold Shane,98,Bora - Argon 18,",, 12:08",+12:08,,,1,2016
20,124,99,+12:08,,,Looij Andre,99,Roompot - Oranje Peloton,",, 12:08",+12:08,,,1,2016
31,171,100,+12:08,,,Santaromita Ivan,100,Skydive Dubai Pro Cycling Team - Al Ahli Club,",, 12:08",+12:08,,,1,2016
25,164,101,+12:08,,,Koep Thomas,101,St\xf6lting Service Group,",, 12:08",+12:08,,,1,2016
30,134,102,+12:08,,,Costa M\xe1rio,102,Lampre - Merida,",, 12:08",+12:08,,,1,2016
26,147,103,+12:08,,,Stepniak Grzegorz,103,CCC Sprandi Polkowice,",, 12:08",+12:08,,,1,2016
27,82,104,+12:08,,,Castelijns Twan,104,Team LottoNL-Jumbo,",, 12:08",+12:08,,,1,2016
31,132,105,+12:08,,,Arashiro Yukiya,105,Lampre - Merida,",, 12:08",+12:08,,,1,2016
25,115,106,+12:08,,,Houle Hugo,106,AG2R La Mondiale,",, 12:08",+12:08,,,1,2016
22,137,107,+12:08,,,Pibernik Luka,107,Lampre - Merida,",, 12:08",+12:08,,,1,2016
26,133,108,+12:08,,,Cimolai Davide,108,Lampre - Merida,",, 12:08",+12:08,,,1,2016
27,55,109,+12:08,,,Jarrier Benoit,109,Fortuneo - Vital Concept,",, 12:08",+12:08,,,1,2016
27,98,110,+12:08,,,Thurau Bjorn,110,Wanty - Groupe Gobert,",, 12:08",+12:08,,,1,2016
44,141,111,+12:08,,,Rebellin Davide,111,CCC Sprandi Polkowice,",, 12:08",+12:08,,,1,2016
29,146,112,+12:08,,,Ponzi Simone,112,CCC Sprandi Polkowice,",, 12:08",+12:08,,,1,2016
27,151,113,+12:08,,,Canola Marco,113,UnitedHealthcare Pro Cycling Team,",, 12:08",+12:08,,,1,2016
21,105,114,+12:08,,,Lowndes Jason,114,Drapac Professional Cycling,",, 12:08",+12:08,,,1,2016
26,16,115,+12:08,,,Reguigui Youcef,115,Team Dimension Data,",, 12:08",+12:08,,,1,2016
34,158,116,+12:08,,,White Bradley,116,UnitedHealthcare Pro Cycling Team,",, 12:08",+12:08,,,1,2016
24,156,117,+12:08,,,Keough Luke,117,UnitedHealthcare Pro Cycling Team,",, 12:08",+12:08,,,1,2016
38,157,118,+12:08,,,Menzies Karl,118,UnitedHealthcare Pro Cycling Team,",, 12:08",+12:08,,,1,2016
23,163,119,+12:08,,,Kirsch Alex,119,St\xf6lting Service Group,",, 12:08",+12:08,,,1,2016
33,116,120,+12:08,,,Minard S\xe9bastien,120,AG2R La Mondiale,",, 12:08",+12:08,,,1,2016
29,113,121,+12:08,,,Gaudin Damien,121,AG2R La Mondiale,",, 12:08",+12:08,,,1,2016
24,4,122,+12:08,,,Haller Marco,122,Team Katusha,",, 12:08",+12:08,,,1,2016
20,166,123,+12:08,,,Pedersen Mads,123,St\xf6lting Service Group,",, 12:08",+12:08,,,1,2016
22,162,124,+12:08,,,Kamp Alexander,124,St\xf6lting Service Group,",, 12:08",+12:08,,,1,2016
25,104,125,+12:08,,,Koning Peter,125,Drapac Professional Cycling,",, 12:08",+12:08,,,1,2016
31,93,126,+12:08,,,Dehaes Kenny,126,Wanty - Groupe Gobert,",, 12:08",+12:08,,,1,2016
23,165,127,+12:49,,,Mager Christian,127,St\xf6lting Service Group,12:49 12:49,+12:49,,,1,2016
32,54,128,+19:30,,,Hutarovich Yauheni,128,Fortuneo - Vital Concept,19:30 19:30,+19:30,,,1,2016
30,112,129,+19:30,,,Bagdonas Gediminas,129,AG2R La Mondiale,",, 19:30",+19:30,,,1,2016
24,56,130,+19:30,,,McLay Daniel,130,Fortuneo - Vital Concept,",, 19:30",+19:30,,,1,2016
27,117,131,+19:30,,,Sergent Jesse,131,AG2R La Mondiale,",, 19:30",+19:30,,,1,2016
21,138,132,+19:30,,,Zurlo Federico,132,Lampre - Merida,",, 19:30",+19:30,,,1,2016
