Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
27,16,6,33.0,Moreau Christophe,43,Festina - Lotus,\u25bc10,3,1998
33,25,5,34.0,Fontanelli Fabiano,44,Mercatone Uno,\u25bc10,3,1998
24,1,5,35.0,Ullrich Jan,45,Team Telekom - ARD,\u25bc10,3,1998
23,82,4,,B\xe4ckstedt Magnus,46,GAN,-,3,1998
30,19,4,36.0,Z\xfclle Alex,47,Festina - Lotus,\u25bc11,3,1998
26,97,4,37.0,Van Hyfte Paul,48,Lotto - Mobistar,\u25bc11,3,1998
28,78,3,38.0,Sergio Rodrigues Orlando,49,Banesto,\u25bc11,3,1998
29,13,3,39.0,Dufaux Laurent,50,Festina - Lotus,\u25bc11,3,1998
27,88,2,40.0,Vasseur C\xe9dric,51,GAN,\u25bc11,3,1998
26,143,2,41.0,Crepaldi Mirco,52,Polti,\u25bc11,3,1998
27,73,2,,Arrieta Jose Luis,53,Banesto,-,3,1998
24,145,1,,Guidi Leonardo,54,Polti,-,3,1998
29,127,1,42.0,Mengin Christophe,55,La Fran\xe7aise des Jeux,\u25bc13,3,1998
24,32,1,43.0,Di Grande Giuseppe,56,Mapei - Bricobi,\u25bc13,3,1998
32,185,1,44.0,Ekimov Viatcheslav,57,US Postal Service,\u25bc13,3,1998
29,37,99,1.0,Svorada Jan,1,Mapei - Bricobi,-,4,1998
28,9,91,3.0,Zabel Erik,2,Team Telekom - ARD,\u25b21,4,1998
26,36,87,2.0,Steels Tom,3,Mapei - Bricobi,\u25bc1,4,1998
29,83,81,5.0,Moncassin Fr\xe9d\xe9ric,4,GAN,\u25b21,4,1998
28,197,70,9.0,Minali Nicola,5,Riso Scotti - MG,\u25b24,4,1998
26,55,66,4.0,van Bon L\xe9on,6,Rabobank ProTeam,\u25bc2,4,1998
24,84,58,8.0,O'Grady Stuart,7,GAN,\u25b21,4,1998
26,102,57,23.0,Blijlevens Jeroen,8,TVM - Farm Frites,\u25b215,4,1998
27,114,51,12.0,Fagnini Gian-matteo,9,Saeco Macchine da Caffe' - Cannondale,\u25b23,4,1998
28,67,51,6.0,Kirsipuu Jaan,10,Casino - AG2R,\u25bc4,4,1998
35,147,51,11.0,Martinello Silvio,11,Polti,-,4,1998
25,187,48,7.0,Hincapie George,12,US Postal Service,\u25bc5,4,1998
28,61,38,10.0,Hamburger Bo,13,Casino - AG2R,\u25bc3,4,1998
27,126,37,13.0,Magnien Emmanuel,14,La Fran\xe7aise des Jeux,\u25bc1,4,1998
33,6,35,14.0,Heppner Jens,15,Team Telekom - ARD,\u25bc1,4,1998
35,94,34,30.0,Tchmil Andrei,16,Lotto - Mobistar,\u25b214,4,1998
25,133,34,15.0,Gaumont Philippe,17,Cofidis,\u25bc2,4,1998
26,144,34,16.0,Guidi Fabrizio,18,Polti,\u25bc2,4,1998
28,125,30,17.0,Jan Xavier,19,La Fran\xe7aise des Jeux,\u25bc2,4,1998
26,29,30,18.0,Traversoni Mario,20,Mercatone Uno,\u25bc2,4,1998
31,111,26,19.0,Cipollini Mario,21,Saeco Macchine da Caffe' - Cannondale,\u25bc2,4,1998
29,106,25,40.0,Michaelsen Lars,22,TVM - Farm Frites,\u25b218,4,1998
22,159,24,20.0,Turicchia Alain,23,Asics - CGA,\u25bc3,4,1998
29,41,24,21.0,Jalabert Laurent,24,O.N.C.E.,\u25bc3,4,1998
25,134,23,22.0,Jalabert Nicolas,25,Cofidis,\u25bc3,4,1998
28,58,22,41.0,Vierhouten Aart,26,Rabobank ProTeam,\u25b215,4,1998
34,14,21,24.0,Herv\xe9 Pascal,27,Festina - Lotus,\u25bc3,4,1998
25,75,20,25.0,Garcia Jose Vicente,28,Banesto,\u25bc3,4,1998
29,87,20,26.0,Simon Fran\xe7ois,29,GAN,\u25bc3,4,1998
29,172,18,27.0,Cabello Francisco,30,Kelme - Costa Blanca,\u25bc3,4,1998
31,129,17,,Sciandri Maximilian,31,La Fran\xe7aise des Jeux,-,4,1998
30,64,17,28.0,Chanteur Pascal,32,Casino - AG2R,\u25bc4,4,1998
30,191,16,,Baldato Fabio,33,Riso Scotti - MG,-,4,1998
31,65,16,34.0,Durand Jacky,34,Casino - AG2R,-,4,1998
29,205,14,29.0,Djavanian Viatcheslav,35,BigMat - Auber 93,\u25bc6,4,1998
28,71,14,32.0,Olano Abraham,36,Banesto,\u25bc4,4,1998
34,7,12,,Riis Bjarne,37,Team Telekom - ARD,-,4,1998
30,12,12,31.0,Brochard Laurent,38,Festina - Lotus,\u25bc7,4,1998
24,128,12,37.0,Nazon Damien,39,La Fran\xe7aise des Jeux,\u25bc2,4,1998
27,124,11,,Heulot Stephane,40,La Fran\xe7aise des Jeux,-,4,1998
28,165,11,33.0,Ferrigato Andrea,41,Vitalicio Seguros,\u25bc8,4,1998
27,16,11,43.0,Moreau Christophe,42,Festina - Lotus,\u25b21,4,1998
26,135,11,39.0,Julich Bobby,43,Cofidis,\u25bc4,4,1998
30,109,9,,Voskamp Bart,44,TVM - Farm Frites,-,4,1998
23,152,9,35.0,Bongioni Alessio,45,Asics - CGA,\u25bc10,4,1998
26,123,8,,Guesdon Fr\xe9d\xe9ric,46,La Fran\xe7aise des Jeux,-,4,1998
25,63,8,36.0,Barthe St\xe9phane,47,Casino - AG2R,\u25bc11,4,1998
29,39,8,38.0,Zanini Stefano,48,Mapei - Bricobi,\u25bc10,4,1998
25,164,7,,Casero Angel Luis,49,Vitalicio Seguros,-,4,1998
32,47,6,,Mauri Melchor,50,O.N.C.E.,-,4,1998
32,38,6,42.0,Tafi Andrea,51,Mapei - Bricobi,\u25bc9,4,1998
33,25,5,44.0,Fontanelli Fabiano,52,Mercatone Uno,\u25bc8,4,1998
24,1,5,45.0,Ullrich Jan,53,Team Telekom - ARD,\u25bc8,4,1998
26,93,4,,Laukka Joona,54,Lotto - Mobistar,-,4,1998
23,82,4,46.0,B\xe4ckstedt Magnus,55,GAN,\u25bc9,4,1998
29,13,4,50.0,Dufaux Laurent,56,Festina - Lotus,\u25bc6,4,1998
26,97,4,48.0,Van Hyfte Paul,57,Lotto - Mobistar,\u25bc9,4,1998
30,19,4,47.0,Z\xfclle Alex,58,Festina - Lotus,\u25bc11,4,1998
28,78,3,49.0,Sergio Rodrigues Orlando,59,Banesto,\u25bc10,4,1998
27,88,2,51.0,Vasseur C\xe9dric,60,GAN,\u25bc9,4,1998
