Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
28,65,17,,Laengen Vegard Stake,27,UAE Team Emirates,,-,6,2017
23,44,17,24.0,K\xfcng Stefan,28,BMC Racing Team,,\u25bc4,6,2017
24,89,15,28.0,Yates Simon,29,ORICA-Scott,,\u25bc1,6,2017
27,21,15,29.0,Quintana Nairo,30,Movistar Team,,\u25bc1,6,2017
33,177,15,,Quemeneur Perrig,31,Direct Energie,,-,6,2017
36,3,15,32.0,Kiryienka Vasil,32,Team Sky,,-,6,2017
29,178,15,30.0,Sicard Romain,33,Direct Energie,,\u25bc3,6,2017
30,217,15,31.0,Pichon Laurent,34,Fortuneo - Oscaro,,\u25bc3,6,2017
32,137,14,33.0,Roelandts Jurgen,35,Lotto Soudal,,\u25bc2,6,2017
28,119,14,58.0,Selig R\xfcdiger,36,BORA - hansgrohe,,\u25b222,6,2017
30,188,13,34.0,Uran Rigoberto,37,Cannondale-Drapac Pro Cycling Team,,\u25bc3,6,2017
32,53,13,35.0,Fuglsang Jakob,38,Astana Pro Team,,\u25bc3,6,2017
30,205,13,38.0,Offredo Yoann,39,Wanty - Groupe Gobert,,\u25bc1,6,2017
25,211,13,68.0,McLay Daniel,40,Fortuneo - Oscaro,,\u25b228,6,2017
36,136,13,39.0,Hansen Adam,41,Lotto Soudal,,\u25bc2,6,2017
32,121,13,37.0,Martin Tony,42,Team Katusha - Alpecin,,\u25bc5,6,2017
27,108,13,40.0,Trentin Matteo,43,Quick-Step Floors,,\u25bc3,6,2017
31,73,13,36.0,Delage Micka\xebl,44,FDJ,,\u25bc8,6,2017
27,115,12,41.0,Majka Rafa\u0142,45,BORA - hansgrohe,,\u25bc4,6,2017
34,31,11,42.0,Contador Alberto,46,Trek - Segafredo,,\u25bc4,6,2017
31,12,11,43.0,Bakelants Jan,47,AG2R La Mondiale,,\u25bc4,6,2017
28,215,11,44.0,Hardy Romain,48,Fortuneo - Oscaro,,\u25bc4,6,2017
28,33,11,64.0,Degenkolb John,49,Trek - Segafredo,,\u25b215,6,2017
23,133,10,45.0,Benoot Tiesj,50,Lotto Soudal,,\u25bc5,6,2017
36,67,10,46.0,Mori Manuele,51,UAE Team Emirates,,\u25bc5,6,2017
30,209,10,49.0,Vanspeybrouck Pieter,52,Wanty - Groupe Gobert,,\u25bc3,6,2017
30,216,10,48.0,Perichon Pierre-Luc,53,Fortuneo - Oscaro,,\u25bc5,6,2017
25,184,10,47.0,Brown Nathan,54,Cannondale-Drapac Pro Cycling Team,,\u25bc7,6,2017
31,107,9,55.0,Stybar Zdenek,55,Quick-Step Floors,,-,6,2017
32,168,9,50.0,van Emden Jos,56,Team LottoNL-Jumbo,,\u25bc6,6,2017
25,189,9,51.0,van Baarle Dylan,57,Cannondale-Drapac Pro Cycling Team,,\u25bc6,6,2017
27,5,8,52.0,Kwiatkowski Michal,58,Team Sky,,\u25bc6,6,2017
23,129,8,59.0,Zabel Rick,59,Team Katusha - Alpecin,,-,6,2017
32,112,8,54.0,Bodnar Maciej,60,BORA - hansgrohe,,\u25bc6,6,2017
38,171,8,53.0,Voeckler Thomas,61,Direct Energie,,\u25bc8,6,2017
25,61,6,56.0,Meintjes Louis,62,UAE Team Emirates,,\u25bc6,6,2017
29,206,6,57.0,Pasqualon Andrea,63,Wanty - Groupe Gobert,,\u25bc6,6,2017
24,207,6,,Smith Dion,64,Wanty - Groupe Gobert,,-,6,2017
25,142,5,60.0,Arndt Nikias,65,Team Sunweb,,\u25bc5,6,2017
32,106,5,,Sabatini Fabio,66,Quick-Step Floors,,-,6,2017
26,139,4,61.0,Wellens Tim,67,Lotto Soudal,,\u25bc6,6,2017
33,46,4,62.0,Roche Nicolas,68,BMC Racing Team,,\u25bc6,6,2017
32,102,4,63.0,Bauer Jack,69,Quick-Step Floors,,\u25bc6,6,2017
29,74,4,,Guarnieri Jacopo,70,FDJ,,-,6,2017
27,162,3,65.0,Bennett George,71,Team LottoNL-Jumbo,,\u25bc6,6,2017
24,148,3,66.0,Teunissen Mike,72,Team Sunweb,,\u25bc6,6,2017
33,54,3,67.0,Grivko Andrei,73,Astana Pro Team,,\u25bc6,6,2017
35,138,3,69.0,Sieberg Marcel,74,Lotto Soudal,,\u25bc5,6,2017
36,194,3,,Bozic Borut,75,Bahrain Merida Pro Cycling Team,,-,6,2017
26,122,3,,Haller Marco,76,Team Katusha - Alpecin,,-,6,2017
27,6,2,70.0,Landa Mikel,77,Team Sky,,\u25bc7,6,2017
32,86,2,71.0,Impey Daryl,78,ORICA-Scott,,\u25bc7,6,2017
30,25,1,72.0,Castroviejo Jonathan,79,Movistar Team,,\u25bc7,6,2017
28,146,1,73.0,Sinkeldam Ramon,80,Team Sunweb,,\u25bc7,6,2017
29,101,197,2.0,Kittel Marcel,1,Quick-Step Floors,,\u25b21,7,2017
25,71,182,1.0,D\xe9mare Arnaud,2,FDJ,,\u25bc1,7,2017
26,141,123,3.0,Matthews Michael,3,Team Sunweb,,-,7,2017
34,131,110,4.0,Greipel Andr\xe9,4,Lotto Soudal,,-,7,2017
30,125,102,5.0,Kristoff Alexander,5,Team Katusha - Alpecin,,-,7,2017
30,92,66,13.0,Boasson Hagen Edvald,6,Team Dimension Data,,\u25b27,7,2017
27,197,60,6.0,Colbrelli Sonny,7,Bahrain Merida Pro Cycling Team,,\u25bc1,7,2017
26,151,54,8.0,Bouhanni Nacer,8,"Cofidis, Solutions Cr\xe9dits",,-,7,2017
30,105,47,7.0,Martin Daniel,9,Quick-Step Floors,,\u25bc2,7,2017
