Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
30,1,+0:00,,3.0,Jalabert Laurent,1,O.N.C.E. - Deutsche Bank,20:48:20 20:48:20,+0:00,\u25b22,5,1999
27,2,+0:02,,1.0,Simoni Gilberto,2,,0:02 0:02,+0:27,\u25bc1,5,1999
28,3,+0:12,,2.0,Casagrande Francesco,3,Vini Caldirola - Sidermec,0:12 0:12,+0:29,\u25bc1,5,1999
27,4,+0:38,,4.0,Camenzind Oscar,4,Lampre - Daikin - Colnago,0:38 0:38,+0:12,-,5,1999
30,5,+0:43,,5.0,Dufaux Laurent,5,Saeco - Cannondale,0:43 0:43,+0:16,-,5,1999
25,6,+2:26,,6.0,Sgambelluri Roberto,6,Cantina Tollo - Alexia Alluminio,2:26 2:26,+0:26,-,5,1999
23,7,+2:37,,7.0,Montgomery Sven,7,,2:37 2:37,+0:13,-,5,1999
29,8,+3:36,,8.0,Guerini Giuseppe,8,Team Telekom,3:36 3:36,+0:45,-,5,1999
30,9,+3:40,,,Tonkov Pavel,9,Mapei - Quickstep,3:40 3:40,+1214:28,-,5,1999
28,10,+4:07,,9.0,Zberg Beat,10,Rabobank ProTeam,4:07 4:07,+0:50,\u25bc1,5,1999
30,1,+0:00,,1.0,Jalabert Laurent,1,O.N.C.E. - Deutsche Bank,24:38:17 24:38:17,+0:00,-,6,1999
27,2,+0:02,,2.0,Simoni Gilberto,2,,0:02 0:02,+0:00,-,6,1999
28,3,+0:10,,3.0,Casagrande Francesco,3,Vini Caldirola - Sidermec,0:10 0:10,+-1:58,-,6,1999
27,4,+0:35,,4.0,Camenzind Oscar,4,Lampre - Daikin - Colnago,0:35 0:35,+-1:57,-,6,1999
30,5,+0:43,,5.0,Dufaux Laurent,5,Saeco - Cannondale,0:43 0:43,+0:00,-,6,1999
29,6,+1:51,,,Zarrabeitia Mikel,6,O.N.C.E. - Deutsche Bank,1:51 1:51,+1250:11,-,6,1999
25,7,+2:26,,6.0,Sgambelluri Roberto,7,Cantina Tollo - Alexia Alluminio,2:26 2:26,+0:00,\u25bc1,6,1999
23,8,+2:37,,7.0,Montgomery Sven,8,,2:37 2:37,+0:00,\u25bc1,6,1999
29,9,+3:36,,8.0,Guerini Giuseppe,9,Team Telekom,3:36 3:36,+0:00,\u25bc1,6,1999
30,10,+3:40,,9.0,Tonkov Pavel,10,Mapei - Quickstep,3:40 3:40,+0:00,\u25bc1,6,1999
30,1,+0:00,,1.0,Jalabert Laurent,1,O.N.C.E. - Deutsche Bank,25:38:39 25:38:39,+0:00,-,7,1999
27,2,+0:02,,2.0,Simoni Gilberto,2,,0:02 0:02,+0:00,-,7,1999
28,3,+0:06,,3.0,Casagrande Francesco,3,Vini Caldirola - Sidermec,0:06 0:06,+-1:56,-,7,1999
27,4,+0:25,,4.0,Camenzind Oscar,4,Lampre - Daikin - Colnago,0:25 0:25,+-1:50,-,7,1999
30,5,+0:43,,5.0,Dufaux Laurent,5,Saeco - Cannondale,0:43 0:43,+0:00,-,7,1999
29,6,+1:51,,6.0,Zarrabeitia Mikel,6,O.N.C.E. - Deutsche Bank,1:51 1:51,+0:00,-,7,1999
25,7,+2:26,,7.0,Sgambelluri Roberto,7,Cantina Tollo - Alexia Alluminio,2:26 2:26,+0:00,-,7,1999
23,8,+2:37,,8.0,Montgomery Sven,8,,2:37 2:37,+0:00,-,7,1999
29,9,+3:36,,9.0,Guerini Giuseppe,9,Team Telekom,3:36 3:36,+0:00,-,7,1999
30,10,+3:40,,10.0,Tonkov Pavel,10,Mapei - Quickstep,3:40 3:40,+0:00,-,7,1999
28,1,+0:00,,3.0,Casagrande Francesco,1,Vini Caldirola - Sidermec,30:10:55 30:10:55,+0:00,\u25b22,8,1999
30,2,+1:04,,1.0,Jalabert Laurent,2,O.N.C.E. - Deutsche Bank,1:04 1:04,+1:10,\u25bc1,8,1999
27,3,+1:11,,2.0,Simoni Gilberto,3,,1:11 1:11,+1:15,\u25bc1,8,1999
30,4,+1:16,,5.0,Dufaux Laurent,4,Saeco - Cannondale,1:16 1:16,+0:39,\u25b21,8,1999
27,5,+1:45,,4.0,Camenzind Oscar,5,Lampre - Daikin - Colnago,1:45 1:45,+1:26,\u25bc1,8,1999
23,6,+3:57,,8.0,Montgomery Sven,6,,3:57 3:57,+1:26,\u25b22,8,1999
25,7,+4:21,,7.0,Sgambelluri Roberto,7,Cantina Tollo - Alexia Alluminio,4:21 4:21,+2:01,-,8,1999
29,8,+4:21,,9.0,Guerini Giuseppe,8,Team Telekom,",, 4:21",+0:51,\u25b21,8,1999
29,9,+4:29,,6.0,Zarrabeitia Mikel,9,O.N.C.E. - Deutsche Bank,4:29 4:29,+2:44,\u25bc3,8,1999
30,10,+4:32,,10.0,Tonkov Pavel,10,Mapei - Quickstep,4:32 4:32,+0:58,-,8,1999
28,1,+0:00,250.0,1.0,Casagrande Francesco,1,Vini Caldirola - Sidermec,35:22:40 35:22:40,+0:00,-,9,1999
30,2,+1:04,190.0,2.0,Jalabert Laurent,2,O.N.C.E. - Deutsche Bank,1:04 1:04,+0:00,-,9,1999
