Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
21,131,16,+2:13,3.0,Geoghegan Hart Tao,3,Axeon Hagens Berman,1:12 1:12,-,5,2016
23,107,25,+5:50,4.0,Lunke Sindre Skj\xf8stad,4,Team Giant - Alpecin,4:49 4:49,-,5,2016
21,47,27,+5:59,5.0,Restrepo Jhonatan,5,Team Katusha,4:58 4:58,-,5,2016
21,116,28,+7:06,6.0,Vermeulen Alexey,6,Team LottoNL-Jumbo,6:05 6:05,-,5,2016
21,134,40,+15:45,8.0,Daniel Gregory,7,Axeon Hagens Berman,14:44 14:44,\u25b21,5,2016
22,27,47,+17:29,10.0,van Poppel Danny,8,Team Sky,16:28 16:28,\u25b22,5,2016
22,5,48,+18:16,12.0,Gogl Michael,9,Tinkoff,17:15 17:15,\u25b23,5,2016
22,124,50,+18:31,11.0,Eaton Daniel,10,UnitedHealthcare Pro Cycling Team,17:30 17:30,\u25b21,5,2016
20,133,52,+19:34,9.0,Curran Geoffrey,11,Axeon Hagens Berman,18:33 18:33,\u25bc2,5,2016
21,102,62,+23:10,13.0,Andersen S\xf8ren Kragh,12,Team Giant - Alpecin,22:09 22:09,\u25b21,5,2016
22,24,63,+23:11,15.0,Moscon Gianni,13,Team Sky,22:10 22:10,\u25b22,5,2016
21,136,66,+24:48,14.0,Neilands Krists,14,Axeon Hagens Berman,23:47 23:47,-,5,2016
23,113,70,+25:30,7.0,Roosen Timo,15,Team LottoNL-Jumbo,24:29 24:29,\u25bc8,5,2016
22,173,74,+29:31,19.0,De Vos Adam,16,Rally Cycling,28:30 28:30,\u25b23,5,2016
21,137,85,+36:45,16.0,Owen Logan,17,Axeon Hagens Berman,35:44 35:44,\u25bc1,5,2016
20,132,89,+41:11,18.0,Barta William,18,Axeon Hagens Berman,40:10 40:10,-,5,2016
23,63,96,+45:09,26.0,Doull Owain,19,Team Wiggins,44:08 44:08,\u25b27,5,2016
22,84,100,+46:45,20.0,Bonifazio Niccolo,20,Trek - Segafredo,45:44 45:44,-,5,2016
22,111,103,+49:03,21.0,Groenewegen Dylan,21,Team LottoNL-Jumbo,48:02 48:02,-,5,2016
22,144,107,+52:51,24.0,Putt Christopher,22,Jelly Belly p/b Maxxis,51:50 51:50,\u25b22,5,2016
21,68,108,+52:51,23.0,Thompson Michael,23,Team Wiggins,",, 51:50",-,5,2016
22,148,109,+52:58,25.0,Wolfe Ben,24,Jelly Belly p/b Maxxis,51:57 51:57,\u25b21,5,2016
22,166,112,+53:47,22.0,Planet Charles,25,Team Novo Nordisk,52:46 52:46,\u25bc3,5,2016
21,64,125,+1:01:51,27.0,Kelly Jake,26,Team Wiggins,1:00:50 1:00:50,\u25b21,5,2016
22,65,138,+1:08:18,28.0,Latham Christopher,27,Team Wiggins,1:07:17 1:07:17,\u25b21,5,2016
22,2,140,+1:14:38,29.0,Ba\u0161ka Erik,28,Tinkoff,1:13:37 1:13:37,\u25b21,5,2016
19,138,5,+1:08,1.0,Powless Neilson,1,Axeon Hagens Berman,24:27:54 24:27:54,-,6,2016
21,131,14,+2:55,3.0,Geoghegan Hart Tao,2,Axeon Hagens Berman,1:47 1:47,\u25b21,6,2016
21,135,15,+3:17,2.0,Guerreiro Ruben,3,Axeon Hagens Berman,2:09 2:09,\u25bc1,6,2016
21,116,26,+7:33,6.0,Vermeulen Alexey,4,Team LottoNL-Jumbo,6:25 6:25,\u25b22,6,2016
23,107,27,+8:36,4.0,Lunke Sindre Skj\xf8stad,5,Team Giant - Alpecin,7:28 7:28,\u25bc1,6,2016
21,47,28,+9:05,5.0,Restrepo Jhonatan,6,Team Katusha,7:57 7:57,\u25bc1,6,2016
21,134,39,+16:51,7.0,Daniel Gregory,7,Axeon Hagens Berman,15:43 15:43,-,6,2016
22,27,43,+18:25,8.0,van Poppel Danny,8,Team Sky,17:17 17:17,-,6,2016
22,5,45,+19:31,9.0,Gogl Michael,9,Tinkoff,18:23 18:23,-,6,2016
20,133,48,+19:50,11.0,Curran Geoffrey,10,Axeon Hagens Berman,18:42 18:42,\u25b21,6,2016
22,124,49,+19:56,10.0,Eaton Daniel,11,UnitedHealthcare Pro Cycling Team,18:48 18:48,\u25bc1,6,2016
21,102,56,+22:58,12.0,Andersen S\xf8ren Kragh,12,Team Giant - Alpecin,21:50 21:50,-,6,2016
22,24,59,+23:44,13.0,Moscon Gianni,13,Team Sky,22:36 22:36,-,6,2016
21,136,64,+25:49,14.0,Neilands Krists,14,Axeon Hagens Berman,24:41 24:41,-,6,2016
23,113,70,+28:37,15.0,Roosen Timo,15,Team LottoNL-Jumbo,27:29 27:29,-,6,2016
22,173,75,+32:18,16.0,De Vos Adam,16,Rally Cycling,31:10 31:10,-,6,2016
21,137,84,+38:55,17.0,Owen Logan,17,Axeon Hagens Berman,37:47 37:47,-,6,2016
20,132,89,+43:24,18.0,Barta William,18,Axeon Hagens Berman,42:16 42:16,-,6,2016
23,63,92,+45:29,19.0,Doull Owain,19,Team Wiggins,44:21 44:21,-,6,2016
22,84,96,+48:37,20.0,Bonifazio Niccolo,20,Trek - Segafredo,47:29 47:29,-,6,2016
22,111,103,+53:40,21.0,Groenewegen Dylan,21,Team LottoNL-Jumbo,52:32 52:32,-,6,2016
22,148,104,+53:47,24.0,Wolfe Ben,22,Jelly Belly p/b Maxxis,52:39 52:39,\u25b22,6,2016
21,68,107,+55:52,23.0,Thompson Michael,23,Team Wiggins,54:44 54:44,-,6,2016
22,166,108,+56:12,25.0,Planet Charles,24,Team Novo Nordisk,55:04 55:04,\u25b21,6,2016
22,144,116,+58:53,22.0,Putt Christopher,25,Jelly Belly p/b Maxxis,57:45 57:45,\u25bc3,6,2016
21,64,128,+1:05:49,26.0,Kelly Jake,26,Team Wiggins,1:04:41 1:04:41,-,6,2016
22,65,138,+1:12:13,27.0,Latham Christopher,27,Team Wiggins,1:11:05 1:11:05,-,6,2016
22,2,139,+1:17:35,28.0,Ba\u0161ka Erik,28,Tinkoff,1:16:27 1:16:27,-,6,2016
19,138,5,+1:08,1.0,Powless Neilson,1,Axeon Hagens Berman,28:47:46 28:47:46,-,7,2016
21,131,14,+2:55,2.0,Geoghegan Hart Tao,2,Axeon Hagens Berman,1:47 1:47,-,7,2016
21,135,15,+3:17,3.0,Guerreiro Ruben,3,Axeon Hagens Berman,2:09 2:09,-,7,2016
21,116,23,+7:33,4.0,Vermeulen Alexey,4,Team LottoNL-Jumbo,6:25 6:25,-,7,2016
21,47,24,+9:15,6.0,Restrepo Jhonatan,5,Team Katusha,8:07 8:07,\u25b21,7,2016
22,27,33,+18:21,8.0,van Poppel Danny,6,Team Sky,17:13 17:13,\u25b22,7,2016
22,5,34,+19:31,9.0,Gogl Michael,7,Tinkoff,18:23 18:23,\u25b22,7,2016
21,136,40,+26:47,14.0,Neilands Krists,8,Axeon Hagens Berman,25:39 25:39,\u25b26,7,2016
23,113,43,+28:37,15.0,Roosen Timo,9,Team LottoNL-Jumbo,27:29 27:29,\u25b26,7,2016
23,107,48,+34:18,5.0,Lunke Sindre Skj\xf8stad,10,Team Giant - Alpecin,33:10 33:10,\u25bc5,7,2016
21,134,54,+42:33,7.0,Daniel Gregory,11,Axeon Hagens Berman,41:25 41:25,\u25bc4,7,2016
20,133,56,+45:32,10.0,Curran Geoffrey,12,Axeon Hagens Berman,44:24 44:24,\u25bc2,7,2016
22,124,57,+45:38,11.0,Eaton Daniel,13,UnitedHealthcare Pro Cycling Team,44:30 44:30,\u25bc2,7,2016
21,102,63,+48:40,12.0,Andersen S\xf8ren Kragh,14,Team Giant - Alpecin,47:32 47:32,\u25bc2,7,2016
22,24,65,+49:26,13.0,Moscon Gianni,15,Team Sky,48:18 48:18,\u25bc2,7,2016
22,173,76,+58:00,16.0,De Vos Adam,16,Rally Cycling,56:52 56:52,-,7,2016
21,137,84,+1:04:37,17.0,Owen Logan,17,Axeon Hagens Berman,1:03:29 1:03:29,-,7,2016
20,132,89,+1:09:06,18.0,Barta William,18,Axeon Hagens Berman,1:07:58 1:07:58,-,7,2016
23,63,92,+1:11:11,19.0,Doull Owain,19,Team Wiggins,1:10:03 1:10:03,-,7,2016
22,84,95,+1:14:19,20.0,Bonifazio Niccolo,20,Trek - Segafredo,1:13:11 1:13:11,-,7,2016
22,111,101,+1:19:22,21.0,Groenewegen Dylan,21,Team LottoNL-Jumbo,1:18:14 1:18:14,-,7,2016
22,148,102,+1:19:29,22.0,Wolfe Ben,22,Jelly Belly p/b Maxxis,1:18:21 1:18:21,-,7,2016
21,68,105,+1:21:34,23.0,Thompson Michael,23,Team Wiggins,1:20:26 1:20:26,-,7,2016
22,166,106,+1:21:54,24.0,Planet Charles,24,Team Novo Nordisk,1:20:46 1:20:46,-,7,2016
22,144,114,+1:24:35,25.0,Putt Christopher,25,Jelly Belly p/b Maxxis,1:23:27 1:23:27,-,7,2016
21,64,123,+1:31:31,26.0,Kelly Jake,26,Team Wiggins,1:30:23 1:30:23,-,7,2016
22,65,132,+1:37:55,27.0,Latham Christopher,27,Team Wiggins,1:36:47 1:36:47,-,7,2016
22,2,133,+1:43:17,28.0,Ba\u0161ka Erik,28,Tinkoff,1:42:09 1:42:09,-,7,2016
19,138,9,+1:57,1.0,Powless Neilson,1,Axeon Hagens Berman,31:49:47 31:49:47,-,8,2016
21,131,12,+3:00,2.0,Geoghegan Hart Tao,2,Axeon Hagens Berman,1:03 1:03,-,8,2016
21,135,13,+3:22,3.0,Guerreiro Ruben,3,Axeon Hagens Berman,1:25 1:25,-,8,2016
21,116,22,+8:22,4.0,Vermeulen Alexey,4,Team LottoNL-Jumbo,6:25 6:25,-,8,2016
21,47,23,+9:59,5.0,Restrepo Jhonatan,5,Team Katusha,8:02 8:02,-,8,2016
22,27,30,+18:21,6.0,van Poppel Danny,6,Team Sky,16:24 16:24,-,8,2016
21,136,40,+27:47,8.0,Neilands Krists,7,Axeon Hagens Berman,25:50 25:50,\u25b21,8,2016
23,113,41,+28:42,9.0,Roosen Timo,8,Team LottoNL-Jumbo,26:45 26:45,\u25b21,8,2016
