Age,Avg,BIB,Pnt,Rider,Rnk,Team,Time won/lost,stage,year
25,,5.0,,Schwab Hubert,30,Quickstep - Innergetic,,3,2007
33,,114.0,,Hincapie George,31,Discovery Channel,,3,2007
27,,19.0,,Muravyev Dmitriy,32,Astana,,3,2007
31,,48.0,,Palumbo Giuseppe,33,Acqua & Sapone - Caff\xe8 Mokambo,,3,2007
24,,146.0,,Krauss Sven,34,Gerolsteiner,,3,2007
26,,219.0,,Ziegler Thomas,35,T-Mobile Team,,3,2007
27,,78.0,,Markov Alexei,36,Caisse d'Epargne,,3,2007
22,,144.0,,Gatto Oscar,37,Gerolsteiner,,3,2007
28,,202.0,,Petrov Evgeni,38,Tinkoff Credit Systems,,3,2007
33,,41.0,,Garzelli Stefano,39,Acqua & Sapone - Caff\xe8 Mokambo,,3,2007
29,,156.0,,Pellizotti Franco,40,Liquigas,,3,2007
27,,72.0,,Berthou Eric,41,Caisse d'Epargne,,3,2007
21,,178.0,,Walker William,42,Rabobank ProTeam,,3,2007
26,,135.0,,McLeod Ian,43,Fran\xe7aise des Jeux,,3,2007
26,,14.0,,Bazayev Assan,44,Astana,,3,2007
22,,109.0,,Roche Nicolas,45,Cr\xe9dit Agricole,,3,2007
24,,43.0,,Arekeev Alexander,46,Acqua & Sapone - Caff\xe8 Mokambo,,3,2007
24,,18.0,,Morabito Steve,47,Astana,,3,2007
29,,105.0,,Furlan Angelo,48,Cr\xe9dit Agricole,,3,2007
31,,91.0,,Parra Ivan Ramiro,49,Cofidis,,3,2007
25,,87.0,,Grillo Paride,50,Ceramica Panaria - Navigare,,3,2007
33,,88.0,,Mazzanti Luca,51,Ceramica Panaria - Navigare,,3,2007
29,,99.0,,Zampieri Steve,52,Cofidis,,3,2007
24,,61.0,,Bonnaire Olivier,53,Bouygues Telecom,,3,2007
35,,177.0,,van Bon L\xe9on,54,Rabobank ProTeam,,3,2007
31,,74.0,,Lastras Pablo,55,Caisse d'Epargne,,3,2007
34,,17.0,,Mizurov Andrey,56,Astana,,3,2007
34,,95.0,,Fernandez Bingen,57,Cofidis,,3,2007
25,,98.0,,Valentin Tristan,58,Cofidis,,3,2007
22,,46.0,,Kunitski Andrei,59,Acqua & Sapone - Caff\xe8 Mokambo,,3,2007
38,,168.0,,Zanini Stefano,60,Predictor - Lotto,,3,2007
19,,204.0,,Rovny Ivan,61,Tinkoff Credit Systems,,3,2007
33,,106.0,,Halgand Patrice,62,Cr\xe9dit Agricole,,3,2007
31,,163.0,,Jufre Josep,63,Predictor - Lotto,,3,2007
26,,81.0,,Sella Emanuele,64,Ceramica Panaria - Navigare,,3,2007
27,,82.0,,Laverde Luis Felipe,65,Ceramica Panaria - Navigare,,3,2007
27,,193.0,,Ghisalberti Sergio,66,Milram,,3,2007
23,,29.0,,Ricco Riccardo,67,Saunier Duval,,3,2007
27,,47.0,,Masciarelli Simone,68,Acqua & Sapone - Caff\xe8 Mokambo,,3,2007
21,,84.0,,Pagoto Andrea,69,Ceramica Panaria - Navigare,,3,2007
26,,34.0,,Marzano Marco,70,Lampre-Fondital,,3,2007
32,,179.0,,Horrillo Pedro,71,Rabobank ProTeam,,3,2007
27,,71.0,,Arroyo David,72,Caisse d'Epargne,,3,2007
26,,25.0,,Gomez Gomez Angel,73,Saunier Duval,,3,2007
35,,21.0,,Simoni Gilberto,74,Saunier Duval,,3,2007
32,,24.0,,Ca\xf1ada David,75,Saunier Duval,,3,2007
26,,184.0,,Haedo Juan Jose,76,CSC ProTeam,,3,2007
