Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
90,44,Breschel Matti,30,Tinkoff - Saxo,,,88.0,+20:55,",, 13:13",2015,3
91,188,Selvaggi Mirko,30,Wanty - Groupe Gobert,,,70.0,+15:58,",, 13:13",2015,3
92,154,Agnoli Valerio,30,Astana Pro Team,,,98.0,+23:43,",, 13:13",2015,3
93,186,Marcato Marco,31,Wanty - Groupe Gobert,,,92.0,+23:30,",, 13:13",2015,3
94,84,de Kort Koen,32,Team Giant - Alpecin,,,105.0,+26:52,",, 13:13",2015,3
95,82,Arndt Nikias,23,Team Giant - Alpecin,,,86.0,+20:37,",, 13:13",2015,3
96,35,Gilbert Philippe,32,BMC Racing Team,,,81.0,+18:56,",, 13:13",2015,3
97,34,Drucker Jean-Pierre,28,BMC Racing Team,,,93.0,+23:31,",, 13:13",2015,3
98,146,Stybar Zdenek,29,Etixx - Quick Step,,,94.0,+23:32,",, 13:13",2015,3
99,141,Kwiatkowski Michal,25,Etixx - Quick Step,,,97.0,+23:43,",, 13:13",2015,3
100,155,Kozhatayev Bakhtiyar,23,Astana Pro Team,,,120.0,+29:31,",, 13:13",2015,3
101,24,Devenyns Dries,31,IAM Cycling,,,87.0,+20:41,",, 13:13",2015,3
102,167,Minard S\xe9bastien,33,AG2R La Mondiale,,,108.0,+27:01,",, 13:13",2015,3
103,164,Gaudin Damien,28,AG2R La Mondiale,,,95.0,+23:37,",, 13:13",2015,3
104,124,de Buyst Jasper,21,Lotto Soudal,,,104.0,+26:48,",, 13:13",2015,3
105,81,Degenkolb John,26,Team Giant - Alpecin,,,96.0,+23:37,",, 13:13",2015,3
106,54,Nordhaug Lars Petter,31,Team Sky,,,119.0,+29:30,",, 13:13",2015,3
107,55,Eisel Bernhard,34,Team Sky,,,148.0,+33:15,17:02 17:02,2015,3
108,11,Cancellara Fabian,34,Trek Factory Racing,,,121.0,+30:19,",, 17:02",2015,3
109,73,Haller Marco,24,Team Katusha,,,113.0,+27:34,",, 17:02",2015,3
110,86,Fr\xf6hlinger Johannes,30,Team Giant - Alpecin,,,134.0,+30:49,",, 17:02",2015,3
111,13,Devolder Stijn,35,Trek Factory Racing,,,141.0,+33:03,",, 17:02",2015,3
112,8,Costa M\xe1rio,29,Lampre - Merida,,,91.0,+23:06,",, 17:02",2015,3
113,72,Guarnieri Jacopo,27,Team Katusha,,,143.0,+33:10,",, 17:02",2015,3
114,16,Rast Gregory,35,Trek Factory Racing,,,111.0,+27:31,",, 17:02",2015,3
115,152,Bozic Borut,34,Astana Pro Team,,,137.0,+33:01,",, 17:02",2015,3
116,87,Jones Carter,26,Team Giant - Alpecin,,,118.0,+27:44,",, 17:02",2015,3
117,3,Xu Gang,31,Lampre - Merida,,,151.0,+33:28,",, 17:02",2015,3
118,173,Rutkiewicz Marek,34,CCC Sprandi Polkowice,,,117.0,+27:43,",, 17:02",2015,3
119,75,Kuznetsov Viacheslav,25,Team Katusha,,,114.0,+27:35,",, 17:02",2015,3
120,92,Bettiol Alberto,21,Team Cannondale - Garmin,,,115.0,+27:36,",, 17:02",2015,3
121,183,Baugnies Jerome,28,Wanty - Groupe Gobert,,,112.0,+27:34,",, 17:02",2015,3
122,185,Antonini Simone,24,Wanty - Groupe Gobert,,,132.0,+30:48,",, 17:02",2015,3
123,71,Kristoff Alexander,27,Team Katusha,,,136.0,+33:00,",, 17:02",2015,3
124,145,Renshaw Mark,32,Etixx - Quick Step,,,125.0,+30:40,",, 17:02",2015,3
125,133,Chavanel S\xe9bastien,32,FDJ,,,129.0,+30:45,",, 17:02",2015,3
126,1,Cimolai Davide,25,Lampre - Merida,,,149.0,+33:17,",, 17:02",2015,3
127,132,Bonnet William,32,FDJ,,,142.0,+33:04,",, 17:02",2015,3
