Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
26,65,60,+16:45,,68.0,Gastauer Ben,60,AG2R La Mondiale,16:45 16:45,+4:08,,\u25b28,5,2014
28,37,61,+17:48,,72.0,Simon Julien,61,"Cofidis, Solutions Cr\xe9dits",17:48 17:48,+4:08,,\u25b211,5,2014
25,175,62,+18:05,,41.0,Haga Chad,62,Team Giant - Shimano,18:05 18:05,+12:37,,\u25bc21,5,2014
30,132,63,+18:38,,73.0,Kozonchuk Dmitry,63,Team Katusha,18:38 18:38,+4:08,,\u25b210,5,2014
33,3,64,+18:49,,74.0,Lopez David,64,Team Sky,18:49 18:49,+4:08,,\u25b210,5,2014
26,93,65,+19:37,,83.0,Denifl Stefan,65,IAM Cycling,19:37 19:37,+1:17,,\u25b218,5,2014
33,35,66,+20:10,,57.0,Le M\xe9vel Christophe,66,"Cofidis, Solutions Cr\xe9dits",20:10 20:10,+10:28,,\u25bc9,5,2014
25,158,67,+20:33,,90.0,Vichot Arthur,67,FDJ.fr,20:33 20:33,+0:00,,\u25b223,5,2014
24,27,68,+20:50,,59.0,Beltran Edward,68,Tinkoff - Saxo,20:50 20:50,+10:28,,\u25bc9,5,2014
28,7,69,+21:19,,60.0,Thomas Geraint,69,Team Sky,21:19 21:19,+10:28,,\u25bc9,5,2014
30,52,70,+21:45,,62.0,Erviti Imanol,70,Movistar Team,21:45 21:45,+10:28,,\u25bc8,5,2014
32,144,71,+21:58,,82.0,De Weert Kevin,71,Omega Pharma - Quick-Step,21:58 21:58,+4:08,,\u25b211,5,2014
25,45,72,+22:34,,65.0,Keukeleire Jens,72,Orica GreenEDGE,22:34 22:34,+10:28,,\u25bc7,5,2014
27,135,73,+22:51,,99.0,Spilak Simon,73,Team Katusha,22:51 22:51,+-1:33,,\u25b226,5,2014
35,197,74,+23:51,,70.0,Tankink Bram,74,Belkin-Pro Cycling Team,23:51 23:51,+10:28,,\u25bc4,5,2014
30,145,75,+24:09,,87.0,Go\u0142a\u015b Micha\u0142,75,Omega Pharma - Quick-Step,24:09 24:09,+4:08,,\u25b212,5,2014
21,111,76,+24:47,,66.0,Jungels Bob,76,Trek Factory Racing,24:47 24:47,+12:37,,\u25bc10,5,2014
34,113,77,+25:27,,75.0,Irizar Markel,77,Trek Factory Racing,25:27 25:27,+10:28,,\u25bc2,5,2014
29,46,78,+25:37,,76.0,Meier Christian,78,Orica GreenEDGE,25:37 25:37,+10:28,,\u25bc2,5,2014
28,147,79,+25:40,,92.0,Stybar Zdenek,79,Omega Pharma - Quick-Step,25:40 25:40,+4:08,,\u25b213,5,2014
25,86,80,+25:45,,69.0,Ligthart Pim,80,Lotto Belisol,25:45 25:45,+12:37,,\u25bc11,5,2014
25,171,81,+25:49,,77.0,Damuseau Thomas,81,Team Giant - Shimano,25:49 25:49,+10:28,,\u25bc4,5,2014
35,156,82,+25:54,,93.0,Fedrigo Pierrick,82,FDJ.fr,25:54 25:54,+4:08,,\u25b211,5,2014
22,142,83,+26:10,,78.0,Alaphilippe Julian,83,Omega Pharma - Quick-Step,26:10 26:10,+10:28,,\u25bc5,5,2014
34,24,84,+27:44,,80.0,Paulinho S\xe9rgio,84,Tinkoff - Saxo,27:44 27:44,+10:28,,\u25bc4,5,2014
29,202,85,+29:05,,79.0,B\xe1rta Jan,85,Team NetApp \u2013 Endura,29:05 29:05,+12:37,,\u25bc6,5,2014
