Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
21,43,95,+22:30,15.0,Howson Damien,15,Orica GreenEDGE,22:09 22:09,,-,4,2014
24,83,107,+24:10,17.0,Broeckx Stig,16,Lotto Belisol,23:49 23:49,,\u25b21,4,2014
24,92,110,+25:57,18.0,Br\xe4ndle Matthias,17,IAM Cycling,25:36 25:36,,\u25b21,4,2014
21,66,111,+26:43,19.0,Gougeard Alexis,18,AG2R La Mondiale,26:22 26:22,,\u25b21,4,2014
22,172,120,+30:07,20.0,Arndt Nikias,19,Team Giant - Shimano,29:46 29:46,,\u25b21,4,2014
25,177,122,+30:11,21.0,Janse van Rensburg Reinardt,20,Team Giant - Shimano,29:50 29:50,,\u25b21,4,2014
24,192,123,+30:31,23.0,Bobridge Jack,21,Belkin-Pro Cycling Team,30:10 30:10,,\u25b22,4,2014
23,138,126,+30:40,24.0,Vorobyev Anton,22,Team Katusha,30:19 30:19,,\u25b22,4,2014
22,198,129,+30:50,25.0,van der Lijke Nick,23,Belkin-Pro Cycling Team,30:29 30:29,,\u25b22,4,2014
24,136,132,+31:44,27.0,Tsatevich Alexey,24,Team Katusha,31:23 31:23,,\u25b23,4,2014
22,155,133,+31:47,28.0,D\xe9mare Arnaud,25,FDJ.fr,31:26 31:26,,\u25b23,4,2014
23,72,135,+31:53,29.0,Berhane Natnael,26,Team Europcar,31:32 31:32,,\u25b23,4,2014
22,22,136,+31:57,30.0,Valgren Michael,27,Tinkoff - Saxo,31:36 31:36,,\u25b23,4,2014
25,186,142,+33:24,26.0,Favilli Elia,28,Lampre - Merida,33:03 33:03,,\u25bc2,4,2014
24,183,144,+34:41,32.0,Cimolai Davide,29,Lampre - Merida,34:20 34:20,,\u25b23,4,2014
24,208,146,+35:25,22.0,Thwaites Scott,30,Team NetApp \u2013 Endura,35:04 35:04,,\u25bc8,4,2014
24,56,147,+35:27,33.0,Sanz Enrique,31,Movistar Team,35:06 35:06,,\u25b22,4,2014
22,188,149,+36:14,34.0,Wackermann Luca,32,Lampre - Merida,35:53 35:53,,\u25b22,4,2014
24,205,151,+37:02,31.0,Matzka Ralf,33,Team NetApp \u2013 Endura,36:41 36:41,,\u25bc2,4,2014
24,42,159,+1:07:29,36.0,Howard Leigh,34,Orica GreenEDGE,1:07:08 1:07:08,,\u25b22,4,2014
23,191,3,+0:12,1.0,Kelderman Wilco,1,Belkin-Pro Cycling Team,19:01:12 19:01:12,,-,5,2014
21,48,9,+1:24,2.0,Yates Adam,2,Orica GreenEDGE,1:12 1:12,,-,5,2014
