Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
30,179,23,27.0,Thomas Geraint,23,Team Sky,,\u25b24,6,2017
34,138,22,22.0,Richeze Ariel Maximiliano,24,Quick-Step Floors,,\u25bc2,6,2017
27,162,21,20.0,Battaglin Enrico,25,Team LottoNL-Jumbo,,\u25bc5,6,2017
29,205,21,21.0,Modolo Sacha,26,UAE Team Emirates,,\u25bc5,6,2017
25,209,20,23.0,Polanc Jan,27,UAE Team Emirates,,\u25bc4,6,2017
29,96,20,24.0,Rovny Ivan,28,Gazprom-RusVelo,,\u25bc4,6,2017
26,215,20,25.0,Koshevoy Ilia,29,Wilier Triestina - Selle Italia,,\u25bc4,6,2017
24,121,18,37.0,Yates Adam,30,ORICA-Scott,,\u25b27,6,2017
27,79,16,28.0,Tratnik Jan,31,CCC Sprandi Polkowice,,\u25bc3,6,2017
30,69,14,,Woods Michael,32,Cannondale-Drapac Pro Cycling Team,,-,6,2017
27,151,12,30.0,Zakarin Ilnur,33,Team Katusha - Alpecin,,\u25bc3,6,2017
34,8,12,31.0,Siutsou Kanstantsin,34,Bahrain Merida Pro Cycling Team,,\u25bc3,6,2017
33,72,12,32.0,Bialoblocki Marcin,35,CCC Sprandi Polkowice,,\u25bc3,6,2017
27,156,11,33.0,Kuznetsov Viacheslav,36,Team Katusha - Alpecin,,\u25bc3,6,2017
29,52,11,34.0,Benedetti Cesare,37,BORA - hansgrohe,,\u25bc3,6,2017
26,185,10,,Kelderman Wilco,38,Team Sunweb,,-,6,2017
27,74,10,35.0,Owsian Lukasz,39,CCC Sprandi Polkowice,,\u25bc4,6,2017
21,197,10,,Pedersen Mads,40,Trek - Segafredo,,-,6,2017
30,191,9,53.0,Mollema Bauke,41,Trek - Segafredo,,\u25b212,6,2017
32,1,8,44.0,Nibali Vincenzo,42,Bahrain Merida Pro Cycling Team,,\u25b22,6,2017
26,181,8,41.0,Dumoulin Tom,43,Team Sunweb,,\u25bc2,6,2017
26,81,7,36.0,Pinot Thibaut,44,FDJ,,\u25bc8,6,2017
30,201,6,38.0,Costa Rui,45,UAE Team Emirates,,\u25bc7,6,2017
32,22,6,39.0,Cataldo Dario,46,Astana Pro Team,,\u25bc7,6,2017
