Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,stage,year,▼▲
28,65,77.0,+7:02,,68.0,Gavazzi Francesco,77,Astana Pro Team,7:02 7:02,+5:18,,6,2013,▼9
25,54,78.0,+7:52,,85.0,Gautier Cyril,78,Team Europcar,7:52 7:52,+0:05,,6,2013,▲7
31,64,79.0,+8:30,,73.0,Gasparotto Enrico,79,Astana Pro Team,8:30 8:30,+3:54,,6,2013,▼6
33,127,80.0,+8:30,,86.0,Plaza Rubén,80,Movistar Team,",, 8:30",+0:24,,6,2013,▲6
32,92,81.0,+8:59,,87.0,Bennati Daniele,81,Team Saxo - Tinkoff,8:59 8:59,+0:24,,6,2013,▲6
27,162,82.0,+9:08,,89.0,Gesink Robert,82,Belkin-Pro Cycling Team,9:08 9:08,+0:05,,6,2013,▲7
39,99,83.0,+9:32,,88.0,Tosatto Matteo,83,Team Saxo - Tinkoff,9:32 9:32,+0:40,,6,2013,▲5
31,102,84.0,+9:51,,92.0,Brutt Pavel,84,Team Katusha,9:51 9:51,+0:05,,6,2013,▲8
24,79,85.0,+10:02,,94.0,Vichot Arthur,85,FDJ.fr,10:02 10:02,+0:05,,6,2013,▲9
24,114,86.0,+10:22,,77.0,Izagirre Ion,86,Euskaltel - Euskadi,10:22 10:22,+5:18,,6,2013,▼9
23,143,87.0,+10:31,,91.0,Cimolai Davide,87,Lampre - Merida,10:31 10:31,+0:51,,6,2013,▲4
32,206,88.0,+10:56,,98.0,Lagutin Sergey,88,Vacansoleil - DCM,10:56 10:56,+0:05,,6,2013,▲10
23,138,89.0,+10:57,,75.0,Molard Rudy,89,"Cofidis, Solutions Crédits",10:57 10:57,+5:57,,6,2013,▼14
29,61,90.0,+11:44,,50.0,Brajkovič Janez,90,Astana Pro Team,11:44 11:44,+10:48,,6,2013,▼40
28,129,91.0,+13:03,,102.0,Rojas José Joaquín,91,Movistar Team,13:03 13:03,+0:00,,6,2013,▲11
26,23,92.0,+13:05,,101.0,De Clercq Bart,92,Lotto Belisol Team,13:05 13:05,+0:05,,6,2013,▲9
33,45,93.0,+13:55,,107.0,Irizar Markel,93,RadioShack - Leopard,13:55 13:55,+0:05,,6,2013,▲14
26,123,94.0,+14:05,,105.0,Castroviejo Jonathan,94,Movistar Team,14:05 14:05,+0:24,,6,2013,▲11
26,133,95.0,+14:08,,108.0,Coppel Jérôme,95,"Cofidis, Solutions Crédits",14:08 14:08,+0:05,,6,2013,▲13
32,4,96.0,+14:12,,109.0,Kiryienka Vasil,96,Sky Procycling,14:12 14:12,+0:05,,6,2013,▲13
