Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,198,134.0,+32:24,,38.0,Mezgec Luka,31,Team Argos - Shimano,31:09 31:09,\u25b27,5,2013
22,197,144.0,+34:25,,17.0,Ludvigsson Tobias,32,Team Argos - Shimano,33:10 33:10,\u25bc15,5,2013
23,159,149.0,+35:51,,32.0,Vermote Julien,33,Omega Pharma - Quick-Step,34:36 34:36,\u25bc1,5,2013
22,162,156.0,+38:29,,22.0,Durbridge Luke,34,Orica GreenEDGE,37:14 37:14,\u25bc12,5,2013
23,219,157.0,+38:29,,23.0,Wauters Willem,35,Vacansoleil - DCM,",, 37:14",\u25bc12,5,2013
24,143,160.0,+40:23,,29.0,Dowsett Alex,36,Movistar Team,39:08 39:08,\u25bc7,5,2013
22,67,164.0,+41:37,,36.0,Phinney Taylor,37,BMC Racing Team,40:22 40:22,\u25bc1,5,2013
23,163,165.0,+41:41,,40.0,Howard Leigh,38,Orica GreenEDGE,40:26 40:26,\u25b22,5,2013
22,100,168.0,+42:03,,46.0,Bouhanni Nacer,39,FDJ.fr,40:48 40:48,\u25b27,5,2013
24,4,172.0,+44:16,,35.0,Haas Nathan,40,Garmin Sharp,43:01 43:01,\u25bc5,5,2013
23,82,178.0,+45:41,,39.0,Avila Edwin,41,Team Colombia,44:26 44:26,\u25bc2,5,2013
24,179,184.0,+46:57,,44.0,Sergent Jesse,42,RadioShack - Leopard,45:42 45:42,\u25b22,5,2013
23,12,185.0,+47:30,,45.0,Appollonio Davide,43,AG2R La Mondiale,46:15 46:15,\u25b22,5,2013
25,133,189.0,+47:52,,41.0,Bulgac Brian,44,Lotto Belisol Team,46:37 46:37,\u25bc3,5,2013
23,62,191.0,+49:39,,42.0,Blythe Adam,45,BMC Racing Team,48:24 48:24,\u25bc3,5,2013
25,64,192.0,+49:39,,43.0,Lodewyck Klaas,46,BMC Racing Team,",, 48:24",\u25bc3,5,2013
23,52,198.0,+55:14,,47.0,Bobridge Jack,47,Blanco Pro Cycling Team,53:59 53:59,-,5,2013
24,215,202.0,+58:13,,48.0,Ligthart Pim,48,Vacansoleil - DCM,56:58 56:58,-,5,2013
24,95,203.0,+1:00:27,,49.0,Minguez Miguel,49,Euskaltel - Euskadi,59:12 59:12,-,5,2013
22,33,16.0,+1:15,,1.0,Aru Fabio,1,Astana Pro Team,23:53:57 23:53:57,-,6,2013
23,201,22.0,+1:34,,2.0,Majka Rafa\u0142,2,Team Saxo - Tinkoff,0:19 0:19,-,6,2013
23,15,25.0,+1:41,,3.0,Betancur Carlos,3,AG2R La Mondiale,0:26 0:26,-,6,2013
22,55,31.0,+2:21,,4.0,Kelderman Wilco,4,Blanco Pro Cycling Team,1:06 1:06,-,6,2013
24,27,32.0,+2:24,,5.0,Rosa Diego,5,Androni Giocattoli - Venezuela,1:09 1:09,-,6,2013
22,44,39.0,+2:55,,6.0,Bongiorno Francesco Manuel,6,Bardiani Valvole - CSF Inox,1:40 1:40,-,6,2013
25,81,41.0,+2:59,,7.0,Atapuma John Darwin,7,Team Colombia,1:44 1:44,-,6,2013
23,42,46.0,+3:07,,8.0,Battaglin Enrico,8,Bardiani Valvole - CSF Inox,1:52 1:52,-,6,2013
23,23,51.0,+5:11,,9.0,Felline Fabio,9,Androni Giocattoli - Venezuela,3:56 3:56,-,6,2013
24,47,61.0,+9:09,,10.0,Locatelli Stefano,10,Bardiani Valvole - CSF Inox,7:54 7:54,-,6,2013
