Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,stage,year,▼▲
30.0,115.0,67.0,+46:16,,46.0,Geschke Simon,67.0,Team Giant - Alpecin,46:16 46:16,+34:53,,,8,2016,▼21
24.0,83.0,68.0,+46:52,,49.0,Craddock Lawson,68.0,Cannondale-Drapac Pro Cycling Team,46:52 46:52,+34:53,,,8,2016,▼19
25.0,114.0,69.0,+47:09,,86.0,Dumoulin Tom,69.0,Team Giant - Alpecin,47:09 47:09,+18:47,,,8,2016,▲17
37.0,74.0,70.0,+48:01,,68.0,Elmiger Martin,70.0,IAM Cycling,48:01 48:01,+25:52,,,8,2016,▼2
27.0,88.0,71.0,+48:09,,54.0,Slagter Tom-Jelte,71.0,Cannondale-Drapac Pro Cycling Team,48:09 48:09,+34:53,,,8,2016,▼17
29.0,151.0,72.0,+48:30,,69.0,Costa Rui,72.0,Lampre - Merida,48:30 48:30,+26:04,,,8,2016,▼3
28.0,177.0,73.0,+48:43,,70.0,Sicard Romain,73.0,Direct Energie,48:43 48:43,+26:04,,,8,2016,▼3
36.0,208.0,74.0,+48:48,,111.0,Plaza Rubén,74.0,ORICA-BikeExchange,48:48 48:48,+13:35,,,8,2016,▲37
39.0,29.0,75.0,+48:51,,71.0,Tiralongo Paolo,75.0,Astana Pro Team,48:51 48:51,+26:04,,,8,2016,▼4
37.0,172.0,76.0,+48:53,,72.0,Chavanel Sylvain,76.0,Direct Energie,48:53 48:53,+26:04,,,8,2016,▼4
28.0,45.0,77.0,+50:15,,76.0,Gastauer Ben,77.0,AG2R La Mondiale,50:15 50:15,+26:04,,,8,2016,▼1
31.0,218.0,78.0,+50:39,,77.0,Sørensen Chris Anker,78.0,Fortuneo - Vital Concept,50:39 50:39,+25:52,,,8,2016,▼1
27.0,27.0,79.0,+52:27,,52.0,Rosa Diego,79.0,Astana Pro Team,52:27 52:27,+39:34,,,8,2016,▼27
29.0,163.0,80.0,+52:54,,74.0,De Gendt Thomas,80.0,Lotto Soudal,52:54 52:54,+29:42,,,8,2016,▼6
24.0,159.0,81.0,+53:10,,83.0,Polanc Jan,81.0,Lampre - Merida,53:10 53:10,+26:04,,,8,2016,▲2
37.0,179.0,82.0,+53:34,,151.0,Voeckler Thomas,82.0,Direct Energie,53:34 53:34,+10:28,,,8,2016,▲69
28.0,46.0,83.0,+55:00,,61.0,Gautier Cyril,83.0,AG2R La Mondiale,55:00 55:00,+39:34,,,8,2016,▼22
25.0,78.0,84.0,+55:10,,88.0,Naesen Oliver,84.0,IAM Cycling,55:10 55:10,+26:04,,,8,2016,▲4
30.0,214.0,85.0,+56:23,,66.0,Feillu Brice,85.0,Fortuneo - Vital Concept,56:23 56:23,+34:53,,,8,2016,▼19
33.0,128.0,86.0,+59:35,,81.0,Roy Jérémy,86.0,FDJ,59:35 59:35,+32:58,,,8,2016,▼5
36.0,201.0,87.0,+59:59,,100.0,Gerrans Simon,87.0,ORICA-BikeExchange,59:59 59:59,+26:04,,,8,2016,▲13
33.0,93.0,88.0,+1:00:00,,101.0,Burghardt Marcus,88.0,BMC Racing Team,1:00:00 1:00:00,+26:04,,,8,2016,▲13
31.0,133.0,89.0,+1:00:44,,104.0,Bárta Jan,89.0,Bora - Argon 18,1:00:44 1:00:44,+26:04,,,8,2016,▲15
24.0,39.0,90.0,+1:00:57,,109.0,Valgren Michael,90.0,Tinkoff,1:00:57 1:00:57,+26:04,,,8,2016,▲19
29.0,127.0,91.0,+1:01:05,,110.0,Roux Anthony,91.0,FDJ,1:01:05 1:01:05,+25:52,,,8,2016,▲19
27.0,129.0,92.0,+1:01:20,,85.0,Vichot Arthur,92.0,FDJ,1:01:20 1:01:20,+32:58,,,8,2016,▼7
