stage_type,Stage,Winner,Leader after stage,year,stage,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
1.0,Stage 13 - Saint-paul-trois-châteaux › Cap d'Agde,GREIPEL André,Wiggins Bradley,2012,13,0,0,0,1
4.0,Stage 14 - Limoux › Foix,SANCHEZ Luis Leon,Wiggins Bradley,2012,14,0,0,1,0
1.0,Stage 15 - Samatan › Pau,FEDRIGO Pierrick,Wiggins Bradley,2012,15,0,0,0,1
4.0,Stage 16 - Pau › Bagnères-de-luchon,VOECKLER Thomas,Wiggins Bradley,2012,16,0,0,1,0
5.0,Stage 17 - Bagnères-de-Luchon › Peyragudes,VALVERDE Alejandro,Wiggins Bradley,2012,17,0,0,1,0
1.0,Stage 18 - Blagnac › Brive-la-gaillarde,CAVENDISH Mark,Wiggins Bradley,2012,18,0,0,0,1
1.0,Stage 19 (ITT) - Bonneval › Chartres,WIGGINS Bradley,Wiggins Bradley,2012,19,1,0,0,0
1.0,Stage 20 - Rambouillet › Paris,CAVENDISH Mark,Wiggins Bradley,2012,20,0,0,0,1
3.0,Stage 1 - Passage Du Gois La Barre-de-monts › Mont Des Alouettes Les Herbiers,GILBERT Philippe,Gilbert Philippe,2011,0,0,0,0,1
1.0,Team Time Trial - Les Essarts › Les Essarts,Team Garmin - Cervélo,Hushovd Thor,2011,1,0,1,0,0
1.0,Stage 3 - Olonne-sur-mer › Redon,FARRAR Tyler,Hushovd Thor,2011,2,0,0,0,1
0.0,Stage 4 - Lorient › MÃ»r-de-bretagne,EVANS Cadel,Hushovd Thor,2011,3,0,0,0,1
1.0,Stage 5 - Carhaix › Cap Fréhel,CAVENDISH Mark,Hushovd Thor,2011,4,0,0,0,1
0.0,Stage 6 - Dinan › Lisieux,BOASSON HAGEN Edvald,Hushovd Thor,2011,5,0,0,0,1
1.0,Stage 7 - Le Mans › Châteauroux,CAVENDISH Mark,Hushovd Thor,2011,6,0,0,0,1
0.0,Stage 8 - Aigurande › Super-besse Sancy,COSTA Rui,Hushovd Thor,2011,7,0,0,0,1
0.0,Stage 9 - Issoire › Saint-flour,SANCHEZ Luis Leon,Voeckler Thomas,2011,8,0,0,0,1
1.0,Stage 10 - Aurillac › Carmaux,GREIPEL André,Voeckler Thomas,2011,9,0,0,0,1
1.0,Stage 11 - Blaye-les-mines › Lavaur,CAVENDISH Mark,Voeckler Thomas,2011,10,0,0,0,1
0.0,Stage 12 - Cugnaux › Luz-ardiden,SÁNCHEZ Samuel,Voeckler Thomas,2011,11,0,0,0,1
0.0,Stage 13 - Pau › Lourdes,HUSHOVD Thor,Voeckler Thomas,2011,12,0,0,0,1
0.0,Stage 14 - Saint-gaudens › Plateau De Beille,VANENDERT Jelle,Voeckler Thomas,2011,13,0,0,0,1
1.0,Stage 15 - Limoux › Montpellier,CAVENDISH Mark,Voeckler Thomas,2011,14,0,0,0,1
0.0,Stage 16 - Saint-paul-trois-châteaux › Gap,HUSHOVD Thor,Voeckler Thomas,2011,15,0,0,0,1
0.0,Stage 17 - Gap › Pinerolo,BOASSON HAGEN Edvald,Voeckler Thomas,2011,16,0,0,0,1
0.0,Stage 18 - Pinerolo › Galibier Serre-chevalier,SCHLECK Andy,Voeckler Thomas,2011,17,0,0,0,1
0.0,Stage 19 - Modane › Alpe d’huez,ROLLAND Pierre,Schleck Andy,2011,18,0,0,0,1
0.0,Stage 20 (ITT) - Grenoble › Grenoble,MARTIN Tony,Evans Cadel,2011,19,1,0,0,0
1.0,Stage 21 - Créteil › Paris,CAVENDISH Mark,Evans Cadel,2011,20,0,0,0,1
0.0,Prologue - Rotterdam › Rotterdam,CANCELLARA Fabian,Cancellara Fabian,2010,0,1,0,0,0
