Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
27,,117.0,,+0:00,,Peron Andrea,60,O.N.C.E. - Deutsche Bank,",, ,,",2,1999
29,,23.0,,+0:00,,Ferrigato Andrea,61,,",, ,,",2,1999
30,,176.0,,+0:00,,Indurain Prudencio,62,Vitalicio Seguros - Grupo Generali,",, ,,",2,1999
27,,86.0,,+0:00,,McRae William Chann,63,Mapei - Quickstep,",, ,,",2,1999
28,,177.0,,+0:00,,Cerezo Francisco,64,Vitalicio Seguros - Grupo Generali,",, ,,",2,1999
33,,13.0,,+0:00,,Ekimov Viatcheslav,65,Amica Chips - Costa de Almeria,",, ,,",2,1999
27,,31.0,,+0:00,,Arrieta Jose Luis,66,Banesto,",, ,,",2,1999
34,,138.0,,+0:00,,Scirea Mario,67,Saeco - Cannondale,",, ,,",2,1999
30,,78.0,,+0:00,,Dotti Fausto,68,,",, ,,",2,1999
23,,,,+0:00,,Zanetti Aldo,69,,",, ,,",2,1999
30,,143.0,,+0:00,,Gotti Ivan,70,Polti,",, ,,",2,1999
23,,16.0,,+0:00,,Caucchioli Pietro,71,Amica Chips - Costa de Almeria,",, ,,",2,1999
27,,141.0,,+0:00,,Cassani Enrico,72,Polti,",, ,,",2,1999
26,,63.0,,+0:00,,Codol Massimo,73,,",, ,,",2,1999
27,,124.0,,+0:00,,Schiavina Samuele,74,Riso Scotti - Vinavil,",, ,,",2,1999
29,,26.0,,+0:00,,Hvastija Martin,75,,",, ,,",2,1999
28,,122.0,,+0:00,,Ferrari Diego,76,Riso Scotti - Vinavil,",, ,,",2,1999
29,,149.0,,+0:00,,Zanette Denis,77,Polti,",, ,,",2,1999
27,,147.0,,+0:00,,Rebellin Davide,78,Polti,",, ,,",2,1999
28,,49.0,,+0:00,,Hamburger Bo,79,Cantina Tollo - Alexia Alluminio,",, ,,",2,1999
32,,164.0,,+0:00,,Donati Massimo,80,Vini Caldirola - Sidermec,",, ,,",2,1999
24,,172.0,,+0:00,,Blanco Santiago,81,Vitalicio Seguros - Grupo Generali,",, ,,",2,1999
31,,14.0,,+0:00,,Puttini Felice,82,Amica Chips - Costa de Almeria,",, ,,",2,1999
29,,112.0,,+0:00,,Cuesta \xcd\xf1igo,83,O.N.C.E. - Deutsche Bank,",, ,,",2,1999
24,,111.0,,+0:00,,Ca\xf1ada David,84,O.N.C.E. - Deutsche Bank,",, ,,",2,1999
26,,64.0,,+0:00,,Dellavedova Marco,85,,",, ,,",2,1999
29,,148.0,,+0:00,,Virenque Richard,86,Polti,",, ,,",2,1999
30,,34.0,,+0:00,,Z\xfclle Alex,87,Banesto,",, ,,",2,1999
25,,81.0,,+0:00,,Bettini Paolo,88,Mapei - Quickstep,",, ,,",2,1999
24,,92.0,,+0:00,,Spezialetti Alessandro,89,Mobilvetta Design - Northwave,",, ,,",2,1999
27,,126.0,,+0:00,,Pozzi Oscar,90,Riso Scotti - Vinavil,",, ,,",2,1999
27,,27.0,,+0:00,,Simoni Gilberto,91,,",, ,,",2,1999
37,,9.0,,+0:00,,Podenzana Massimo,92,Mercatone Uno - Bianchi,",, ,,",2,1999
25,,3.0,,+0:00,,Garzelli Stefano,93,Mercatone Uno - Bianchi,",, ,,",2,1999
33,,88.0,,+0:00,,Tafi Andrea,94,Mapei - Quickstep,",, ,,",2,1999
