Rider,year,stage_scores_giro,nr_stages_giro,Giro_max_total
Brandt Christophe,2009,0.0,20,75.0
Brard Florent,2004,0.0,21,0.0
Breschel Matti,2007,47.0,20,47.0
Breschel Matti,2013,17.0,12,47.0
Brignoli Ermanno,1998,0.0,23,0.0
Brignoli Ermanno,1999,0.0,20,0.0
Brignoli Ermanno,2000,0.0,22,0.0
Brignoli Ermanno,2001,15.0,21,15.0
Broeckx Stig,2015,20.0,17,20.0
Brognara Andrea,1998,0.0,23,0.0
Brognara Andrea,1999,0.0,22,0.0
Brognara Andrea,2001,0.0,21,0.0
Brooks Benjamin,2000,0.0,1,0.0
Brown Graeme,2002,74.0,6,74.0
Brown Graeme,2003,63.0,14,74.0
Brown Graeme,2006,39.0,6,74.0
Brown Graeme,2007,0.0,1,74.0
Brown Graeme,2008,35.0,12,74.0
Brown Graeme,2010,98.0,20,98.0
Brown Graeme,2011,0.0,7,98.0
Brown Nathan,2015,0.0,20,0.0
Brown Nathan,2016,24.0,21,24.0
Brozyna Tomasz,2000,25.0,22,25.0
Brozyna Tomasz,2003,0.0,21,25.0
Bruseghin Marzio,1998,0.0,23,0.0
Bruseghin Marzio,1999,14.0,22,14.0
Bruseghin Marzio,2000,16.0,22,16.0
Bruseghin Marzio,2001,39.0,21,39.0
Bruseghin Marzio,2003,38.0,21,39.0
Bruseghin Marzio,2004,44.0,21,44.0
Bruseghin Marzio,2005,149.0,21,149.0
Bruseghin Marzio,2006,57.0,21,149.0
Bruseghin Marzio,2007,143.0,20,149.0
Bruseghin Marzio,2008,145.0,20,149.0
Bruseghin Marzio,2009,143.0,20,149.0
Bruseghin Marzio,2010,0.0,6,149.0
Bruseghin Marzio,2012,0.0,1,149.0
Brutt Pavel,2007,0.0,20,0.0
Brutt Pavel,2008,35.0,8,35.0
Brutt Pavel,2009,26.0,20,35.0
Brutt Pavel,2011,0.0,19,35.0
Brutt Pavel,2012,0.0,1,35.0
Brutt Pavel,2013,6.0,20,35.0
Brutt Pavel,2016,13.0,21,35.0
Brutt Pavel,2017,0.0,21,35.0
Buenahora Hernan,1998,38.0,23,38.0
Buenahora Hernan,1999,61.0,22,61.0
Buenahora Hernan,2000,119.0,22,119.0
Buenahora Hernan,2001,62.0,21,119.0
Buffaz Mickael,2007,0.0,20,0.0
Buffaz Mickael,2008,0.0,20,0.0
Buffaz Mickael,2010,0.0,15,0.0
Bugno Gianni,1998,6.0,23,6.0
Bulgac Brian,2012,0.0,1,0.0
Bulgac Brian,2013,0.0,20,0.0
Bulgarelli Fabio,2001,0.0,21,0.0
Burghardt Marcus,2015,0.0,20,0.0
Busato Matteo,2015,54.0,20,54.0
Busato Matteo,2016,52.0,21,54.0
Busato Matteo,2017,40.0,21,54.0
Butler Chris,2011,0.0,7,0.0
Buxhofer Matthias,2002,66.0,21,66.0
Ca\xf1ada David,1999,0.0,22,0.0
Ca\xf1ada David,2004,23.0,21,23.0
Ca\xf1ada David,2007,0.0,20,23.0
Ca\xf1ada David,2008,0.0,20,23.0
Cabedo Victor,2012,0.0,1,0.0
Cabello Francisco,1999,0.0,22,0.0
Caccia Diego,2009,0.0,20,0.0
Cadamuro Simone,2004,141.0,21,141.0
Cadamuro Simone,2005,71.0,18,141.0
Calcagni Patrick,2005,0.0,5,0.0
Calcagni Patrick,2006,31.0,20,31.0
Calcagni Patrick,2008,0.0,5,31.0
Calcaterra Giuseppe,1998,0.0,23,0.0
Calcaterra Giuseppe,1999,0.0,22,0.0
