,Age,BIB,Rider,year,gc_extra_scores,gc_stage_scores,green_extra_scores,green_stage_scores,polka_extra_scores,polka_stage_scores,stage_scores,youth_extra_scores,youth_stage_scores,score
3931,35,137.0,Moller Claus Michael,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3932,35,137.0,Paolini Luca,2012,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,57.0
3933,35,138.0,Noe Andrea,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3934,35,138.0,Sieberg Marcel,2017,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0
3935,35,144.0,Devolder Stijn,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3936,35,146.0,Irizar Markel,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3937,35,147.0,Martinello Silvio,1998,0.0,0.0,0.0,1.0,0.0,0.0,51.0,0.0,0.0,52.0
3938,35,148.0,Rast Gregory,2015,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0
3939,35,151.0,Brochard Laurent,2003,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0
3940,35,152.0,Grabsch Ralf,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3941,35,154.0,de Jongh Steven,2009,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0
3942,35,156.0,Herv\xe9 Pascal,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3943,35,156.0,Plaza Rub\xe9n,2015,0.0,0.0,0.0,1.0,0.0,0.0,83.0,0.0,0.0,84.0
3944,35,158.0,Tosatto Matteo,2009,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0
3945,35,159.0,Voeckler Thomas,2014,0.0,0.0,0.0,0.0,0.0,17.0,30.0,0.0,0.0,47.0
3946,35,159.0,Wauters Marc,2004,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
3947,35,163.0,Horrach Joan,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3948,35,165.0,Rich Michael,2005,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0
3949,35,166.0,Hansen Adam,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3950,35,167.0,Mengin Christophe,2004,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0
3951,35,171.0,Greipel Andr\xe9,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3952,35,172.0,Auge St\xe9phane,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3953,35,173.0,Danielson Thomas,2013,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
3954,35,174.0,Gene Yohann,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3955,35,175.0,Donati Massimo,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3956,35,178.0,Rous Didier,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3957,35,181.0,Honchar Serhiy,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3958,35,181.0,Zabel Erik,2006,0.0,0.0,0.0,28.0,0.0,0.0,82.0,0.0,0.0,110.0
3959,35,183.0,Fofonov Dimitri,2012,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0
3960,35,185.0,Conti Roberto,2000,20.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,63.0
3961,35,189.0,Wrolich Peter,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3962,35,192.0,Bozic Borut,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3963,35,192.0,Chavanel Sylvain,2014,0.0,0.0,0.0,0.0,0.0,3.0,82.0,0.0,0.0,85.0
3964,35,193.0,Elmiger Martin,2014,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0
3965,35,193.0,de Kort Koen,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3966,35,196.0,Museeuw Johan,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3967,35,202.0,Albasini Michael,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3968,35,202.0,Baldato Fabio,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3969,35,204.0,Bourguignon Thierry,1998,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0
