Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
24,48.95399999999999,95,102,+0:32,,Fritsch Nicolas,102,Fdjeux.com,0:32 0:32,0,2003
29,48.95399999999999,199,103,+0:32,,Zberg Markus,103,Gerolsteiner,",, 0:32",0,2003
25,48.95399999999999,49,104,+0:32,,Wielinga Remmert,104,Rabobank ProTeam,",, 0:32",0,2003
24,48.95399999999999,183,105,+0:32,,Chavanel Sylvain,105,Brioches La Boulang\xe8re,",, 0:32",0,2003
26,48.95399999999999,39,106,+0:33,,Zandio Xabier,106,Ibanesto.com,",, 0:32",0,2003
27,48.852,68,107,+0:33,,Trentin Guido,107,Cofidis,0:33 0:33,0,2003
29,48.852,2,108,+0:33,,Heras Roberto,108,US Postal Service,",, 0:33",0,2003
33,48.852,24,109,+0:33,,Guerini Giuseppe,109,Team Telekom,",, 0:33",0,2003
32,48.852,7,110,+0:33,,Padrnos Pavel,110,US Postal Service,",, 0:33",0,2003
35,48.852,135,111,+0:33,,Garmendia Aitor,111,Team Bianchi,",, 0:33",0,2003
32,48.852,29,112,+0:34,,Zabel Erik,112,Team Telekom,",, 0:33",0,2003
28,48.852,94,113,+0:34,,Da Cruz Carlos,113,Fdjeux.com,",, 0:33",0,2003
28,48.75,17,114,+0:34,,Pradera Mikel,114,O.N.C.E. - Eroski,0:34 0:34,0,2003
30,48.75,33,115,+0:34,,Garcia Jose Vicente,115,Ibanesto.com,",, 0:34",0,2003
27,48.75,6,116,+0:34,,Landis Floyd,116,US Postal Service,",, 0:34",0,2003
25,48.75,92,118,+0:34,,Casper Jimmy,117,Fdjeux.com,",, 0:34",0,2003
32,48.75,198,117,+0:34,,Totschnig Georg,118,Gerolsteiner,",, 0:34",0,2003
31,48.75,136,119,+0:34,,Guidi Fabrizio,119,Team Bianchi,",, 0:34",0,2003
30,48.648999999999994,27,120,+0:35,,Nardello Daniele,120,Team Telekom,0:35 0:35,0,2003
30,48.648999999999994,162,121,+0:35,,Andriotto Dario,121,Vini Calderola - So.di,",, 0:35",0,2003
28,48.648999999999994,53,122,+0:35,,Commesso Salvatore,122,Saeco,",, 0:35",0,2003
33,48.648999999999994,119,123,+0:35,,Virenque Richard,123,Quickstep - Davitamon,",, 0:35",0,2003
23,48.648999999999994,187,124,+0:35,,Pineau J\xe9rome,124,Brioches La Boulang\xe8re,",, 0:35",0,2003
29,48.648999999999994,88,125,+0:35,,Petacchi Alessandro,125,Fassa Bortolo,",, 0:35",0,2003
28,48.548,153,126,+0:36,,Botcharov Alexandre,126,AG2R Pr\xe9voyance,0:36 0:36,0,2003
30,48.548,182,128,+0:36,,Beneteau Walter,127,Brioches La Boulang\xe8re,",, 0:36",0,2003
27,48.548,204,127,+0:36,,Caucchioli Pietro,128,Alessio,",, 0:36",0,2003
29,48.548,58,129,+0:36,,Sacchi Fabio,129,Saeco,",, 0:36",0,2003
33,48.548,166,130,+0:36,,Milesi Marco,130,Vini Calderola - So.di,",, 0:36",0,2003
23,48.548,185,131,+0:36,,Hary Maryan,131,Brioches La Boulang\xe8re,",, 0:36",0,2003
26,48.548,116,132,+0:36,,Paolini Luca,132,Quickstep - Davitamon,",, 0:36",0,2003
28,48.548,66,133,+0:37,,Moncouti\xe9 David,133,Cofidis,",, 0:36",0,2003
29,48.548,13,134,+0:37,,Azevedo Jos\xe9 Bento Carvalho,134,O.N.C.E. - Eroski,",, 0:36",0,2003
32,48.446999999999996,121,135,+0:37,,Moreau Christophe,135,Cr\xe9dit Agricole,0:37 0:37,0,2003
26,48.446999999999996,163,136,+0:37,,Bossoni Paolo,136,Vini Calderola - So.di,",, 0:37",0,2003
29,48.446999999999996,161,137,+0:37,,Garzelli Stefano,137,Vini Calderola - So.di,",, 0:37",0,2003
24,48.446999999999996,158,138,+0:37,,Portal Nicolas,138,AG2R Pr\xe9voyance,",, 0:37",0,2003
29,48.347,188,139,+0:38,,Renier Franck,139,Brioches La Boulang\xe8re,0:38 0:38,0,2003
29,48.347,103,140,+0:38,,Latasa lasa David,140,Kelme - Costa Blanca,",, 0:38",0,2003
34,48.347,134,141,+0:38,,Garc\xeda Felix Manuel,141,Team Bianchi,",, 0:38",0,2003
35,48.347,202,142,+0:38,,Baldato Fabio,142,Alessio,",, 0:38",0,2003
25,48.347,99,143,+0:38,,Wilson Matthew,143,Fdjeux.com,",, 0:38",0,2003
29,48.347,147,144,+0:38,,Moerenhout Koos,144,Lotto - Domo,",, 0:38",0,2003
27,48.347,106,145,+0:38,,Parra Ivan Ramiro,145,Kelme - Costa Blanca,",, 0:38",0,2003
25,48.347,101,146,+0:38,,Gutierrez Ignacio,146,Kelme - Costa Blanca,",, 0:38",0,2003
25,48.347,209,147,+0:38,,Pellizotti Franco,147,Alessio,",, 0:38",0,2003
28,48.247,159,148,+0:39,,Turpin Ludovic,148,AG2R Pr\xe9voyance,0:39 0:39,0,2003
30,48.247,72,149,+0:39,,Blaudzun Michael,149,CSC ProTeam,",, 0:39",0,2003
