Age,BIB,GC,GC-Time,Rider,Rnk,Team,Time,Time won/lost,UCI,stage,year
29,18,134.0,+2:29,Vanmarcke Sep,134,Team EF Education First-Drapac p/b Cannondale,",, 2:29",+2:29,,1,2018
29,136,135.0,+2:34,Slagter Tom-Jelte,135,Team Dimension Data,2:34 2:34,+2:34,,1,2018
23,186,136.0,+2:34,Grellier Fabien,136,Direct Energie,",, 2:34",+2:34,,1,2018
29,102,137.0,+2:34,Declercq Tim,137,Quick-Step Floors,",, 2:34",+2:34,,1,2018
26,196,138.0,+2:34,Grmay Tsgabu,138,Trek - Segafredo,",, 2:34",+2:34,,1,2018
21,152,139.0,+2:34,Gaudu David,139,Groupama - FDJ,",, 2:34",+2:34,,1,2018
24,77,140.0,+2:34,Soler Marc,140,Movistar Team,",, 2:34",+2:34,,1,2018
27,204,141.0,+2:34,Herrada Jes\xfas,141,"Cofidis, Solutions Cr\xe9dits",",, 2:34",+2:34,,1,2018
31,185,142.0,+2:34,Gaudin Damien,142,Direct Energie,",, 2:34",+2:34,,1,2018
24,85,143.0,+2:34,K\xfcng Stefan,143,BMC Racing Team,",, 2:34",+2:34,,1,2018
40,57,144.0,+2:34,Pellizotti Franco,144,Bahrain Merida Pro Cycling Team,",, 2:34",+2:34,,1,2018
28,117,145.0,+2:34,Poljanski Pawel,145,BORA - hansgrohe,",, 2:34",+2:34,,1,2018
27,206,146.0,+2:34,Perez Anthony,146,"Cofidis, Solutions Cr\xe9dits",",, 2:34",+2:34,,1,2018
36,97,147.0,+2:34,Sutherland Rory,147,UAE-Team Emirates,",, 2:34",+2:34,,1,2018
28,4,148.0,+2:34,Kwiatkowski Michal,148,Team Sky,",, 2:34",+2:34,,1,2018
34,205,149.0,+2:34,Navarro Daniel,149,"Cofidis, Solutions Cr\xe9dits",",, 2:34",+2:34,,1,2018
28,7,150.0,+2:34,Rowe Luke,150,Team Sky,",, 2:34",+2:34,,1,2018
27,82,151.0,+2:52,Bevin Patrick,151,BMC Racing Team,2:52 2:52,+2:52,,1,2018
30,6,152.0,+2:54,Poels Wout,152,Team Sky,2:54 2:54,+2:54,,1,2018
27,142,153.0,+2:54,Boswell Ian,153,Team Katusha - Alpecin,",, 2:54",+2:54,,1,2018
33,76,154.0,+2:54,Rojas Jos\xe9 Joaqu\xedn,154,Movistar Team,",, 2:54",+2:54,,1,2018
27,22,155.0,+2:58,Dillier Silvan,155,AG2R La Mondiale,2:58 2:58,+2:58,,1,2018
27,63,156.0,+3:10,Durbridge Luke,156,Mitchelton-Scott,3:10 3:10,+3:10,,1,2018
31,215,157.0,+3:10,Offredo Yoann,157,Wanty - Groupe Gobert,",, 3:10",+3:10,,1,2018
33,62,158.0,+3:12,Bauer Jack,158,Mitchelton-Scott,3:12 3:12,+3:12,,1,2018
30,83,159.0,+3:12,Caruso Damiano,159,BMC Racing Team,",, 3:12",+3:12,,1,2018
30,25,160.0,+3:12,Gallopin Tony,160,AG2R La Mondiale,",, 3:12",+3:12,,1,2018
33,178,161.0,+3:12,Vanendert Jelle,161,Lotto Soudal,",, 3:12",+3:12,,1,2018
24,173,162.0,+3:12,de Buyst Jasper,162,Lotto Soudal,",, 3:12",+3:12,,1,2018
24,45,163.0,+3:12,Ledanois Kevin,163,Team Fortuneo - Samsic,",, 3:12",+3:12,,1,2018
34,176,164.0,+3:22,Marczynski Tomasz,164,Lotto Soudal,3:22 3:22,+3:22,,1,2018
38,84,165.0,+4:14,Gerrans Simon,165,BMC Racing Team,4:14 4:14,+4:14,,1,2018
40,64,166.0,+4:14,Hayman Mathew,166,Mitchelton-Scott,",, 4:14",+4:14,,1,2018
26,65,167.0,+4:14,Hepburn Michael,167,Mitchelton-Scott,",, 4:14",+4:14,,1,2018
25,66,168.0,+4:14,Howson Damien,168,Mitchelton-Scott,",, 4:14",+4:14,,1,2018
32,137,169.0,+4:14,Thomson Jay Robert,169,Team Dimension Data,",, 4:14",+4:14,,1,2018
27,124,170.0,+4:14,Hansen Jesper,170,Astana Pro Team,",, 4:14",+4:14,,1,2018
32,162,171.0,+4:14,Gesink Robert,171,Team LottoNL-Jumbo,",, 4:14",+4:14,,1,2018
27,155,172.0,+6:33,Ludvigsson Tobias,172,Groupama - FDJ,6:33 6:33,+6:33,,1,2018
26,151,173.0,+6:33,D\xe9mare Arnaud,173,Groupama - FDJ,",, 6:33",+6:33,,1,2018
24,154,174.0,+6:33,Le Gac Olivier,174,Groupama - FDJ,",, 6:33",+6:33,,1,2018
31,3,175.0,+7:58,Castroviejo Jonathan,175,Team Sky,7:58 7:58,+7:58,,1,2018
26,13,176.0,+8:00,Craddock Lawson,176,Team EF Education First-Drapac p/b Cannondale,8:00 8:00,+8:00,,1,2018
