Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
27,155,26,+ 78:49:33,,26,Gutierrez Jose Enrique,26,Kelme - Costa Blanca,74:35:57 74:35:57,+0:13,-,17,2001
32,117,27,+ 78:49:49,,27,Laiseka jaio Roberto,27,Euskaltel - Euskadi,74:36:13 74:36:13,+0:13,-,17,2001
26,15,28,+ 78:49:53,,28,Kl\xf6den Andr\xe9as,28,Team Telekom,74:36:17 74:36:17,+0:13,-,17,2001
26,72,29,+ 78:50:43,,29,Atienza Daniel,29,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",74:37:07 74:37:07,+0:13,-,17,2001
31,144,30,+ 78:52:49,,30,Goubert Stephane,30,Jean Delatour,74:39:13 74:39:13,+0:13,-,17,2001
25,26,31,+ 78:53:43,,31,Jaksche Jorg,31,O.N.C.E. - Eroski,74:40:07 74:40:07,+0:13,-,17,2001
27,121,32,+ 78:56:10,,32,Salmon Benoit,32,AG2R Pr\xe9voyance,74:42:34 74:42:34,+0:13,-,17,2001
27,37,33,+ 78:56:41,,33,Perez Luis,33,Festina,74:43:05 74:43:05,+0:13,-,17,2001
28,111,34,+ 78:59:24,,34,Etxebarria David,34,Euskaltel - Euskadi,74:45:48 74:45:48,+0:13,-,17,2001
31,82,35,+ 78:59:30,,35,Bartoli Michele,35,Mapei - Quickstep,74:45:54 74:45:54,+0:13,-,17,2001
28,162,36,+ 79:03:08,,37,Beneteau Walter,36,Bonjour,74:49:32 74:49:32,+0:13,\u25b21,17,2001
25,69,37,+ 79:03:37,,38,Vermaut Steve,37,Lotto - Adecco,74:50:01 74:50:01,+0:07,\u25b21,17,2001
31,13,38,+ 79:03:44,,36,Guerini Giuseppe,38,Team Telekom,74:50:08 74:50:08,+1:01,\u25bc2,17,2001
29,99,39,+ 79:04:39,,39,Piepoli Leonardo,39,Ibanesto.com,74:51:03 74:51:03,+0:13,-,17,2001
30,156,58,+ 79:27:25,,60,Pascual Javier,40,Kelme - Costa Blanca,74:51:43 74:51:43,+-22:07,\u25b220,17,2001
28,8,41,+ 79:05:19,,42,Rubiera Jos\xe9 Luis,41,US Postal Service,",, 74:51:43",+0:13,\u25b21,17,2001
28,16,42,+ 79:05:45,,40,Livingston Kevin,42,Team Telekom,74:52:09 74:52:09,+1:01,\u25bc2,17,2001
32,35,43,+ 79:05:51,,43,Garc\xeda Felix Manuel,43,Festina,74:52:15 74:52:15,+0:13,-,17,2001
30,201,44,+ 79:08:59,,44,Heulot Stephane,44,BigMat - Auber 93,74:55:23 74:55:23,+0:13,-,17,2001
25,79,45,+ 79:12:16,,45,Trentin Guido,45,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",74:58:40 74:58:40,+0:13,-,17,2001
