Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
28,50,+4:12,57,Burghardt Marcus,50,BMC Racing Team,4:12 4:12,+0:00,\u25b27,2,2012
25,51,+4:16,54,Mollema Bauke,51,Rabobank Cycling Team,4:16 4:16,+0:24,\u25b23,2,2012
29,52,+4:25,60,Hoogerland Johnny,52,Vacansoleil - DCM,4:25 4:25,+0:00,\u25b28,2,2012
27,53,+4:37,55,Dekker Thomas,53,Team Garmin - Barracuda,4:37 4:37,+0:28,\u25b22,2,2012
29,54,+4:41,58,Duggan Timothy,54,Liquigas - Cannondale,4:41 4:41,+0:28,\u25b24,2,2012
28,55,+4:43,61,Marcato Marco,55,Vacansoleil - DCM,4:43 4:43,+0:00,\u25b26,2,2012
28,56,+4:46,62,Chainel Steve,56,FDJ - BigMat,4:46 4:46,+0:00,\u25b26,2,2012
24,57,+4:47,59,Cordeel Sander,57,Lotto Belisol Team,4:47 4:47,+0:28,\u25b22,2,2012
27,58,+5:03,64,Gavazzi Francesco,58,Astana Pro Team,5:03 5:03,+0:00,\u25b26,2,2012
27,59,+5:04,65,Rojas Jos\xe9 Joaqu\xedn,59,Movistar Team,5:04 5:04,+0:00,\u25b26,2,2012
32,60,+5:37,72,Velasco Ivan,60,Euskaltel - Euskadi,5:37 5:37,+0:00,\u25b212,2,2012
31,61,+5:51,73,Albasini Michael,61,Orica GreenEDGE,5:51 5:51,+0:00,\u25b212,2,2012
36,62,+5:56,71,Kl\xf6den Andr\xe9as,62,RadioShack - Nissan,5:56 5:56,+0:24,\u25b29,2,2012
38,63,+5:57,69,Horrach Joan,63,Team Katusha,5:57 5:57,+0:39,\u25b26,2,2012
22,64,+5:57,74,Puccio Salvatore,64,Sky Procycling,",, 5:57",+0:00,\u25b210,2,2012
33,65,+6:17,76,Guti\xe9rrez Jos\xe9 Iv\xe1n,65,Movistar Team,6:17 6:17,+0:00,\u25b211,2,2012
26,66,+6:23,77,Kohler Martin,66,BMC Racing Team,6:23 6:23,+0:00,\u25b211,2,2012
26,67,+6:26,79,Cusin Remi,67,Team Type 1 - SANOFI,6:26 6:26,+0:00,\u25b212,2,2012
30,68,+6:29,80,Reynes Vicente,68,Lotto Belisol Team,6:29 6:29,+0:00,\u25b212,2,2012
26,69,+6:41,83,Isaychev Vladimir,69,Team Katusha,6:41 6:41,+0:00,\u25b214,2,2012
29,70,+6:42,84,Minard S\xe9bastien,70,AG2R La Mondiale,6:42 6:42,+0:00,\u25b214,2,2012
32,71,+6:48,85,Geslin Anthony,71,FDJ - BigMat,6:48 6:48,+0:00,\u25b214,2,2012
32,72,+6:54,78,Paulinho S\xe9rgio,72,Team Saxo Bank - Tinkoff Bank,6:54 6:54,+0:28,\u25b26,2,2012
31,73,+6:57,86,Mori Manuele,73,Lampre - ISD,6:57 6:57,+0:00,\u25b213,2,2012
34,74,+7:04,81,Bertagnolli Leonardo,74,Lampre - ISD,7:04 7:04,+0:28,\u25b27,2,2012
31,75,+7:05,82,Kolobnev Alexandr,75,Team Katusha,7:05 7:05,+0:24,\u25b27,2,2012
28,76,+8:26,88,Terpstra Niki,76,Omega Pharma - Quick-Step,8:26 8:26,+0:00,\u25b212,2,2012
25,77,+8:31,89,Oss Daniel,77,Liquigas - Cannondale,8:31 8:31,+0:00,\u25b212,2,2012
26,78,+8:40,93,Stybar Zdenek,78,Omega Pharma - Quick-Step,8:40 8:40,+0:00,\u25b215,2,2012
36,79,+8:46,95,Niermann Grischa,79,Rabobank Cycling Team,8:46 8:46,+0:00,\u25b216,2,2012
27,80,+8:48,97,Van Avermaet Greg,80,BMC Racing Team,8:48 8:48,+0:00,\u25b217,2,2012
27,81,+8:48,98,Didier Laurent,81,RadioShack - Nissan,",, 8:48",+0:00,\u25b217,2,2012
36,82,+8:54,99,Freire Oscar,82,Team Katusha,8:54 8:54,+0:00,\u25b217,2,2012
