Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,Time won/lost,year,stage
127,127,-,86,Fr\xf6hlinger Johannes,30,Team Giant - Alpecin,127,+13:47,",, 13:47",+13:15,2015,2
128,132,\u25b24,178,Bole Grega,29,CCC Sprandi Polkowice,128,+13:48,13:48 13:48,+13:15,2015,2
129,134,\u25b25,96,Howes Alex,27,Team Cannondale - Garmin,129,+13:48,",, 13:48",+13:15,2015,2
130,135,\u25b25,167,Minard S\xe9bastien,33,AG2R La Mondiale,130,+13:48,",, 13:48",+13:15,2015,2
131,3,\u25bc128,27,Br\xe4ndle Matthias,25,IAM Cycling,131,+15:46,15:46 15:46,+15:42,2015,2
132,43,\u25bc89,71,Kristoff Alexander,27,Team Katusha,132,+15:58,15:58 15:58,+15:42,2015,2
133,44,\u25bc89,152,Bozic Borut,34,Astana Pro Team,133,+15:59,15:59 15:59,+15:42,2015,2
134,45,\u25bc89,18,Stuyven Jasper,23,Trek Factory Racing,134,+15:59,",, 15:59",+15:42,2015,2
135,51,\u25bc84,106,Tuft Svein,38,Orica GreenEDGE,135,+15:59,",, 15:59",+15:42,2015,2
136,52,\u25bc84,58,Pate Danny,36,Team Sky,136,+15:59,",, 15:59",+15:42,2015,2
137,60,\u25bc77,134,D\xe9mare Arnaud,23,FDJ,137,+16:01,16:01 16:01,+15:42,2015,2
138,63,\u25bc75,13,Devolder Stijn,35,Trek Factory Racing,138,+16:01,",, 16:01",+15:42,2015,2
139,66,\u25bc73,132,Bonnet William,32,FDJ,139,+16:02,16:02 16:02,+15:42,2015,2
140,97,\u25bc43,72,Guarnieri Jacopo,27,Team Katusha,140,+16:08,16:08 16:08,+15:42,2015,2
141,107,\u25bc34,62,Leezer Tom,29,Team LottoNL-Jumbo,141,+16:10,16:10 16:10,+15:42,2015,2
142,108,\u25bc34,138,Vichot Arthur,26,FDJ,142,+16:10,",, 16:10",+15:42,2015,2
143,111,\u25bc32,76,Lagutin Sergey,34,Team Katusha,143,+16:11,16:11 16:11,+15:42,2015,2
144,113,\u25bc31,157,Malacarne Davide,27,Astana Pro Team,144,+16:11,",, 16:11",+15:42,2015,2
145,120,\u25bc25,66,Van Asbroeck Tom,25,Team LottoNL-Jumbo,145,+16:12,16:12 16:12,+15:42,2015,2
146,121,\u25bc25,55,Eisel Bernhard,34,Team Sky,146,+16:13,16:13 16:13,+15:42,2015,2
147,131,\u25bc16,1,Cimolai Davide,25,Lampre - Merida,147,+16:15,16:15 16:15,+15:42,2015,2
148,141,\u25bc7,54,Nordhaug Lars Petter,31,Team Sky,148,+16:17,16:17 16:17,+15:42,2015,2
149,142,\u25bc7,155,Kozhatayev Bakhtiyar,23,Astana Pro Team,149,+16:18,16:18 16:18,+15:42,2015,2
150,143,\u25bc7,122,Arm\xe9e Sander,29,Lotto Soudal,150,+16:19,16:19 16:19,+15:42,2015,2
151,149,\u25bc2,3,Xu Gang,31,Lampre - Merida,151,+16:26,16:26 16:26,+15:42,2015,2
1,1,-,85,Dumoulin Tom,24,Team Giant - Alpecin,1,+0:00,6:43:12 6:43:12,+0:00,2015,3
2,3,\u25b21,77,Moreno Daniel,33,Team Katusha,2,+0:05,0:05 0:05,+-1:54,2015,3
3,5,\u25b22,41,Sagan Peter,25,Tinkoff - Saxo,3,+0:05,",, 0:05",+-1:50,2015,3
4,2,\u25bc2,52,Thomas Geraint,29,Team Sky,4,+0:07,0:07 0:07,+0:00,2015,3
5,7,\u25b22,131,Pinot Thibaut,25,FDJ,5,+0:12,0:12 0:12,+-1:56,2015,3
6,4,\u25bc2,151,Fuglsang Jakob,30,Astana Pro Team,6,+0:14,0:14 0:14,+0:00,2015,3
7,6,\u25bc1,136,Morabito Steve,32,FDJ,7,+0:15,0:15 0:15,+0:00,2015,3
8,8,-,7,Durasek Kristijan,27,Lampre - Merida,8,+0:18,0:18 0:18,+0:00,2015,3
9,9,-,15,Jungels Bob,22,Trek Factory Racing,9,+0:19,0:19 0:19,+0:00,2015,3
10,10,-,78,Spilak Simon,28,Team Katusha,10,+0:19,",, 0:19",+0:00,2015,3
11,11,-,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,11,+0:19,",, 0:19",+0:00,2015,3
12,12,-,111,Anacona Winner,26,Movistar Team,12,+0:21,0:21 0:21,+0:00,2015,3
13,13,-,156,Lopez Miguel Angel,21,Astana Pro Team,13,+0:26,0:26 0:26,+0:00,2015,3
14,14,-,161,Pozzovivo Domenico,32,AG2R La Mondiale,14,+0:29,0:29 0:29,+0:00,2015,3
15,15,-,26,Reichenbach Sebastien,26,IAM Cycling,15,+0:29,",, 0:29",+0:00,2015,3
16,16,-,33,Hermans Ben,29,BMC Racing Team,16,+0:32,0:32 0:32,+0:00,2015,3
17,17,-,61,Gesink Robert,29,Team LottoNL-Jumbo,17,+0:32,",, 0:32",+0:00,2015,3
18,18,-,102,Chaves Johan Esteban,25,Orica GreenEDGE,18,+0:39,0:39 0:39,+0:00,2015,3
19,23,\u25b24,57,Siutsou Kanstantsin,32,Team Sky,19,+1:09,1:09 1:09,+0:00,2015,3
20,25,\u25b25,117,Rojas Jos\xe9 Joaqu\xedn,30,Movistar Team,20,+1:14,1:14 1:14,+0:00,2015,3
21,26,\u25b25,163,Bakelants Jan,29,AG2R La Mondiale,21,+1:14,",, 1:14",+0:00,2015,3
22,28,\u25b26,143,Brambilla Gianluca,27,Etixx - Quick Step,22,+1:17,1:17 1:17,+0:00,2015,3
23,29,\u25b26,51,Henao Sergio Luis,27,Team Sky,23,+1:19,1:19 1:19,+0:00,2015,3
24,30,\u25b26,121,Van den Broeck Jurgen,32,Lotto Soudal,24,+1:19,",, 1:19",+0:00,2015,3
25,32,\u25b27,46,Majka Rafa\u0142,25,Tinkoff - Saxo,25,+1:21,1:21 1:21,+0:00,2015,3
26,36,\u25b210,175,Rebellin Davide,43,CCC Sprandi Polkowice,26,+1:26,1:26 1:26,+0:00,2015,3
27,37,\u25b210,4,Conti Valerio,22,Lampre - Merida,27,+1:26,",, 1:26",+0:00,2015,3
28,38,\u25b210,65,ten Dam Laurens,34,Team LottoNL-Jumbo,28,+1:35,1:35 1:35,+0:00,2015,3
29,19,\u25bc10,37,Van Avermaet Greg,30,BMC Racing Team,29,+2:23,2:23 2:23,+1:22,2015,3
30,24,\u25bc6,158,Lutsenko Alexey,22,Astana Pro Team,30,+2:32,2:32 2:32,+1:19,2015,3
31,27,\u25bc4,181,Gasparotto Enrico,33,Wanty - Groupe Gobert,31,+2:37,2:37 2:37,+1:22,2015,3
32,40,\u25b28,83,Barguil Warren,23,Team Giant - Alpecin,32,+2:39,2:39 2:39,+0:00,2015,3
33,31,\u25bc2,184,de Greef Francis,30,Wanty - Groupe Gobert,33,+2:42,2:42 2:42,+1:22,2015,3
34,42,\u25b28,17,Schleck Fr\xe4nk,35,Trek Factory Racing,34,+2:43,2:43 2:43,+0:00,2015,3
35,34,\u25bc1,5,Niemiec Przemyslaw,35,Lampre - Merida,35,+2:46,2:46 2:46,+1:22,2015,3
36,35,\u25bc1,53,Lopez David,34,Team Sky,36,+2:46,",, 2:46",+1:22,2015,3
37,45,\u25b28,32,Atapuma John Darwin,27,BMC Racing Team,37,+4:11,4:11 4:11,+1:22,2015,3
38,21,\u25bc17,101,Albasini Michael,34,Orica GreenEDGE,38,+4:36,4:36 4:36,+3:30,2015,3
39,41,\u25b22,36,Senni Manuel,23,BMC Racing Team,39,+5:38,5:38 5:38,+2:56,2015,3
40,49,\u25b29,104,Impey Daryl,30,Orica GreenEDGE,40,+7:03,7:03 7:03,+1:22,2015,3
41,60,\u25b219,172,Samoilau Branislau,30,CCC Sprandi Polkowice,41,+7:20,7:20 7:20,+1:19,2015,3
42,64,\u25b222,94,Dombrowski Joe,24,Team Cannondale - Garmin,42,+7:30,7:30 7:30,+1:22,2015,3
43,39,\u25bc4,174,Schumacher Stefan,33,CCC Sprandi Polkowice,43,+7:32,7:32 7:32,+4:54,2015,3
44,68,\u25b224,22,Coppel J\xe9rome,28,IAM Cycling,44,+7:36,7:36 7:36,+0:13,2015,3
45,54,\u25b29,137,Roy J\xe9r\xe9my,31,FDJ,45,+8:44,8:44 8:44,+2:56,2015,3
46,56,\u25b210,28,Warbasse Larry,24,IAM Cycling,46,+8:45,8:45 8:45,+2:56,2015,3
47,75,\u25b228,127,Monfort Maxime,32,Lotto Soudal,47,+8:56,8:56 8:56,+1:22,2015,3
48,63,\u25b215,187,Minnaard Marco,26,Wanty - Groupe Gobert,48,+9:02,9:02 9:02,+2:56,2015,3
49,20,\u25bc29,21,Elmiger Martin,36,IAM Cycling,49,+9:54,9:54 9:54,+8:48,2015,3
50,22,\u25bc28,114,Izagirre Ion,26,Movistar Team,50,+9:55,9:55 9:55,+8:48,2015,3
51,84,\u25b233,107,Matthews Michael,24,Orica GreenEDGE,51,+10:17,10:17 10:17,+0:00,2015,3
52,57,\u25b25,113,Anton Igor,32,Movistar Team,52,+10:44,10:44 10:44,+4:54,2015,3
53,43,\u25bc10,6,Pibernik Luka,21,Lampre - Merida,53,+11:31,11:31 11:31,+8:48,2015,3
54,46,\u25bc8,91,Danielson Thomas,37,Team Cannondale - Garmin,54,+11:43,11:43 11:43,+8:48,2015,3
55,47,\u25bc8,93,Cardoso Andr\xe9,30,Team Cannondale - Garmin,55,+11:45,11:45 11:45,+8:48,2015,3
56,79,\u25b223,23,Denifl Stefan,27,IAM Cycling,56,+11:46,11:46 11:46,+4:03,2015,3
57,69,\u25b212,118,Ventoso Francisco,33,Movistar Team,57,+12:28,12:28 12:28,+5:04,2015,3
58,74,\u25b216,56,Knees Christian,34,Team Sky,58,+12:36,12:36 12:36,+5:04,2015,3
59,52,\u25bc7,147,Trentin Matteo,25,Etixx - Quick Step,59,+14:31,14:31 14:31,+8:48,2015,3
60,53,\u25bc7,48,Valgren Michael,23,Tinkoff - Saxo,60,+14:34,14:34 14:34,+8:48,2015,3
61,55,\u25bc6,144,Go\u0142a\u015b Micha\u0142,31,Etixx - Quick Step,61,+14:37,14:37 14:37,+8:48,2015,3
62,58,\u25bc4,148,Vermote Julien,25,Etixx - Quick Step,62,+14:41,14:41 14:41,+8:48,2015,3
63,59,\u25bc4,25,Fumeaux Jonathan,27,IAM Cycling,63,+14:43,14:43 14:43,+8:48,2015,3
64,104,\u25b240,97,Mohoric Matej,20,Team Cannondale - Garmin,64,+14:45,14:45 14:45,+4:06,2015,3
65,110,\u25b245,98,Moser Moreno,24,Team Cannondale - Garmin,65,+14:49,14:49 14:49,+1:22,2015,3
66,61,\u25bc5,171,Szmyd Sylwester,37,CCC Sprandi Polkowice,66,+14:50,14:50 14:50,+8:48,2015,3
67,65,\u25bc2,176,Hirt Jan,24,CCC Sprandi Polkowice,67,+14:56,14:56 14:56,+8:48,2015,3
68,66,\u25bc2,177,Honkisz Adrian,27,CCC Sprandi Polkowice,68,+15:04,15:04 15:04,+8:48,2015,3
69,67,\u25bc2,31,Dillier Silvan,24,BMC Racing Team,69,+15:41,15:41 15:41,+8:48,2015,3
70,44,\u25bc26,188,Selvaggi Mirko,30,Wanty - Groupe Gobert,70,+15:58,15:58 15:58,+13:13,2015,3
71,48,\u25bc23,108,Meyer Cameron,27,Orica GreenEDGE,71,+16:03,16:03 16:03,+10:30,2015,3
72,107,\u25b235,168,Domont Axel,24,AG2R La Mondiale,72,+16:12,16:12 16:12,+5:29,2015,3
73,73,-,135,Ladagnous Matthieu,30,FDJ,73,+16:19,16:19 16:19,+8:48,2015,3
74,50,\u25bc24,38,Wyss Danilo,29,BMC Racing Team,74,+16:27,16:27 16:27,+10:45,2015,3
75,80,\u25b25,182,Backaert Frederik,25,Wanty - Groupe Gobert,75,+16:32,16:32 16:32,+8:48,2015,3
76,81,\u25b25,14,Didier Laurent,30,Trek Factory Racing,76,+16:35,16:35 16:35,+8:48,2015,3
77,82,\u25b25,162,Bonnafond Guillaume,27,AG2R La Mondiale,77,+16:40,16:40 16:40,+8:48,2015,3
78,72,\u25bc6,123,Breen Vegard,25,Lotto Soudal,78,+18:15,18:15 18:15,+10:45,2015,3
79,33,\u25bc46,112,Capecchi Eros,29,Movistar Team,79,+18:24,18:24 18:24,+17:02,2015,3
80,128,\u25b248,178,Bole Grega,29,CCC Sprandi Polkowice,80,+18:52,18:52 18:52,+5:04,2015,3
81,51,\u25bc30,35,Gilbert Philippe,32,BMC Racing Team,81,+18:56,18:56 18:56,+13:13,2015,3
