Rnk,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
44,Gavazzi Francesco,25,Lampre - Farnese Vini,,5.0,44,+25:36,25:36 25:36,+25:36,2010,8
45,van de Walle Jurgen,33,Quickstep - Innergetic,,5.0,45,+25:46,25:46 25:46,+25:46,2010,8
46,Niermann Grischa,34,Rabobank ProTeam,,5.0,46,+26:01,26:01 26:01,+26:01,2010,8
47,Zabriskie David,31,Team Garmin - Transitions,,5.0,47,+26:02,26:02 26:02,+26:02,2010,8
48,Garate Juan Manuel,34,Rabobank ProTeam,,5.0,48,+26:46,26:46 26:46,+26:46,2010,8
49,Kolobnev Alexandr,29,Team Katusha,,5.0,49,+26:47,26:47 26:47,+26:47,2010,8
50,Nordhaug Lars Petter,26,Sky Procycling,,5.0,50,+27:15,27:15 27:15,+27:15,2010,8
51,Cheula Giampaolo,31,Footon-Servetto,,5.0,51,+27:55,27:55 27:55,+27:55,2010,8
52,Voigt Jens,38,Saxo Bank,,5.0,52,+28:55,28:55 28:55,+28:55,2010,8
53,Vanotti Alessandro,29,Liquigas - Doimo,,5.0,53,+32:06,32:06 32:06,+32:06,2010,8
54,Mourey Francis,29,Francaise des Jeux,,5.0,54,+32:44,32:44 32:44,+32:44,2010,8
55,Cancellara Fabian,29,Saxo Bank,,5.0,55,+32:54,32:54 32:54,+32:54,2010,8
56,Roy J\xe9r\xe9my,26,Francaise des Jeux,,5.0,56,+33:19,33:19 33:19,+33:19,2010,8
57,Vorganov Eduard,27,Team Katusha,,5.0,57,+33:43,33:43 33:43,+33:43,2010,8
58,Pereiro Oscar,32,Astana,,5.0,58,+35:00,35:00 35:00,+35:00,2010,8
59,Popovych Yaroslav,30,RadioShack,,5.0,59,+35:09,35:09 35:09,+35:09,2010,8
60,Wegmann Fabian,30,Milram,,5.0,60,+35:58,35:58 35:58,+35:58,2010,8
61,Elmiger Martin,31,AG2R La Mondiale,,5.0,61,+36:40,36:40 36:40,+36:40,2010,8
62,Ulissi Diego,20,Lampre - Farnese Vini,,5.0,62,+38:35,38:35 38:35,+38:35,2010,8
63,Urtasun Pablo,30,Euskaltel - Euskadi,,5.0,63,+41:01,41:01 41:01,+41:01,2010,8
