Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
24,,71,38.0,+3:18,,Bouhanni Nacer,43,"Cofidis, Solutions Cr\xe9dits",",, 3:08",,2,2015
25,,146,76.0,+9:02,,Oliveira Nelson,44,Lampre - Merida,",, 3:08",,2,2015
24,,72,41.0,+3:18,,Ahlstrand Jonas,45,"Cofidis, Solutions Cr\xe9dits",",, 3:08",,2,2015
29,,55,36.0,+3:08,,Rojas Jos\xe9 Joaqu\xedn,46,Movistar Team,",, 3:08",,2,2015
25,,26,45.0,+3:18,,Juul-Jensen Christopher,47,Tinkoff - Saxo,",, 3:08",,2,2015
30,,7,47.0,+3:18,,Vandenbergh Stijn,48,Etixx - Quick Step,",, 3:08",,2,2015
26,,15,53.0,+3:51,,Sinkeldam Ramon,49,Team Giant - Alpecin,",, 3:08",,2,2015
30,,23,44.0,+3:18,,Breschel Matti,50,Tinkoff - Saxo,",, 3:08",,2,2015
25,,121,55.0,+3:51,,Wallays Jelle,51,Topsport Vlaanderen - Baloise,",, 3:08",,2,2015
29,,27,56.0,+4:33,,M\xf8rk\xf8v Michael,52,Tinkoff - Saxo,",, 3:08",,2,2015
35,,115,54.0,+3:51,,Fischer Murilo Antonio,53,FDJ,",, 3:08",,2,2015
34,,92,46.0,+3:18,,Bozic Borut,54,Astana Pro Team,",, 3:08",,2,2015
30,,116,43.0,+3:18,,Ladagnous Matthieu,55,FDJ,",, 3:08",,2,2015
27,,128,52.0,+3:51,,Vanspeybrouck Pieter,56,Topsport Vlaanderen - Baloise,",, 3:08",,2,2015
27,,37,48.0,+3:18,,van Poppel Boy,57,Trek Factory Racing,",, 3:08",,2,2015
28,,44,40.0,+3:18,,Drucker Jean-Pierre,58,BMC Racing Team,",, 3:08",,2,2015
30,,65,58.0,+4:34,,Kozonchuk Dmitry,59,Team Katusha,",, 3:08",,2,2015
31,,82,60.0,+7:05,,Bos Theo,60,MTN - Qhubeka,6:55 6:55,,2,2015
23,,111,59.0,+7:01,,D\xe9mare Arnaud,61,FDJ,",, 6:55",,2,2015
32,,112,68.0,+7:38,,Bonnet William,62,FDJ,",, 6:55",,2,2015
35,,32,67.0,+7:38,,Irizar Markel,63,Trek Factory Racing,",, 6:55",,2,2015
25,,134,61.0,+7:05,,Howard Leigh,64,Orica GreenEDGE,",, 6:55",,2,2015
33,,24,72.0,+8:21,,Brutt Pavel,65,Tinkoff - Saxo,",, 6:55",,2,2015
35,,136,70.0,+7:38,,Lancaster Brett,66,Orica GreenEDGE,",, 6:55",,2,2015
28,,95,71.0,+7:38,,Gruzdev Dmitriy,67,Astana Pro Team,",, 6:55",,2,2015
24,,152,62.0,+7:05,,Aregger Marcel,68,IAM Cycling,",, 6:55",,2,2015
31,,53,69.0,+7:38,,Erviti Imanol,69,Movistar Team,",, 6:55",,2,2015
32,,58,66.0,+7:38,,Ventoso Francisco,70,Movistar Team,",, 6:55",,2,2015
29,,16,81.0,+9:34,,Stamsnijder Tom,71,Team Giant - Alpecin,",, 6:55",,2,2015
25,,56,73.0,+8:21,,Sanz Enrique,72,Movistar Team,",, 6:55",,2,2015
29,,155,74.0,+8:21,,Hollenstein Reto,73,IAM Cycling,",, 6:55",,2,2015
27,,68,65.0,+7:30,,Smukulis Gatis,74,Team Katusha,",, 6:55",,2,2015
34,,147,80.0,+9:34,,Plaza Rub\xe9n,75,Lampre - Merida,",, 6:55",,2,2015
27,,163,75.0,+8:21,,Dempster Zakkari,76,Bora - Argon 18,",, 6:55",,2,2015
23,,64,64.0,+7:05,,Haller Marco,77,Team Katusha,",, 6:55",,2,2015
27,,63,63.0,+7:05,,Guarnieri Jacopo,78,Team Katusha,",, 6:55",,2,2015
24,,75,109.0,+10:59,,Petit Adrien,79,"Cofidis, Solutions Cr\xe9dits",",, 6:55",,2,2015
28,,45,100.0,+10:44,,Hermans Ben,80,BMC Racing Team,9:18 9:18,,2,2015
33,,103,110.0,+11:57,,Knees Christian,81,Team Sky,",, 9:18",,2,2015
21,,48,84.0,+10:01,,Zabel Rick,82,BMC Racing Team,",, 9:18",,2,2015
30,,107,86.0,+10:01,,Sutton Chris,83,Team Sky,",, 9:18",,2,2015
27,,81,83.0,+9:53,,Boasson Hagen Edvald,84,MTN - Qhubeka,",, 9:18",,2,2015
25,,84,78.0,+9:28,,Reguigui Youcef,85,MTN - Qhubeka,",, 9:18",,2,2015
24,,175,98.0,+10:44,,Ruffoni Nicola,86,Bardiani - CSF Pro Team,",, 9:18",,2,2015
25,,153,89.0,+10:01,,Br\xe4ndle Matthias,87,IAM Cycling,",, 9:18",,2,2015
33,,141,96.0,+10:11,,Pozzato Filippo,88,Lampre - Merida,",, 9:18",,2,2015
28,,52,85.0,+10:01,,Amador Andrey,89,Movistar Team,",, 9:18",,2,2015
29,,143,99.0,+10:44,,Costa M\xe1rio,90,Lampre - Merida,",, 9:18",,2,2015
29,,8,88.0,+10:01,,Velits Martin,91,Etixx - Quick Step,",, 9:18",,2,2015
29,,47,92.0,+10:01,,Velits Peter,92,BMC Racing Team,",, 9:18",,2,2015
21,,38,105.0,+10:44,,van Poppel Danny,93,Trek Factory Racing,",, 9:18",,2,2015
33,,31,79.0,+9:28,,Cancellara Fabian,94,Trek Factory Racing,",, 9:18",,2,2015
39,,54,90.0,+10:01,,Lastras Pablo,95,Movistar Team,",, 9:18",,2,2015
24,,14,102.0,+10:44,,Preidler Georg,96,Team Giant - Alpecin,",, 9:18",,2,2015
24,,86,111.0,+11:57,,Van Zyl Johann,97,MTN - Qhubeka,",, 9:18",,2,2015
26,,11,87.0,+10:01,,Kittel Marcel,98,Team Giant - Alpecin,",, 9:18",,2,2015
29,,17,112.0,+11:57,,Timmer Albert,99,Team Giant - Alpecin,",, 9:18",,2,2015
26,,78,82.0,+9:41,,Soupe Geoffrey,100,"Cofidis, Solutions Cr\xe9dits",",, 9:18",,2,2015
32,,3,93.0,+10:01,,Keisse Iljo,101,Etixx - Quick Step,",, 9:18",,2,2015
28,,158,106.0,+10:44,,van Genechten Jonas,102,IAM Cycling,",, 9:18",,2,2015
26,,93,104.0,+10:44,,de Vreese Laurens,103,Astana Pro Team,",, 9:18",,2,2015
28,,83,103.0,+10:44,,Ciolek Gerald,104,MTN - Qhubeka,",, 9:18",,2,2015
35,,104,113.0,+11:57,,Pate Danny,105,Team Sky,",, 9:18",,2,2015
37,,138,101.0,+10:44,,Tuft Svein,106,Orica GreenEDGE,",, 9:18",,2,2015
28,,168,97.0,+10:12,,Voss Paul,107,Bora - Argon 18,",, 9:18",,2,2015
22,,57,91.0,+10:01,,S\xfctterlin Jasha,108,Movistar Team,",, 9:18",,2,2015
34,,101,94.0,+10:01,,Wiggins Bradley,109,Team Sky,",, 9:18",,2,2015
23,,122,108.0,+10:44,,Campenaerts Victor,110,Topsport Vlaanderen - Baloise,",, 9:18",,2,2015
31,,144,77.0,+9:27,,Ferrari Roberto,111,Lampre - Merida,",, 9:18",,2,2015
31,,142,115.0,+11:57,,Bono Matteo,112,Lampre - Merida,",, 9:18",,2,2015
27,,145,95.0,+10:01,,Modolo Sacha,113,Lampre - Merida,",, 9:18",,2,2015
25,,172,114.0,+11:57,,Boem Nicola,114,Bardiani - CSF Pro Team,",, 9:18",,2,2015
32,,125,107.0,+10:44,,Van Hecke Preben,115,Topsport Vlaanderen - Baloise,",, 9:18",,2,2015
