Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
134,105,Chainel Steve,29,AG2R La Mondiale,,,72.0,+8:25,",, 4:57",2013,4
135,13,Hayman Mathew,34,Sky Procycling,,,8.0,+0:14,0:00 0:00,2013,4
136,17,Sutton Chris,28,Sky Procycling,,,139.0,+23:36,5:01 5:01,2013,4
137,95,De Marchi Alessandro,26,Cannondale Pro Cycling Team,,,137.0,+22:14,5:06 5:06,2013,4
138,93,Boivin Guillaume,23,Cannondale Pro Cycling Team,,,123.0,+19:07,0:00 0:00,2013,4
139,84,de Kort Koen,30,Team Argos - Shimano,,,32.0,+0:42,",, 0:00",2013,4
1,1,Cavendish Mark,27,Omega Pharma - Quick-Step,20.0,30.0,1.0,+0:00,3:11:11 3:11:11,2013,5
2,101,Hutarovich Yauheni,29,AG2R La Mondiale,14.0,18.0,58.0,+3:04,",, ,,",2013,5
3,111,Kruopis Aidis,26,Orica GreenEDGE,8.0,12.0,15.0,+0:40,",, ,,",2013,5
4,32,Blythe Adam,23,BMC Racing Team,7.0,7.0,4.0,+0:22,",, ,,",2013,5
5,15,Rowe Luke,22,Sky Procycling,6.0,4.0,9.0,+0:30,",, ,,",2013,5
6,81,Degenkolb John,24,Team Argos - Shimano,5.0,3.0,27.0,+0:53,",, ,,",2013,5
7,141,Kristoff Alexander,25,Team Katusha,4.0,2.0,14.0,+0:38,",, ,,",2013,5
8,41,Bouhanni Nacer,22,FDJ.fr,2.0,1.0,82.0,+17:10,",, ,,",2013,5
9,71,Haussler Heinrich,28,IAM Cycling,,,35.0,+1:02,",, ,,",2013,5
10,131,Kluge Roger,27,Team NetApp \u2013 Endura,,,33.0,+0:58,",, ,,",2013,5
11,102,Appollonio Davide,23,AG2R La Mondiale,,,76.0,+17:00,",, ,,",2013,5
12,167,Fortin Filippo,24,Bardiani Valvole - CSF Inox,,,85.0,+17:26,",, ,,",2013,5
13,163,Colbrelli Sonny,22,Bardiani Valvole - CSF Inox,,,87.0,+17:49,",, ,,",2013,5
14,91,Viviani Elia,24,Cannondale Pro Cycling Team,,,23.0,+0:49,",, ,,",2013,5
15,135,Jarc Bla\u017e,24,Team NetApp \u2013 Endura,,,75.0,+17:00,",, ,,",2013,5
16,53,Cantwell Jonathan,31,Team Saxo - Tinkoff,,,125.0,+20:10,",, ,,",2013,5
17,23,Gallopin Tony,24,RadioShack - Leopard,,,13.0,+0:36,",, ,,",2013,5
18,116,Keukeleire Jens,24,Orica GreenEDGE,,,21.0,+0:48,",, ,,",2013,5
19,4,Terpstra Niki,28,Omega Pharma - Quick-Step,,,11.0,+0:35,",, ,,",2013,5
20,121,Flecha Juan Antonio,35,Vacansoleil - DCM,,,39.0,+1:16,",, ,,",2013,5
21,37,Van Avermaet Greg,27,BMC Racing Team,,,6.0,+0:25,",, ,,",2013,5
22,12,Eisel Bernhard,31,Sky Procycling,,,5.0,+0:24,",, ,,",2013,5
23,65,Guarnieri Jacopo,25,Astana Pro Team,,,18.0,+0:42,",, ,,",2013,5
24,114,Cooke Baden,34,Orica GreenEDGE,,,20.0,+0:48,",, ,,",2013,5
25,85,Mezgec Luka,24,Team Argos - Shimano,,,84.0,+17:24,",, ,,",2013,5
26,61,Guardini Andrea,23,Astana Pro Team,,,72.0,+16:57,",, ,,",2013,5
27,47,Rollin Dominique,30,FDJ.fr,,,29.0,+0:54,",, ,,",2013,5
28,128,van Hummel Kenny,30,Vacansoleil - DCM,,,44.0,+1:36,",, ,,",2013,5
29,162,Canola Marco,24,Bardiani Valvole - CSF Inox,,,86.0,+17:26,",, ,,",2013,5
30,88,Veelers Tom,28,Team Argos - Shimano,,,30.0,+0:55,",, ,,",2013,5
31,33,Bookwalter Brent,28,BMC Racing Team,,,2.0,+0:15,",, ,,",2013,5
32,78,Lang Pirmin,28,IAM Cycling,,,65.0,+5:11,",, ,,",2013,5
33,107,Iglinskiy Valentin,28,AG2R La Mondiale,,,103.0,+18:29,",, ,,",2013,5
34,46,Offredo Yoann,26,FDJ.fr,,,31.0,+0:57,",, ,,",2013,5
35,43,Fischer Murilo Antonio,33,FDJ.fr,,,48.0,+2:00,",, ,,",2013,5
36,98,Sabatini Fabio,27,Cannondale Pro Cycling Team,,,83.0,+17:21,",, ,,",2013,5
37,76,Hinault S\xe9bastien,38,IAM Cycling,,,55.0,+2:35,",, ,,",2013,5
38,31,Phinney Taylor,22,BMC Racing Team,,,3.0,+0:20,",, ,,",2013,5
