Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
29,37,+3:02,58.0,Sieberg Marcel,37,Lotto Belisol Team,3:02 3:02,+1:07,,\u25b221,4,2012
35,38,+3:02,60.0,Henderson Gregory,38,Lotto Belisol Team,",, 3:02",+1:07,,\u25b222,4,2012
20,39,+3:08,67.0,D\xe9mare Arnaud,39,FDJ - BigMat,3:08 3:08,+1:07,,\u25b228,4,2012
29,40,+3:08,65.0,Rollin Dominique,40,FDJ - BigMat,",, 3:08",+1:07,,\u25b225,4,2012
29,41,+3:09,71.0,de Kort Koen,41,Argos - Shimano,3:09 3:09,+1:07,,\u25b230,4,2012
26,42,+3:11,62.0,Leezer Tom,42,Rabobank Cycling Team,3:11 3:11,+1:16,,\u25b220,4,2012
30,43,+3:16,77.0,Pozzato Filippo,43,Farnese Vini-Neri-Sottoli,3:16 3:16,+1:07,,\u25b234,4,2012
39,44,+3:19,79.0,McEwen Robbie,44,Orica GreenEDGE,3:19 3:19,+1:07,,\u25b235,4,2012
26,45,+3:20,73.0,Timmer Albert,45,Argos - Shimano,3:20 3:20,+1:18,,\u25b228,4,2012
25,46,+3:27,95.0,Maes Nikolas,46,Omega Pharma - Quick-Step,3:27 3:27,+0:24,,\u25b249,4,2012
34,47,+3:29,6.0,Hunter Robert,47,Team Garmin - Barracuda,3:29 3:29,+3:17,,\u25bc41,4,2012
32,48,+3:36,36.0,Fischer Murilo Antonio,48,Team Garmin - Barracuda,3:36 3:36,+1:58,,\u25bc12,4,2012
22,49,+3:43,37.0,Appollonio Davide,49,Sky Procycling,3:43 3:43,+1:58,,\u25bc12,4,2012
20,50,+3:43,39.0,Haller Marco,50,Team Katusha,",, 3:43",+1:58,,\u25bc11,4,2012
26,51,+3:43,40.0,Brammeier Matthew,51,Omega Pharma - Quick-Step,",, 3:43",+1:58,,\u25bc11,4,2012
24,52,+3:45,44.0,Kristoff Alexander,52,Team Katusha,3:45 3:45,+1:58,,\u25bc8,4,2012
22,53,+3:45,43.0,Sagan Peter,53,Liquigas - Cannondale,",, 3:45",+1:58,,\u25bc10,4,2012
