Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
29,208,114.0,+3:20:46,20.0,,Vande Velde Christian,114,CSC ProTeam,3:20:46 3:20:46,+200:46,-,20,2005
28,217,115.0,+3:21:05,20.0,,Schmitz Bram,115,T-Mobile Team,3:21:05 3:21:05,+201:05,-,20,2005
30,46,116.0,+3:22:50,20.0,,Scarselli Leonardo,116,Colombia - Selle Italia,3:22:50 3:22:50,+202:50,-,20,2005
31,39,117.0,+3:22:58,20.0,,White Matthew,117,Cofidis,3:22:58 3:22:58,+202:58,-,20,2005
26,124,118.0,+3:23:21,20.0,,Moletta Andrea,118,Gerolsteiner,3:23:21 3:23:21,+203:21,-,20,2005
32,104,119.0,+3:27:30,20.0,,Codol Massimo,119,Fassa Bortolo,3:27:30 3:27:30,+207:30,-,20,2005
25,164,120.0,+3:29:50,20.0,,Rast Gregory,120,Phonak Hearing Systems,3:29:50 3:29:50,+209:50,-,20,2005
29,175,121.0,+3:30:31,20.0,,Garrido Jos\xe9 Antonio,121,Quickstep - Innergetic,3:30:31 3:30:31,+210:31,-,20,2005
31,108,122.0,+3:30:54,20.0,,Tosatto Matteo,122,Fassa Bortolo,3:30:54 3:30:54,+210:54,-,20,2005
25,58,123.0,+3:32:51,20.0,,Wiggins Bradley,123,Cr\xe9dit Agricole,3:32:51 3:32:51,+212:51,-,20,2005
35,157,124.0,+3:33:23,20.0,,Milesi Marco,124,Liquigas,3:33:23 3:33:23,+213:23,-,20,2005
31,35,125.0,+3:34:09,20.0,,Marichal Thierry,125,Cofidis,3:34:09 3:34:09,+214:09,-,20,2005
31,139,126.0,+3:34:09,20.0,,Tauler Toni,126,Illes Balears - Caisse d'Epargne,",, 3:34:09",+214:09,-,20,2005
36,172,127.0,+3:34:42,20.0,,Bramati Davide,127,Quickstep - Innergetic,3:34:42 3:34:42,+214:42,-,20,2005
25,211,128.0,+3:35:39,20.0,,Baumann Eric,128,T-Mobile Team,3:35:39 3:35:39,+215:39,-,20,2005
33,74,129.0,+3:36:36,20.0,,Cruz Antonio,129,Discovery Channel,3:36:36 3:36:36,+216:36,-,20,2005
36,102,130.0,+3:36:40,20.0,,Baldato Fabio,130,Fassa Bortolo,3:36:40 3:36:40,+216:40,-,20,2005
30,133,131.0,+3:38:04,20.0,,G\xe1lvez Isaac,131,Illes Balears - Caisse d'Epargne,3:38:04 3:38:04,+218:04,-,20,2005
22,127,132.0,+3:39:26,20.0,,Krauss Sven,132,Gerolsteiner,3:39:26 3:39:26,+219:26,-,20,2005
27,162,133.0,+3:41:04,20.0,,Gutierrez Ignacio,133,Phonak Hearing Systems,3:41:04 3:41:04,+221:04,-,20,2005
31,18,134.0,+3:41:15,20.0,,Renier Franck,134,Bouygues Telecom,3:41:15 3:41:15,+221:15,-,20,2005
24,186,135.0,+3:41:54,20.0,,Sentjens Roy,135,Rabobank ProTeam,3:41:54 3:41:54,+221:54,-,20,2005
31,69,136.0,+3:42:24,20.0,,Vogels Henk,136,Davitamon - Lotto,3:42:24 3:42:24,+222:24,-,20,2005
27,121,137.0,+3:43:01,20.0,,F\xf6rster Robert,137,Gerolsteiner,3:43:01 3:43:01,+223:01,-,20,2005
31,78,138.0,+3:44:22,20.0,,McCartney Jason,138,Discovery Channel,3:44:22 3:44:22,+224:22,-,20,2005
24,167,139.0,+3:44:35,20.0,,Urweider Sascha,139,Phonak Hearing Systems,3:44:35 3:44:35,+224:35,-,20,2005
23,209,140.0,+3:44:52,20.0,,Vandborg Brian,140,CSC ProTeam,3:44:52 3:44:52,+224:52,-,20,2005
24,17,141.0,+3:45:29,20.0,,Martias Rony,141,Bouygues Telecom,3:45:29 3:45:29,+225:29,-,20,2005
21,173,142.0,+3:46:06,20.0,,Christensen Mads,142,Quickstep - Innergetic,3:46:06 3:46:06,+226:06,-,20,2005
23,25,143.0,+3:48:26,20.0,,Grillo Paride,143,Ceramica Panaria - Navigare,3:48:26 3:48:26,+228:26,-,20,2005
22,116,144.0,+3:49:32,20.0,,Renshaw Mark,144,Fran\xe7aise des Jeux,3:49:32 3:49:32,+229:32,-,20,2005
32,91,145.0,+3:50:01,20.0,,Etxebarria Unai,145,Euskaltel - Euskadi,3:50:01 3:50:01,+230:01,-,20,2005
27,119,146.0,+3:50:51,20.0,,Wilson Matthew,146,Fran\xe7aise des Jeux,3:50:51 3:50:51,+230:51,-,20,2005
22,14,147.0,+3:53:13,20.0,,Claude Mathieu,147,Bouygues Telecom,3:53:13 3:53:13,+233:13,-,20,2005
34,3,148.0,+3:57:20,20.0,,Fornaciari Paolo,148,Lampre-Caffita,3:57:20 3:57:20,+237:20,-,20,2005
27,47,149.0,+3:57:37,20.0,,Schnyder Philippe,149,Colombia - Selle Italia,3:57:37 3:57:37,+237:37,-,20,2005
25,161,150.0,+3:59:09,20.0,,Clerc Aur\xe9lien,150,Phonak Hearing Systems,3:59:09 3:59:09,+239:09,-,20,2005
26,49,151.0,+4:02:55,20.0,,Wilson Trent,151,Colombia - Selle Italia,4:02:55 4:02:55,+242:55,-,20,2005
32,123,152.0,+4:04:03,20.0,,H\xf8j Frank,152,Gerolsteiner,4:04:03 4:04:03,+244:03,-,20,2005
28,48,153.0,+4:26:54,20.0,,van Hout Russell,153,Colombia - Selle Italia,4:26:54 4:26:54,+266:54,-,20,2005
