Rnk,BIB,Rider,Age,Team,UCI,Pnt,Avg,GC,GC-Time,Time,year,stage
21,158,Felline Fabio,22,Androni Giocattoli - Venezuela,,,48.36600000000001,50,+1:58:26,1:53 1:53,2012,20
22,219,Navardauskas Ramunas,24,Team Garmin - Barracuda,,,48.343,137,+4:25:05,1:54 1:54,2012,20
23,205,Nizzolo Giacomo,23,RadioShack - Nissan,,,48.343,130,+4:20:01,",, 1:54",2012,20
24,66,Scarponi Michele,32,Lampre - ISD,,,48.343,4,+2:05,",, 1:54",2012,20
25,199,Casar Sandy,33,FDJ - BigMat,,,48.32,25,+49:57,1:55 1:55,2012,20
26,36,Rodr\xedguez Joaquim,33,Team Katusha,,,48.297,2,+0:16,1:56 1:56,2012,20
27,119,Montaguti Matteo,28,AG2R La Mondiale,,,48.181999999999995,81,+3:02:52,2:01 2:01,2012,20
28,126,Basso Ivan,34,Liquigas - Cannondale,,,48.068000000000005,5,+3:44,2:06 2:06,2012,20
29,187,Slagter Tom-Jelte,22,Rabobank Cycling Team,,,48.023,30,+57:21,2:08 2:08,2012,20
30,102,Henao Sergio Luis,24,Sky Procycling,,,47.977,9,+7:50,2:10 2:10,2012,20
31,103,Flecha Juan Antonio,34,Sky Procycling,,,47.955,36,+1:25:04,2:11 2:11,2012,20
32,213,Bauer Jack,27,Team Garmin - Barracuda,,,47.931999999999995,114,+3:50:27,2:12 2:12,2012,20
33,35,Smukulis Gatis,25,Team Katusha,,,47.931999999999995,84,+3:05:20,",, 2:12",2012,20
34,189,Clement Stef,29,Rabobank Cycling Team,,,47.909,71,+2:45:03,2:13 2:13,2012,20
35,78,Kangert Tanel,25,Astana Pro Team,,,47.909,26,+50:49,",, 2:13",2012,20
36,146,Ballan Alessandro,32,BMC Racing Team,,,47.818999999999996,103,+3:29:12,2:17 2:17,2012,20
37,75,Dyachenko Alexandr,28,Astana Pro Team,,,47.773999999999994,119,+4:06:44,2:19 2:19,2012,20
38,169,Bak Lars Ytting,32,Lotto Belisol Team,,,47.729,72,+2:52:12,2:21 2:21,2012,20
39,7,Pozzovivo Domenico,29,Colnago CSF Bardiani,,,47.729,8,+6:28,",, 2:21",2012,20
40,46,Lagutin Sergey,31,Vacansoleil - DCM,,,47.64,32,+1:10:35,2:25 2:25,2012,20
41,99,Boaro Manuele,25,Team Saxo Bank - Tinkoff Bank,,,47.617,131,+4:20:09,2:26 2:26,2012,20
42,185,Niermann Grischa,36,Rabobank Cycling Team,,,47.617,55,+2:19:29,",, 2:26",2012,20
43,129,Capecchi Eros,25,Liquigas - Cannondale,,,47.617,37,+1:26:08,",, 2:26",2012,20
44,125,Sabatini Fabio,27,Liquigas - Cannondale,,,47.55,79,+2:59:14,2:29 2:29,2012,20
45,85,Intxausti Be\xf1at,26,Movistar Team,,,47.528,38,+1:26:42,2:30 2:30,2012,20
46,17,Huzarski Bartosz,31,Team Netapp,,,47.506,70,+2:42:39,2:31 2:31,2012,20
47,4,Brambilla Gianluca,24,Colnago CSF Bardiani,,,47.483999999999995,13,+14:20,2:32 2:32,2012,20
48,116,Gastauer Ben,24,AG2R La Mondiale,,,47.461000000000006,67,+2:37:24,2:33 2:33,2012,20
49,61,Cunego Damiano,30,Lampre - ISD,,,47.373000000000005,6,+4:40,2:37 2:37,2012,20
50,83,Amador Andrey,25,Movistar Team,,,47.263000000000005,29,+54:40,2:42 2:42,2012,20
51,168,De Clercq Bart,25,Lotto Belisol Team,,,47.24100000000001,40,+1:33:36,2:43 2:43,2012,20
52,202,Hermans Ben,25,RadioShack - Nissan,,,47.196999999999996,73,+2:53:41,2:45 2:45,2012,20
53,105,Uran Rigoberto,25,Sky Procycling,,,47.196999999999996,7,+5:57,",, 2:45",2012,20
54,107,Cavendish Mark,27,Sky Procycling,,,47.175,145,+4:46:19,2:46 2:46,2012,20
55,71,Petrov Evgeni,34,Astana Pro Team,,,47.175,61,+2:30:19,",, 2:46",2012,20
56,49,Keizer Martijn,24,Vacansoleil - DCM,,,47.153,126,+4:15:04,2:47 2:47,2012,20
57,86,Bruseghin Marzio,37,Movistar Team,,,47.153,17,+25:39,",, 2:47",2012,20
58,159,De Marchi Alessandro,26,Androni Giocattoli - Venezuela,,,47.108999999999995,98,+3:23:34,2:49 2:49,2012,20
59,6,Modolo Sacha,24,Colnago CSF Bardiani,,,47.0,138,+4:25:48,2:54 2:54,2012,20
60,9,Coledan Marco,23,Colnago CSF Bardiani,,,46.957,153,+5:02:46,2:56 2:56,2012,20
61,3,Pirazzi Stefano,25,Colnago CSF Bardiani,,,46.935,46,+1:40:57,2:57 2:57,2012,20
62,68,Ulissi Diego,22,Lampre - ISD,,,46.913000000000004,21,+37:17,2:58 2:58,2012,20
63,15,B\xe1rta Jan,27,Team Netapp,,,46.87,65,+2:34:27,3:00 3:00,2012,20
64,87,Samoilau Branislau,27,Movistar Team,,,46.87,43,+1:38:40,",, 3:00",2012,20
65,79,Tiralongo Paolo,34,Astana Pro Team,,,46.848,23,+41:36,3:01 3:01,2012,20
66,197,Veikkanen Jussi,31,FDJ - BigMat,,,46.827,146,+4:48:33,3:02 3:02,2012,20
67,45,Denifl Stefan,24,Vacansoleil - DCM,,,46.783,75,+2:56:07,3:04 3:04,2012,20
68,163,Hansen Adam,31,Lotto Belisol Team,,,46.762,94,+3:14:30,3:05 3:05,2012,20
69,198,Soupe Geoffrey,24,FDJ - BigMat,,,46.718999999999994,76,+2:58:19,3:07 3:07,2012,20
70,165,de Greef Francis,27,Lotto Belisol Team,,,46.718999999999994,19,+35:00,",, 3:07",2012,20
71,22,Beppu Fumiyuki,29,Orica GreenEDGE,,,46.696999999999996,121,+4:06:56,3:08 3:08,2012,20
72,42,Carrara Matteo,33,Vacansoleil - DCM,,,46.611999999999995,96,+3:19:18,3:12 3:12,2012,20
73,174,Izagirre Ion,23,Euskaltel - Euskadi,,,46.59,48,+1:48:54,3:13 3:13,2012,20
74,115,Gazvoda Gregor,30,AG2R La Mondiale,,,46.547,134,+4:21:48,3:15 3:15,2012,20
75,98,Roberts Luke,35,Team Saxo Bank - Tinkoff Bank,,,46.547,115,+3:59:26,",, 3:15",2012,20
76,121,Longo Borghini Paolo,31,Liquigas - Cannondale,,,46.505,108,+3:41:36,3:17 3:17,2012,20
77,207,Rohregger Thomas,29,RadioShack - Nissan,,,46.505,31,+1:05:43,",, 3:17",2012,20
