Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
34,9,8.0,12.0,Visconti Giovanni,15,Bahrain Merida Pro Cycling Team,,\u25bc3,9,2017
35,92,7.0,13.0,Brutt Pavel,16,Gazprom-RusVelo,,\u25bc3,9,2017
25,68,7.0,14.0,Villella Davide,17,Cannondale-Drapac Pro Cycling Team,,\u25bc3,9,2017
32,1,6.0,,Nibali Vincenzo,18,Bahrain Merida Pro Cycling Team,,-,9,2017
32,22,6.0,15.0,Cataldo Dario,19,Astana Pro Team,,\u25bc4,9,2017
30,61,6.0,16.0,Rolland Pierre,20,Cannondale-Drapac Pro Cycling Team,,\u25bc4,9,2017
26,43,6.0,17.0,Dillier Silvan,21,BMC Racing Team,,\u25bc4,9,2017
27,219,6.0,18.0,Zhupa Eugert,22,Wilier Triestina - Selle Italia,,\u25bc4,9,2017
25,98,6.0,19.0,Shalunov Evgeny,23,Gazprom-RusVelo,,\u25bc4,9,2017
34,11,4.0,,Pozzovivo Domenico,24,AG2R La Mondiale,,-,9,2017
32,194,4.0,21.0,Didier Laurent,25,Trek - Segafredo,,\u25bc4,9,2017
26,192,4.0,22.0,Alafaci Eugenio,26,Trek - Segafredo,,\u25bc4,9,2017
30,75,3.0,23.0,Paterski Maciej,27,CCC Sprandi Polkowice,,\u25bc4,9,2017
27,79,3.0,24.0,Tratnik Jan,28,CCC Sprandi Polkowice,,\u25bc4,9,2017
25,214,3.0,25.0,Fonzi Giuseppe,29,Wilier Triestina - Selle Italia,,\u25bc4,9,2017
29,96,3.0,26.0,Rovny Ivan,30,Gazprom-RusVelo,,\u25bc4,9,2017
24,131,2.0,27.0,Jungels Bob,31,Quick-Step Floors,,\u25bc4,9,2017
30,26,2.0,,Kangert Tanel,32,Astana Pro Team,,-,9,2017
24,202,2.0,28.0,Conti Valerio,33,UAE Team Emirates,,\u25bc5,9,2017
33,19,2.0,29.0,Montaguti Matteo,34,AG2R La Mondiale,,\u25bc5,9,2017
25,199,2.0,30.0,Stuyven Jasper,35,Trek - Segafredo,,\u25bc5,9,2017
33,94,2.0,31.0,Kozonchuk Dmitry,36,Gazprom-RusVelo,,\u25bc5,9,2017
24,121,1.0,32.0,Yates Adam,37,ORICA-Scott,,\u25bc5,9,2017
30,3,1.0,33.0,Boaro Manuele,38,Bahrain Merida Pro Cycling Team,,\u25bc5,9,2017
31,77,1.0,34.0,Samoilau Branislau,39,CCC Sprandi Polkowice,,\u25bc5,9,2017
26,215,1.0,35.0,Koshevoy Ilia,40,Wilier Triestina - Selle Italia,,\u25bc5,9,2017
33,72,1.0,36.0,Bialoblocki Marcin,41,CCC Sprandi Polkowice,,\u25bc5,9,2017
25,209,44.0,1.0,Polanc Jan,1,UAE Team Emirates,,-,10,2017
27,111,35.0,2.0,Quintana Nairo,2,Movistar Team,,-,10,2017
26,81,27.0,3.0,Pinot Thibaut,3,FDJ,,-,10,2017
28,148,23.0,4.0,Teklehaimanot Daniel,4,Team Dimension Data,,-,10,2017
27,151,19.0,5.0,Zakarin Ilnur,5,Team Katusha - Alpecin,,-,10,2017
33,27,18.0,6.0,Sanchez Luis Leon,6,Astana Pro Team,,-,10,2017
26,181,16.0,7.0,Dumoulin Tom,7,Team Sunweb,,-,10,2017
29,146,15.0,8.0,Janse van Rensburg Jacques,8,Team Dimension Data,,-,10,2017
23,33,15.0,9.0,Andreetta Simone,9,Bardiani - CSF,,-,10,2017
30,179,12.0,10.0,Thomas Geraint,10,Team Sky,,-,10,2017
29,52,9.0,11.0,Benedetti Cesare,11,BORA - hansgrohe,,-,10,2017
30,191,9.0,12.0,Mollema Bauke,12,Trek - Segafredo,,-,10,2017
26,144,9.0,13.0,Fraile Omar,13,Team Dimension Data,,-,10,2017
25,58,8.0,14.0,P\xf6stlberger Lukas,14,BORA - hansgrohe,,-,10,2017
34,9,8.0,15.0,Visconti Giovanni,15,Bahrain Merida Pro Cycling Team,,-,10,2017
35,92,7.0,16.0,Brutt Pavel,16,Gazprom-RusVelo,,-,10,2017
25,68,7.0,17.0,Villella Davide,17,Cannondale-Drapac Pro Cycling Team,,-,10,2017
32,1,6.0,18.0,Nibali Vincenzo,18,Bahrain Merida Pro Cycling Team,,-,10,2017
32,22,6.0,19.0,Cataldo Dario,19,Astana Pro Team,,-,10,2017
30,61,6.0,20.0,Rolland Pierre,20,Cannondale-Drapac Pro Cycling Team,,-,10,2017
26,43,6.0,21.0,Dillier Silvan,21,BMC Racing Team,,-,10,2017
27,219,6.0,22.0,Zhupa Eugert,22,Wilier Triestina - Selle Italia,,-,10,2017
25,98,6.0,23.0,Shalunov Evgeny,23,Gazprom-RusVelo,,-,10,2017
34,11,4.0,24.0,Pozzovivo Domenico,24,AG2R La Mondiale,,-,10,2017
32,194,4.0,25.0,Didier Laurent,25,Trek - Segafredo,,-,10,2017
26,192,4.0,26.0,Alafaci Eugenio,26,Trek - Segafredo,,-,10,2017
