Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
29,52,6.0,36.0,Bole Grega,42,CCC Sprandi Polkowice,\u25bc6,6,2015
30,157,6.0,,Marangoni Alan,43,Team Cannondale - Garmin,-,6,2015
25,24,5.0,35.0,Landa Mikel,44,Astana Pro Team,\u25bc9,6,2015
38,171,5.0,37.0,Paolini Luca,45,Team Katusha,\u25bc8,6,2015
30,146,4.0,38.0,Gavazzi Francesco,46,Southeast,\u25bc8,6,2015
24,46,4.0,41.0,Dillier Silvan,47,BMC Racing Team,\u25bc6,6,2015
29,176,4.0,52.0,Porsev Alexander,48,Team Katusha,\u25b24,6,2015
26,77,4.0,,R\xe9za K\xe9vin,49,FDJ,-,6,2015
29,205,3.0,39.0,Kreuziger Roman,50,Tinkoff - Saxo,\u25bc11,6,2015
31,177,3.0,40.0,Trofimov Yuri,51,Team Katusha,\u25bc11,6,2015
25,33,3.0,42.0,Battaglin Enrico,52,Bardiani - CSF Pro Team,\u25bc10,6,2015
27,45,2.0,43.0,Caruso Damiano,53,BMC Racing Team,\u25bc10,6,2015
31,8,2.0,44.0,Montaguti Matteo,54,AG2R La Mondiale,\u25bc10,6,2015
31,27,2.0,45.0,Sanchez Luis Leon,55,Astana Pro Team,\u25bc10,6,2015
26,166,2.0,47.0,Haga Chad,56,Team Giant - Alpecin,\u25bc9,6,2015
26,117,2.0,,Lobato Juan Jos\xe9,57,Movistar Team,-,6,2015
30,54,2.0,46.0,Matysiak Bart\u0142omiej,58,CCC Sprandi Polkowice,\u25bc12,6,2015
27,217,2.0,48.0,van Poppel Boy,59,Trek Factory Racing,\u25bc11,6,2015
28,112,1.0,49.0,Amador Andrey,60,Movistar Team,\u25bc11,6,2015
27,42,1.0,50.0,Atapuma John Darwin,61,BMC Racing Team,\u25bc11,6,2015
34,192,1.0,,Eisel Bernhard,62,Team Sky,-,6,2015
26,199,78.0,2.0,Viviani Elia,1,Team Sky,\u25b21,7,2015
32,104,75.0,1.0,Greipel Andr\xe9,2,Lotto Soudal,\u25bc1,7,2015
30,13,60.0,20.0,Bandiera Marco,3,Androni Giocattoli - Sidermec,\u25b217,7,2015
25,91,50.0,,Ulissi Diego,4,Lampre - Merida,-,7,2015
26,211,47.0,4.0,Nizzolo Giacomo,5,Trek Factory Racing,\u25bc1,7,2015
30,15,40.0,3.0,Frapporti Marco,6,Androni Giocattoli - Sidermec,\u25bc3,7,2015
23,184,40.0,5.0,Hofland Moreno,7,Team LottoNL-Jumbo,\u25bc2,7,2015
26,117,37.0,57.0,Lobato Juan Jos\xe9,8,Movistar Team,\u25b249,7,2015
29,141,36.0,23.0,Belletti Manuel,9,Southeast,\u25b214,7,2015
26,86,35.0,6.0,Pelucchi Matteo,10,IAM Cycling,\u25bc4,7,2015
23,97,34.0,7.0,Polanc Jan,11,Lampre - Merida,\u25bc4,7,2015
