Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
34,46,121.0,+5:16,,143.0,Riblon Christophe,121,AG2R La Mondiale,5:16 5:16,+1:00,,\u25b222,3,2015
22,52,122.0,+5:32,,151.0,Howson Damien,122,Orica GreenEDGE,5:32 5:32,+1:16,,\u25b229,3,2015
33,78,123.0,+5:37,,123.0,Sutherland Rory,123,Movistar Team,5:37 5:37,+2:49,,-,3,2015
33,178,124.0,+5:52,,141.0,Vaugrenard Benoit,124,FDJ,5:52 5:52,+1:36,,\u25b217,3,2015
29,171,125.0,+5:52,,146.0,Jeannesson Arnold,125,FDJ,",, 5:52",+1:36,,\u25b221,3,2015
37,125,126.0,+6:06,,116.0,Petrov Evgeni,126,Tinkoff - Saxo,6:06 6:06,+3:18,,\u25bc10,3,2015
27,154,127.0,+6:08,,7.0,Martinez Yannick,127,Team Europcar,6:08 6:08,+6:08,,\u25bc120,3,2015
30,206,128.0,+6:08,,39.0,Salerno Cristiano,128,Bora - Argon 18,",, 6:08",+6:08,,\u25bc89,3,2015
31,106,129.0,+6:25,,47.0,Terpstra Niki,129,Etixx - Quick Step,6:25 6:25,+6:25,,\u25bc82,3,2015
33,135,130.0,+6:28,,103.0,Reynes Vicente,130,IAM Cycling,6:28 6:28,+3:40,,\u25bc27,3,2015
34,82,131.0,+6:30,,90.0,Caruso Giampaolo,131,Team Katusha,6:30 6:30,+6:30,,\u25bc41,3,2015
34,27,132.0,+6:35,,118.0,Vanotti Alessandro,132,Astana Pro Team,6:35 6:35,+3:47,,\u25bc14,3,2015
26,172,133.0,+6:35,,153.0,Courteille Arnaud,133,FDJ,",, 6:35",+1:36,,\u25b220,3,2015
24,67,134.0,+7:01,,144.0,Van der Sande Tosh,134,Lotto Soudal,7:01 7:01,+2:45,,\u25b210,3,2015
27,15,135.0,+7:02,,139.0,Poels Wout,135,Team Sky,7:02 7:02,+2:46,,\u25b24,3,2015
33,146,136.0,+7:04,,145.0,Pozzato Filippo,136,Lampre - Merida,7:04 7:04,+2:48,,\u25b29,3,2015
31,142,137.0,+7:04,,148.0,Bono Matteo,137,Lampre - Merida,",, 7:04",+2:48,,\u25b211,3,2015
26,73,138.0,+7:05,,136.0,Dowsett Alex,138,Movistar Team,7:05 7:05,+2:49,,\u25bc2,3,2015
32,112,139.0,+7:15,,105.0,Beppu Fumiyuki,139,Trek Factory Racing,7:15 7:15,+4:27,,\u25bc34,3,2015
