Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
31,44.69,,+0:00,,Velasco Ivan,165,Euskaltel - Euskadi,",, 0:57",,0,2011
35,44.586999999999996,,+0:00,,Garate Juan Manuel,166,Rabobank Cycling Team,0:58 0:58,,0,2011
27,44.38399999999999,,+0:00,,Pujol Oscar,167,Omega Pharma-Lotto,1:00 1:00,,0,2011
28,44.082,,+0:00,,Chavanel S\xe9bastien,168,Team Europcar,1:03 1:03,,0,2011
22,43.883,,+0:00,,Ligthart Pim,169,Vacansoleil - DCM,1:05 1:05,,0,2011
26,43.784,,+0:00,,Didier Laurent,170,Saxo Bank - Sungard,1:06 1:06,,0,2011
30,41.986999999999995,,+0:00,,Lopez David,171,Movistar Team,1:25 1:25,,0,2011
34,41.273999999999994,,+0:00,,Gustov Volodymyr,172,Saxo Bank - Sungard,1:33 1:33,,0,2011
30,40.5,,+0:00,,Dumoulin Samuel,173,Cofidis Le Credit en Ligne,1:42 1:42,,0,2011
23,35.217,,+0:00,,Malori Adriano,174,Lampre - ISD,2:54 2:54,,0,2011
28,,,+0:00,50.0,Van den Broeck Jurgen,1,Omega Pharma-Lotto,3:36:42 3:36:42,6.0,1,2011
32,,,+0:00,30.0,Rodr\xedguez Joaquim,2,Team Katusha,0:06 0:06,4.0,1,2011
34,,,+0:00,18.0,Evans Cadel,3,BMC Racing Team,0:07 0:07,2.0,1,2011
37,,,+0:00,13.0,Vinokourov Alexandre,4,Pro Team Astana,",, 0:07",1.0,1,2011
26,,,+0:00,10.0,Roche Nicolas,5,AG2R La Mondiale,",, 0:07",1.0,1,2011
24,,,+0:00,7.0,Boasson Hagen Edvald,6,Sky Procycling,",, 0:07",,1,2011
21,,,+0:00,4.0,Pinot Thibaut,7,FDJ,0:13 0:13,,1,2011
24,,,+0:00,3.0,Ruijgh Rob,8,Vacansoleil - DCM,",, 0:13",,1,2011
31,,,+0:00,2.0,Voeckler Thomas,9,Team Europcar,0:15 0:15,,1,2011
27,,,+0:00,1.0,Brajkovi\u010d Janez,10,RadioShack,",, 0:15",,1,2011
31,,,+0:00,,Wiggins Bradley,11,Sky Procycling,",, 0:15",,1,2011
24,,,+0:00,,Hermans Ben,12,RadioShack,0:22 0:22,,1,2011
24,,,+0:00,,Rolland Pierre,13,Team Europcar,0:23 0:23,,1,2011
24,,,+0:00,,Costa Rui,14,Movistar Team,0:25 0:25,,1,2011
