Rnk,Rider,Age,Team,GC,GC-Time,Time,Time won/lost,year,stage
48,Simon Fran\xe7ois,32.0,Bonjour,48,+20:40,20:40 20:40,+20:40,2001,4
49,Guilbert Charles,29.0,Bonjour,49,+20:52,20:52 20:52,+20:52,2001,4
50,Renier Franck,27.0,Bonjour,50,+20:55,20:55 20:55,+20:55,2001,4
51,Mancebo Francisco,25.0,Ibanesto.com,51,+20:57,20:57 20:57,+20:57,2001,4
52,Voigt Jens,29.0,Cr\xe9dit Agricole,52,+20:59,20:59 20:59,+20:59,2001,4
53,Sivakov Alexei,29.0,,53,+21:17,21:17 21:17,+21:17,2001,4
54,Casar Sandy,22.0,La Fran\xe7aise des Jeux,54,+21:41,21:41 21:41,+21:41,2001,4
55,De Wolf Steve,25.0,Domo - Farm Frites,55,+21:43,21:43 21:43,+21:43,2001,4
56,Brochard Laurent,33.0,Jean Delatour,56,+21:54,21:54 21:54,+21:54,2001,4
57,Rault Dominique,30.0,,57,+21:54,",, 21:54",+21:54,2001,4
58,Lebreton Lylian,29.0,,58,+22:56,22:56 22:56,+22:56,2001,4
59,Etxebarria David,27.0,Euskaltel - Euskadi,59,+23:17,23:17 23:17,+23:17,2001,4
60,Madouas Laurent,34.0,Festina,60,+23:54,23:54 23:54,+23:54,2001,4
61,Barbosa Candido,26.0,Ibanesto.com,61,+24:12,24:12 24:12,+24:12,2001,4
62,Javier Vila Francisco,25.0,Ibanesto.com,62,+24:25,24:25 24:25,+24:25,2001,4
63,Gouvenou Thierry,32.0,,63,+24:37,24:37 24:37,+24:37,2001,4
64,Gwiazdowski Grzegorz,26.0,La Fran\xe7aise des Jeux,64,+24:43,24:43 24:43,+24:43,2001,4
65,McGee Bradley,25.0,La Fran\xe7aise des Jeux,65,+25:14,25:14 25:14,+25:14,2001,4
66,Jan Xavier,31.0,,66,+25:22,25:22 25:22,+25:22,2001,4
67,Poilvet Benoit,24.0,Cr\xe9dit Agricole,67,+26:22,26:22 26:22,+26:22,2001,4
68,Brozyna Tomasz,30.0,Ibanesto.com,68,+27:01,27:01 27:01,+27:01,2001,4
69,Durand Jacky,34.0,La Fran\xe7aise des Jeux,69,+28:06,28:06 28:06,+28:06,2001,4
70,Kasputis Arturas,34.0,AG2R Pr\xe9voyance,70,+28:49,28:49 28:49,+28:49,2001,4
71,Baranowski Dariusz,28.0,Ibanesto.com,71,+29:06,29:06 29:06,+29:06,2001,4
72,Baguet Serge,31.0,Lotto - Adecco,72,+29:11,29:11 29:11,+29:11,2001,4
73,Moerenhout Koos,27.0,Domo - Farm Frites,73,+29:18,29:18 29:18,+29:18,2001,4
74,Tchmil Andrei,38.0,Lotto - Adecco,74,+29:41,29:41 29:41,+29:41,2001,4
75,Bouvard Gilles,31.0,Jean Delatour,75,+29:58,29:58 29:58,+29:58,2001,4
76,Van Hyfte Paul,29.0,Lotto - Adecco,76,+30:20,30:20 30:20,+30:20,2001,4
77,Bernard J\xe9r\xf4me,29.0,Jean Delatour,77,+30:39,30:39 30:39,+30:39,2001,4
78,van Heeswijk Max,28.0,Domo - Farm Frites,78,+30:48,30:48 30:48,+30:48,2001,4
79,Zandio Xabier,24.0,Ibanesto.com,79,+30:51,30:51 30:51,+30:51,2001,4
80,Magnusson Glenn,31.0,Domo - Farm Frites,80,+31:07,31:07 31:07,+31:07,2001,4
81,Nazon Damien,26.0,Bonjour,81,+31:18,31:18 31:18,+31:18,2001,4
82,Capelle Christophe,33.0,,82,+31:24,31:24 31:24,+31:24,2001,4
83,Pretot Arnaud,29.0,Festina,83,+32:09,32:09 32:09,+32:09,2001,4
84,Lefevre Laurent,24.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",84,+32:31,32:31 32:31,+32:31,2001,4
85,Chanteur Pascal,33.0,Festina,85,+32:52,32:52 32:52,+32:52,2001,4
86,Zajicek Philip,22.0,Mercury - Viatel,86,+32:54,32:54 32:54,+32:54,2001,4
87,De Waele Fabian,26.0,Lotto - Adecco,87,+33:08,33:08 33:08,+33:08,2001,4
88,Stoyanov Plamen,29.0,Mercury - Viatel,88,+34:01,34:01 34:01,+34:01,2001,4
89,Gerrikagoitia Gorka,27.0,Euskaltel - Euskadi,89,+34:05,34:05 34:05,+34:05,2001,4
90,Bodo Thomas,20.0,La Fran\xe7aise des Jeux,90,+35:05,35:05 35:05,+35:05,2001,4
91,Da Cruz Carlos,26.0,Festina,91,+41:49,41:49 41:49,+41:49,2001,4
92,Auger Ludovic,30.0,,92,+42:12,42:12 42:12,+42:12,2001,4
93,Agnolutto Christophe,31.0,AG2R Pr\xe9voyance,93,+42:20,42:20 42:20,+42:20,2001,4
94,Bordenave Philippe,32.0,AG2R Pr\xe9voyance,94,+43:47,43:47 43:47,+43:47,2001,4
95,Fofonov Dimitri,24.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",95,+46:33,46:33 46:33,+46:33,2001,4
96,Casper Jimmy,23.0,La Fran\xe7aise des Jeux,96,+49:21,49:21 49:21,+49:21,2001,4
97,Gabriel Fr\xe9d\xe9ric,30.0,Bonjour,97,+50:58,50:58 50:58,+50:58,2001,4
98,Marichal Thierry,28.0,Lotto - Adecco,98,+51:20,51:20 51:20,+51:20,2001,4
99,Joly S\xe9bastien,21.0,Bonjour,99,+52:19,52:19 52:19,+52:19,2001,4
1,Moreau Christophe,30.0,Festina,1,+0:00,19:40:52 19:40:52,+0:00,2001,5
2,Tonkov Pavel,32.0,Mercury - Viatel,2,+0:01,0:01 0:01,+0:01,2001,5
3,Salmon Benoit,27.0,AG2R Pr\xe9voyance,3,+0:36,0:36 0:36,+0:36,2001,5
4,Montgomery Sven,25.0,La Fran\xe7aise des Jeux,4,+1:18,1:18 1:18,+1:18,2001,5
5,Kivilev Andrei,27.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",5,+1:26,1:26 1:26,+1:26,2001,5
6,Menchov Denis,23.0,Ibanesto.com,6,+1:38,1:38 1:38,+1:38,2001,5
7,Etxebarria Unai,28.0,Euskaltel - Euskadi,7,+2:00,2:00 2:00,+2:00,2001,5
8,Merckx Axel,28.0,Domo - Farm Frites,8,+2:36,2:36 2:36,+2:36,2001,5
9,Moncouti\xe9 David,26.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",9,+3:43,3:43 3:43,+3:43,2001,5
10,Chaurreau I\xf1igo,28.0,Euskaltel - Euskadi,10,+3:46,3:46 3:46,+3:46,2001,5
11,Piepoli Leonardo,29.0,Ibanesto.com,11,+4:32,4:32 4:32,+4:32,2001,5
12,Rinero Christophe,27.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",12,+4:48,4:48 4:48,+4:48,2001,5
13,Gonzalez Arrieta Jose R\xe1mon,34.0,Euskaltel - Euskadi,13,+5:30,5:30 5:30,+5:30,2001,5
14,Heulot Stephane,30.0,,14,+6:39,6:39 6:39,+6:39,2001,5
15,Vaughters Jonathan,28.0,Cr\xe9dit Agricole,15,+7:36,7:36 7:36,+7:36,2001,5
16,Oriol Christophe,28.0,Jean Delatour,16,+8:17,8:17 8:17,+8:17,2001,5
17,Del Olmo Jose Maria,,,17,+8:44,8:44 8:44,+8:44,2001,5
18,McRae William Chann,29.0,US Postal Service,18,+10:38,10:38 10:38,+10:38,2001,5
19,Vogondy Nicolas,23.0,La Fran\xe7aise des Jeux,19,+10:44,10:44 10:44,+10:44,2001,5
20,Teteriouk Andrei,33.0,Mercury - Viatel,20,+11:21,11:21 11:21,+11:21,2001,5
21,Mikhailov Guennady,27.0,Lotto - Adecco,21,+11:46,11:46 11:46,+11:46,2001,5
22,Botcharov Alexandre,26.0,AG2R Pr\xe9voyance,22,+13:26,13:26 13:26,+13:26,2001,5
23,Millar David,24.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",23,+13:37,13:37 13:37,+13:37,2001,5
24,Trentin Guido,25.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",24,+14:38,14:38 14:38,+14:38,2001,5
