Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
23,70,+50:24,5.0,70.0,Haussler Heinrich,70,Gerolsteiner,50:24 50:24,+0:00,-,7,2007
21,71,+50:39,5.0,71.0,Delage Micka\xebl,71,Fran\xe7aise des Jeux,50:39 50:39,+0:00,-,7,2007
32,72,+51:24,5.0,72.0,Ivanov Serguei,72,Astana,51:24 51:24,+0:00,-,7,2007
24,73,+52:22,5.0,73.0,Van Hecke Preben,73,Predictor - Lotto,52:22 52:22,+0:00,-,7,2007
25,74,+54:53,5.0,74.0,Perez Ruben,74,Euskaltel - Euskadi,54:53 54:53,+0:00,-,7,2007
27,75,+57:13,5.0,75.0,Edaleine Christophe,75,Cr\xe9dit Agricole,57:13 57:13,+0:00,-,7,2007
26,76,+59:09,5.0,76.0,Da Dalto Mauro,76,Liquigas,59:09 59:09,+0:00,-,7,2007
23,77,+59:18,5.0,77.0,Grivko Andrei,77,Milram,59:18 59:18,+0:00,-,7,2007
28,78,+1:00:56,5.0,78.0,Scheirlinckx Staf,78,Cofidis,1:00:56 1:00:56,+0:00,-,7,2007
30,79,+1:01:01,5.0,79.0,Kaggestad Mads,79,Cr\xe9dit Agricole,1:01:01 1:01:01,+0:00,-,7,2007
21,80,+1:01:47,5.0,80.0,Cornu Dominique,80,,1:01:47 1:01:47,+0:00,-,7,2007
32,81,+1:02:24,5.0,81.0,Dessel Cyril,81,AG2R Pr\xe9voyance,1:02:24 1:02:24,+0:00,-,7,2007
27,82,+1:03:06,5.0,82.0,Hiekmann Torsten,82,Gerolsteiner,1:03:06 1:03:06,+0:00,-,7,2007
27,83,+1:04:12,5.0,83.0,Geslin Anthony,83,Bouygues Telecom,1:04:12 1:04:12,+0:00,-,7,2007
34,84,+1:05:49,5.0,84.0,Garcia Jose Vicente,84,Caisse d'Epargne,1:05:49 1:05:49,+0:00,-,7,2007
25,85,+1:07:14,5.0,85.0,Vaitkus Tomas,85,Discovery Channel,1:07:14 1:07:14,+0:00,-,7,2007
28,86,+1:08:50,5.0,86.0,Schreck Stephan,86,T-Mobile Team,1:08:50 1:08:50,+0:00,-,7,2007
32,87,+1:10:45,5.0,87.0,de Groot Bram,87,Rabobank ProTeam,1:10:45 1:10:45,+0:00,-,7,2007
24,88,+1:10:50,5.0,88.0,Chavanel S\xe9bastien,88,Fran\xe7aise des Jeux,1:10:50 1:10:50,+0:00,-,7,2007
31,89,+1:11:25,5.0,89.0,Jufre Josep,89,Predictor - Lotto,1:11:25 1:11:25,+0:00,-,7,2007
29,90,+1:11:44,5.0,90.0,Hushovd Thor,90,Cr\xe9dit Agricole,1:11:44 1:11:44,+0:00,-,7,2007
22,91,+1:12:36,5.0,91.0,Sonnery Blaise,91,AG2R Pr\xe9voyance,1:12:36 1:12:36,+0:00,-,7,2007
33,92,+1:12:44,5.0,92.0,Wrolich Peter,92,Gerolsteiner,1:12:44 1:12:44,+0:00,-,7,2007
32,93,+1:13:09,5.0,93.0,Ljungqvist Marcus,93,CSC ProTeam,1:13:09 1:13:09,+0:00,-,7,2007
31,94,+1:13:25,5.0,94.0,Brard Florent,94,Caisse d'Epargne,1:13:25 1:13:25,+0:00,-,7,2007
27,95,+1:14:27,5.0,95.0,Wiggins Bradley,95,Cofidis,1:14:27 1:14:27,+0:00,-,7,2007
22,96,+1:17:20,5.0,96.0,Loubet Julien,96,AG2R Pr\xe9voyance,1:17:20 1:17:20,+0:00,-,7,2007
21,97,+1:20:26,5.0,97.0,Grabovskyy Dmytro,97,Quickstep - Innergetic,1:20:26 1:20:26,+0:00,-,7,2007
33,98,+1:20:42,5.0,98.0,Mikhailov Guennady,98,Astana,1:20:42 1:20:42,+0:00,-,7,2007
25,99,+1:22:07,5.0,99.0,Sieberg Marcel,99,Milram,1:22:07 1:22:07,+0:00,-,7,2007
24,100,+1:22:10,5.0,100.0,Morabito Steve,100,Astana,1:22:10 1:22:10,+0:00,-,7,2007
24,101,+1:24:05,5.0,101.0,Greipel Andr\xe9,101,T-Mobile Team,1:24:05 1:24:05,+0:00,-,7,2007
23,102,+1:24:52,5.0,102.0,Uribarri Unai,102,Euskaltel - Euskadi,1:24:52 1:24:52,+0:00,-,7,2007
24,103,+1:25:29,5.0,103.0,Franzoi Enrico,103,Lampre-Fondital,1:25:29 1:25:29,+0:00,-,7,2007
32,104,+1:26:36,5.0,104.0,Auge St\xe9phane,104,Cofidis,1:26:36 1:26:36,+0:00,-,7,2007
33,105,+1:27:42,5.0,105.0,de Jongh Steven,105,Quickstep - Innergetic,1:27:42 1:27:42,+0:00,-,7,2007
29,106,+1:27:58,5.0,106.0,Leukemans Bjorn,106,Predictor - Lotto,1:27:58 1:27:58,+0:00,-,7,2007
28,107,+1:30:13,5.0,107.0,Flickinger Andy,107,Bouygues Telecom,1:30:13 1:30:13,+0:00,-,7,2007
33,108,+1:31:33,5.0,108.0,Sacchi Fabio,108,Milram,1:31:33 1:31:33,+0:00,-,7,2007
25,109,+1:32:03,5.0,109.0,Azanza Jorge,109,Euskaltel - Euskadi,1:32:03 1:32:03,+0:00,-,7,2007
29,110,+1:33:20,5.0,110.0,Siedler Sebastian,110,Milram,1:33:20 1:33:20,+0:00,-,7,2007
26,111,+1:33:30,5.0,111.0,Steegmans Gert,111,Quickstep - Innergetic,1:33:30 1:33:30,+0:00,-,7,2007
27,112,+1:35:56,5.0,112.0,Nuyens Nick,112,Cofidis,1:35:56 1:35:56,+0:00,-,7,2007
24,113,+1:39:24,5.0,113.0,Diudia Volodymyr,113,,1:39:24 1:39:24,+0:00,-,7,2007
32,114,+1:42:03,5.0,114.0,B\xe4ckstedt Magnus,114,Liquigas,1:42:03 1:42:03,+0:00,-,7,2007
